Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,29168.0,0.0,0.0,0.0,54857.0,14843.0,0.0,0.0,0.0,0.0,0.0,149498.0,267789.0,9274.0,0.0,0.0,2112.0,0.0,1744.0,9600.0,0.0,126588.0
2019-01-02,29088.0,0.0,0.0,0.0,159170.0,14700.0,0.0,0.0,0.0,0.0,17749.0,48144.0,243467.0,18291.0,0.0,0.0,2112.0,0.0,1668.0,9600.0,0.0,262744.0
2019-01-03,29180.0,0.0,0.0,0.0,201212.0,14784.0,0.0,0.0,0.0,0.0,76681.0,13209.0,241216.0,29215.0,0.0,0.0,2112.0,0.0,1596.0,9600.0,0.0,245640.0
2019-01-04,29068.0,0.0,0.0,0.0,216401.0,14726.0,0.0,0.0,0.0,0.0,19125.0,15666.0,234821.0,20664.0,0.0,0.0,2112.0,0.0,1104.0,9600.0,0.0,170624.0
2019-01-05,28992.0,0.0,0.0,0.0,105209.0,14510.0,0.0,0.0,0.0,0.0,3230.0,36279.0,232665.0,16458.0,0.0,0.0,2112.0,0.0,648.0,9600.0,0.0,232040.0
2019-01-06,29048.0,0.0,0.0,0.0,110126.0,14514.0,0.0,0.0,0.0,0.0,2204.0,29311.0,226585.0,15993.0,0.0,0.0,2112.0,0.0,1156.0,9600.0,0.0,221852.0
2019-01-07,28972.0,0.0,0.0,0.0,228281.0,14788.0,0.0,0.0,0.0,0.0,87359.0,15197.0,251039.0,51900.0,0.0,0.0,2112.0,0.0,780.0,9600.0,0.0,33432.0
2019-01-08,29160.0,0.0,0.0,0.0,208725.0,14774.0,0.0,0.0,0.0,0.0,46019.0,41243.0,269288.0,39732.0,0.0,0.0,2112.0,0.0,1076.0,9600.0,0.0,93688.0
2019-01-09,29144.0,0.0,0.0,0.0,215457.0,14832.0,0.0,0.0,0.0,0.0,47525.0,37138.0,292238.0,36396.0,0.0,0.0,2112.0,0.0,1100.0,9600.0,0.0,134884.0
2019-01-10,29232.0,0.0,0.0,0.0,227583.0,15232.0,0.0,0.0,0.0,0.0,164723.0,1805.0,283084.0,84304.0,0.0,0.0,2112.0,0.0,1048.0,9600.0,0.0,123384.0
2019-01-11,29376.0,0.0,0.0,0.0,249560.0,14792.0,0.0,0.0,0.0,0.0,10678.0,6632.0,270585.0,35549.0,0.0,0.0,2112.0,0.0,2168.0,9600.0,0.0,188564.0
2019-01-12,29784.0,0.0,0.0,0.0,162486.0,14698.0,0.0,0.0,0.0,0.0,1273.0,44020.0,245244.0,18533.0,0.0,0.0,2112.0,0.0,960.0,9600.0,0.0,215912.0
2019-01-13,29828.0,0.0,0.0,0.0,101306.0,14708.0,0.0,0.0,0.0,0.0,1465.0,68493.0,250161.0,15184.0,0.0,0.0,2112.0,0.0,1644.0,9600.0,0.0,172640.0
2019-01-14,29556.0,0.0,0.0,0.0,148419.0,14706.0,0.0,0.0,0.0,0.0,14725.0,42159.0,315143.0,26566.0,0.0,0.0,2112.0,0.0,2308.0,9600.0,0.0,254700.0
2019-01-15,29884.0,0.0,0.0,0.0,181764.0,14707.0,0.0,0.0,0.0,0.0,53908.0,12510.0,320602.0,30661.0,0.0,0.0,2112.0,0.0,2096.0,9600.0,0.0,244916.0
2019-01-16,30148.0,0.0,0.0,0.0,263590.0,14592.0,0.0,0.0,0.0,0.0,53407.0,26226.0,306474.0,25696.0,0.0,0.0,2112.0,0.0,2592.0,9600.0,0.0,135772.0
2019-01-17,29780.0,0.0,0.0,0.0,250892.0,14592.0,0.0,0.0,0.0,0.0,26210.0,21820.0,299720.0,28905.0,0.0,0.0,2112.0,0.0,2668.0,9600.0,0.0,50944.0
2019-01-18,29456.0,0.0,0.0,0.0,186437.0,15209.0,0.0,0.0,0.0,0.0,134753.0,20611.0,292544.0,79929.0,0.0,0.0,2112.0,0.0,1384.0,9600.0,0.0,108456.0
2019-01-19,29660.0,0.0,0.0,0.0,208343.0,14878.0,0.0,0.0,0.0,0.0,62743.0,29.0,276079.0,63492.0,0.0,0.0,2112.0,0.0,3004.0,9600.0,0.0,20972.0
2019-01-20,29808.0,0.0,0.0,0.0,217329.0,14825.0,0.0,0.0,0.0,0.0,48899.0,12607.0,254054.0,57475.0,0.0,0.0,2112.0,0.0,2464.0,9600.0,0.0,23200.0
2019-01-21,29628.0,0.0,0.0,0.0,235760.0,36358.0,0.0,0.0,0.0,0.0,128703.0,16730.0,243090.0,83704.0,0.0,0.0,2112.0,0.0,2908.0,9600.0,0.0,19708.0
2019-01-22,29744.0,0.0,0.0,0.0,246076.0,43700.0,0.0,0.0,0.0,0.0,95894.0,9039.0,244412.0,72108.0,0.0,0.0,2112.0,0.0,3216.0,9600.0,0.0,3260.0
2019-01-23,28784.0,0.0,0.0,0.0,244186.0,44830.0,0.0,0.0,0.0,0.0,131229.0,14307.0,239146.0,80426.0,0.0,0.0,2112.0,0.0,940.0,9600.0,0.0,8908.0
2019-01-24,29400.0,0.0,0.0,0.0,236737.0,46580.0,0.0,0.0,0.0,0.0,117803.0,4998.0,230107.0,72265.0,0.0,0.0,2112.0,0.0,1020.0,9600.0,0.0,113524.0
2019-01-25,29600.0,0.0,0.0,0.0,236367.0,43125.0,0.0,0.0,0.0,0.0,98744.0,12203.0,228670.0,60443.0,0.0,0.0,2112.0,0.0,1920.0,9600.0,0.0,183328.0
2019-01-26,29572.0,0.0,0.0,0.0,238006.0,14591.0,0.0,0.0,0.0,0.0,12628.0,32427.0,210218.0,17645.0,0.0,0.0,2112.0,0.0,1148.0,9600.0,0.0,97908.0
2019-01-27,29564.0,0.0,0.0,0.0,190262.0,14605.0,0.0,0.0,0.0,0.0,2537.0,43306.0,185897.0,18000.0,0.0,0.0,2112.0,0.0,2908.0,9600.0,0.0,59396.0
2019-01-28,29436.0,0.0,0.0,0.0,239968.0,37395.0,0.0,0.0,0.0,0.0,46850.0,31797.0,199711.0,37346.0,0.0,0.0,2112.0,0.0,1756.0,9600.0,0.0,66480.0
2019-01-29,29568.0,0.0,0.0,0.0,218048.0,42322.0,0.0,0.0,0.0,0.0,99884.0,16745.0,209747.0,48803.0,0.0,0.0,2112.0,0.0,3276.0,9600.0,0.0,90360.0
2019-01-30,29624.0,0.0,0.0,0.0,284124.0,42948.0,0.0,0.0,0.0,0.0,85861.0,22366.0,199539.0,36989.0,0.0,0.0,2112.0,0.0,3224.0,9600.0,0.0,52832.0
2019-01-31,29688.0,0.0,0.0,0.0,225918.0,41742.0,0.0,0.0,0.0,0.0,110857.0,8442.0,206205.0,57035.0,0.0,0.0,2112.0,0.0,3012.0,9600.0,0.0,42796.0
2019-02-01,30072.0,0.0,0.0,0.0,268220.0,38593.0,0.0,0.0,0.0,0.0,51811.0,27115.0,193790.0,40590.0,0.0,0.0,2112.0,0.0,2708.0,9600.0,0.0,208204.0
2019-02-02,29960.0,0.0,0.0,0.0,207458.0,14793.0,0.0,0.0,0.0,0.0,15531.0,18507.0,208186.0,21901.0,0.0,0.0,2112.0,0.0,2848.0,9600.0,0.0,178120.0
2019-02-03,29804.0,0.0,0.0,0.0,192550.0,14660.0,0.0,0.0,0.0,0.0,3024.0,53391.0,233688.0,16222.0,0.0,0.0,2112.0,0.0,1496.0,9600.0,0.0,165932.0
2019-02-04,29596.0,0.0,0.0,0.0,238932.0,14606.0,0.0,0.0,0.0,0.0,30540.0,6133.0,231923.0,39448.0,0.0,0.0,2112.0,0.0,3220.0,9600.0,0.0,134164.0
2019-02-05,29568.0,0.0,0.0,0.0,267658.0,36325.0,0.0,0.0,0.0,0.0,77738.0,25612.0,230049.0,58137.0,0.0,0.0,2112.0,0.0,4508.0,9600.0,0.0,14732.0
2019-02-06,29448.0,0.0,0.0,0.0,227358.0,38069.0,0.0,0.0,0.0,0.0,35273.0,17924.0,214681.0,43878.0,0.0,0.0,2112.0,0.0,4952.0,9600.0,0.0,53820.0
2019-02-07,29824.0,0.0,0.0,0.0,179934.0,14750.0,0.0,0.0,0.0,0.0,102273.0,7629.0,205805.0,41699.0,0.0,0.0,2112.0,0.0,4808.0,9600.0,0.0,117096.0
2019-02-08,29420.0,0.0,0.0,0.0,217251.0,14606.0,0.0,0.0,0.0,0.0,75017.0,18561.0,213075.0,38488.0,0.0,0.0,2112.0,0.0,5456.0,9600.0,0.0,24360.0
2019-02-09,29424.0,0.0,0.0,0.0,118486.0,14603.0,0.0,0.0,0.0,0.0,29323.0,21629.0,200952.0,27586.0,0.0,0.0,2112.0,0.0,5272.0,9600.0,0.0,99656.0
2019-02-10,29420.0,0.0,0.0,0.0,108782.0,14611.0,0.0,0.0,0.0,0.0,1791.0,48919.0,196047.0,23768.0,0.0,0.0,2112.0,0.0,3844.0,9600.0,0.0,123060.0
