Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,3842.0,0.0,0.0,0.0,44294.0,0.0,0.0,0.0,0.0,3119.0,1678.0,885.0,0.0,0.0,60493.0,15975.0,0.0,549.0,6583.0,19087.0,11075.0
2019-01-02,4981.0,0.0,0.0,0.0,101031.0,969.0,0.0,0.0,0.0,3948.0,4142.0,814.0,0.0,0.0,68907.0,18115.0,0.0,1580.0,6282.0,15704.0,9278.0
2019-01-03,8842.0,0.0,0.0,0.0,99659.0,0.0,0.0,0.0,0.0,919.0,5155.0,742.0,0.0,0.0,80884.0,19095.0,0.0,1778.0,5966.0,5118.0,2709.0
2019-01-04,8869.0,0.0,0.0,0.0,109564.0,0.0,0.0,0.0,0.0,5018.0,1669.0,668.0,0.0,0.0,86425.0,19739.0,0.0,833.0,6450.0,6414.0,4923.0
2019-01-05,8677.0,0.0,0.0,0.0,72628.0,0.0,0.0,0.0,0.0,1832.0,3486.0,619.0,0.0,0.0,89872.0,19063.0,0.0,365.0,6568.0,9984.0,10477.0
2019-01-06,8790.0,0.0,0.0,0.0,61380.0,0.0,0.0,0.0,0.0,1615.0,2215.0,670.0,0.0,0.0,92833.0,18591.0,0.0,567.0,5937.0,3067.0,3705.0
2019-01-07,7857.0,0.0,0.0,0.0,80944.0,0.0,0.0,0.0,0.0,3724.0,4428.0,644.0,0.0,0.0,95914.0,18310.0,0.0,729.0,6200.0,14934.0,9367.0
2019-01-08,6868.0,0.0,0.0,0.0,76187.0,0.0,0.0,0.0,0.0,2717.0,5861.0,632.0,0.0,0.0,97789.0,18089.0,0.0,1875.0,6050.0,27323.0,24945.0
2019-01-09,7997.0,0.0,0.0,0.0,84996.0,0.0,0.0,0.0,0.0,2734.0,4010.0,686.0,0.0,0.0,98062.0,19218.0,0.0,3261.0,6089.0,25244.0,15614.0
2019-01-10,8917.0,0.0,0.0,0.0,101734.0,12.0,0.0,0.0,0.0,4630.0,3127.0,726.0,0.0,0.0,98166.0,20172.0,0.0,1198.0,6124.0,3443.0,3746.0
2019-01-11,8893.0,0.0,0.0,0.0,97516.0,107.0,0.0,0.0,0.0,4285.0,6073.0,726.0,0.0,0.0,98073.0,20028.0,0.0,1248.0,6107.0,10352.0,6018.0
2019-01-12,8808.0,0.0,0.0,0.0,62246.0,0.0,0.0,0.0,0.0,2292.0,4117.0,703.0,0.0,0.0,97943.0,18697.0,0.0,556.0,6269.0,21996.0,15830.0
2019-01-13,7460.0,0.0,0.0,0.0,44509.0,0.0,0.0,0.0,0.0,2725.0,4485.0,820.0,0.0,0.0,97847.0,18309.0,0.0,564.0,5769.0,26836.0,23800.0
2019-01-14,8246.0,0.0,0.0,0.0,85126.0,0.0,0.0,0.0,0.0,3186.0,4030.0,909.0,0.0,0.0,97949.0,18406.0,0.0,2801.0,5609.0,13666.0,13110.0
2019-01-15,8925.0,0.0,0.0,0.0,88664.0,0.0,0.0,0.0,0.0,1588.0,3276.0,922.0,0.0,0.0,97922.0,18576.0,0.0,1724.0,5741.0,19465.0,10201.0
2019-01-16,8354.0,0.0,0.0,0.0,85291.0,12.0,0.0,0.0,0.0,3002.0,2488.0,921.0,0.0,0.0,93729.0,19107.0,0.0,1536.0,5652.0,23229.0,18430.0
2019-01-17,8706.0,0.0,0.0,0.0,90890.0,3.0,0.0,0.0,0.0,1752.0,4189.0,904.0,0.0,0.0,91364.0,19467.0,0.0,1679.0,5647.0,19651.0,15382.0
2019-01-18,8569.0,0.0,0.0,0.0,98865.0,0.0,0.0,0.0,0.0,4471.0,2998.0,953.0,0.0,0.0,97974.0,20660.0,0.0,3087.0,5815.0,4160.0,2447.0
2019-01-19,8875.0,0.0,0.0,0.0,85026.0,0.0,0.0,0.0,0.0,882.0,1915.0,952.0,0.0,0.0,98108.0,20467.0,0.0,5650.0,5809.0,11217.0,7839.0
2019-01-20,8667.0,0.0,0.0,0.0,73452.0,0.0,0.0,0.0,0.0,396.0,5112.0,944.0,0.0,0.0,98119.0,20510.0,0.0,5973.0,5614.0,1469.0,4275.0
2019-01-21,8846.0,0.0,0.0,0.0,105547.0,0.0,0.0,0.0,0.0,4199.0,922.0,857.0,0.0,0.0,98056.0,20943.0,0.0,6034.0,5385.0,3322.0,2271.0
2019-01-22,7714.0,0.0,0.0,0.0,110392.0,0.0,0.0,0.0,0.0,3737.0,5303.0,801.0,0.0,0.0,98157.0,20660.0,0.0,936.0,5394.0,16194.0,14309.0
2019-01-23,7752.0,0.0,0.0,0.0,113889.0,0.0,0.0,0.0,0.0,4216.0,4982.0,778.0,0.0,0.0,98209.0,20711.0,0.0,926.0,5803.0,3191.0,3070.0
2019-01-24,8800.0,0.0,0.0,0.0,117596.0,0.0,0.0,0.0,0.0,4329.0,5137.0,713.0,0.0,0.0,98155.0,20760.0,0.0,1050.0,6104.0,715.0,1523.0
2019-01-25,8759.0,0.0,0.0,0.0,108971.0,0.0,0.0,0.0,0.0,3152.0,4766.0,692.0,0.0,0.0,98114.0,20558.0,0.0,1024.0,6091.0,10553.0,6424.0
2019-01-26,8834.0,0.0,0.0,0.0,51083.0,0.0,0.0,0.0,0.0,608.0,1015.0,684.0,0.0,0.0,97969.0,19162.0,0.0,1501.0,6016.0,23115.0,17726.0
2019-01-27,8629.0,0.0,0.0,0.0,38135.0,0.0,0.0,0.0,0.0,1525.0,6202.0,869.0,0.0,0.0,98015.0,18450.0,0.0,1058.0,6136.0,25352.0,22178.0
2019-01-28,8820.0,0.0,0.0,0.0,75466.0,0.0,0.0,0.0,0.0,2466.0,817.0,940.0,0.0,0.0,98054.0,19296.0,0.0,2987.0,6299.0,23566.0,20344.0
2019-01-29,8932.0,0.0,0.0,0.0,102934.0,3.0,0.0,0.0,0.0,3486.0,4033.0,877.0,0.0,0.0,98138.0,19872.0,0.0,5435.0,6340.0,8663.0,7110.0
2019-01-30,8949.0,0.0,0.0,0.0,103114.0,0.0,0.0,0.0,0.0,4217.0,4121.0,903.0,0.0,0.0,98122.0,20613.0,0.0,853.0,6337.0,4324.0,4755.0
2019-01-31,8952.0,0.0,0.0,0.0,110888.0,14.0,0.0,0.0,0.0,3590.0,5415.0,914.0,0.0,0.0,98197.0,20630.0,0.0,1023.0,6370.0,7830.0,5218.0
2019-02-01,8371.0,0.0,0.0,0.0,98306.0,0.0,0.0,0.0,0.0,4517.0,5421.0,927.0,0.0,0.0,98078.0,19938.0,0.0,1477.0,6289.0,7266.0,5021.0
2019-02-02,8860.0,0.0,0.0,0.0,57507.0,0.0,0.0,0.0,0.0,538.0,4013.0,863.0,0.0,0.0,98086.0,19414.0,0.0,1011.0,6131.0,18075.0,4034.0
