Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,5860.0,0.0,64190.0,4548.0,6499.0,5602.0,72.0,0.0,0.0,0.0,761.0,6834.0,1246.0,883.0,0.0,82029.0,2498.0,6463.0,371.0,464.0,0.0,5243.0
2019-01-02,5984.0,0.0,104531.0,4942.0,15547.0,7660.0,76.0,0.0,0.0,0.0,1326.0,2209.0,1242.0,1345.0,0.0,82735.0,2719.0,6547.0,1091.0,460.0,0.0,5898.0
2019-01-03,5395.0,0.0,129035.0,5841.0,19235.0,10219.0,72.0,0.0,0.0,0.0,4948.0,1683.0,1371.0,2619.0,0.0,83527.0,2809.0,6666.0,554.0,464.0,0.0,4271.0
2019-01-04,5332.0,0.0,121788.0,5440.0,12125.0,10537.0,72.0,0.0,0.0,0.0,2393.0,2853.0,1377.0,1607.0,0.0,83526.0,2777.0,6619.0,355.0,464.0,0.0,2471.0
2019-01-05,5357.0,0.0,99821.0,4989.0,6584.0,9653.0,96.0,0.0,0.0,0.0,1884.0,6824.0,1407.0,1375.0,0.0,82402.0,2679.0,6597.0,679.0,416.0,0.0,3723.0
2019-01-06,5541.0,0.0,116165.0,5085.0,15585.0,9726.0,96.0,0.0,0.0,0.0,3401.0,992.0,1407.0,1827.0,0.0,82651.0,2640.0,6580.0,905.0,418.0,0.0,2679.0
2019-01-07,6082.0,0.0,117129.0,5399.0,18511.0,10239.0,182.0,0.0,0.0,0.0,4968.0,5975.0,1400.0,3289.0,0.0,83488.0,2726.0,6573.0,991.0,423.0,0.0,1361.0
2019-01-08,6068.0,0.0,123069.0,5750.0,16424.0,9686.0,100.0,0.0,0.0,0.0,3496.0,6546.0,1403.0,1234.0,0.0,83367.0,2704.0,6481.0,903.0,423.0,0.0,4441.0
2019-01-09,6068.0,0.0,121554.0,5264.0,19903.0,9743.0,96.0,0.0,0.0,0.0,4612.0,5157.0,1495.0,1795.0,0.0,83458.0,2763.0,6507.0,559.0,423.0,0.0,3544.0
2019-01-10,6104.0,0.0,124818.0,5269.0,24341.0,10144.0,110.0,0.0,0.0,0.0,4187.0,5789.0,1397.0,2803.0,0.0,83477.0,2720.0,6547.0,545.0,424.0,0.0,2119.0
2019-01-11,5992.0,0.0,113364.0,5270.0,20159.0,9899.0,96.0,0.0,0.0,0.0,3284.0,5919.0,1500.0,2750.0,0.0,83492.0,2690.0,6582.0,1685.0,423.0,0.0,2107.0
2019-01-12,6198.0,0.0,102378.0,5223.0,6726.0,8792.0,120.0,0.0,0.0,0.0,1520.0,2.0,1556.0,2486.0,0.0,83302.0,2593.0,6562.0,654.0,464.0,0.0,3695.0
2019-01-13,6142.0,0.0,82706.0,4847.0,6613.0,6557.0,120.0,0.0,0.0,0.0,4369.0,6456.0,1575.0,2142.0,0.0,83305.0,2543.0,6506.0,994.0,464.0,0.0,4739.0
2019-01-14,6200.0,0.0,103890.0,4847.0,14796.0,9492.0,120.0,0.0,0.0,0.0,2988.0,5797.0,1568.0,4957.0,0.0,83384.0,2621.0,6449.0,1662.0,464.0,0.0,5363.0
2019-01-15,6233.0,0.0,107647.0,5076.0,11546.0,9616.0,126.0,0.0,0.0,0.0,4200.0,3885.0,1530.0,4201.0,0.0,83402.0,2674.0,6372.0,1110.0,464.0,0.0,5686.0
2019-01-16,6185.0,0.0,105589.0,5155.0,16332.0,9366.0,120.0,0.0,0.0,0.0,3331.0,5567.0,1586.0,6515.0,0.0,83297.0,2641.0,6409.0,1675.0,464.0,0.0,3471.0
2019-01-17,6181.0,0.0,108275.0,5231.0,10137.0,8991.0,120.0,0.0,0.0,0.0,3154.0,5158.0,1532.0,3784.0,0.0,83253.0,2650.0,6434.0,2358.0,464.0,0.0,4418.0
2019-01-18,6204.0,0.0,120070.0,5318.0,19883.0,9577.0,120.0,0.0,0.0,0.0,3877.0,3680.0,1594.0,5806.0,0.0,83438.0,2699.0,6522.0,2745.0,464.0,0.0,2803.0
