Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,453428.0,0.0,486275.0,278207.0,248629.0,46878.0,0.0,0.0,1958.0,64797.0,214484.0,135397.0,8421.0,0.0,35797.0,10624.0,38950.0,74526.0,219642.0,3023079.0
2019-01-02,455315.0,0.0,879273.0,438116.0,529753.0,47200.0,0.0,0.0,2103.0,74776.0,144885.0,129713.0,7252.0,0.0,42491.0,10281.0,120216.0,68238.0,304313.0,2458085.0
2019-01-03,459327.0,0.0,1351565.0,795656.0,1156304.0,45783.0,0.0,0.0,2432.0,130419.0,96719.0,129636.0,7788.0,0.0,45454.0,10129.0,88367.0,70713.0,255783.0,921361.0
2019-01-04,461860.0,0.0,1431101.0,675649.0,797197.0,47671.0,0.0,0.0,2229.0,82576.0,103271.0,129835.0,11264.0,0.0,50200.0,10048.0,37650.0,66296.0,352546.0,1765143.0
2019-01-05,460453.0,0.0,1251640.0,529584.0,523942.0,48096.0,0.0,0.0,1952.0,63455.0,192011.0,128085.0,8264.0,0.0,49986.0,10530.0,26409.0,64845.0,355448.0,2085752.0
2019-01-06,458772.0,0.0,1465302.0,627711.0,822979.0,48113.0,0.0,0.0,1874.0,84577.0,117884.0,128169.0,9686.0,0.0,50744.0,10651.0,46289.0,67699.0,258431.0,755108.0
2019-01-07,458111.0,0.0,1408997.0,769105.0,1049850.0,47797.0,0.0,0.0,2064.0,151137.0,130442.0,136554.0,20100.0,0.0,50494.0,10473.0,40628.0,59522.0,282620.0,1484286.0
2019-01-08,451620.0,0.0,855876.0,508904.0,418811.0,47221.0,0.0,0.0,2320.0,77814.0,184431.0,143762.0,7443.0,0.0,42764.0,10945.0,52006.0,70306.0,353771.0,3515087.0
2019-01-09,454320.0,0.0,1088482.0,630604.0,725096.0,47312.0,0.0,0.0,2218.0,86192.0,127701.0,141392.0,7189.0,0.0,46871.0,11043.0,50628.0,67706.0,433140.0,2691312.0
2019-01-10,462273.0,0.0,1369334.0,987707.0,1423745.0,57116.0,0.0,0.0,2466.0,174405.0,117847.0,143800.0,40754.0,0.0,53593.0,14284.0,43012.0,68739.0,94020.0,645202.0
2019-01-11,465049.0,0.0,1379578.0,865825.0,1141086.0,51312.0,0.0,0.0,2365.0,103530.0,127076.0,144225.0,11450.0,0.0,52263.0,17733.0,20743.0,68921.0,410463.0,1565872.0
