Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,8449.0,0.0,0.0,0.0,67022.0,0.0,5152.0,0.0,0.0,0.0,1550.0,47012.0,81345.0,16907.0,0.0,1264871.0,0.0,0.0,9342.0,6035.0,48905.0
2019-01-02,8426.0,0.0,0.0,0.0,145208.0,15.0,5228.0,0.0,0.0,0.0,10973.0,19255.0,89784.0,28690.0,0.0,1324836.0,0.0,0.0,14493.0,6048.0,76551.0
2019-01-03,8425.0,0.0,0.0,0.0,165996.0,1026.0,5215.0,0.0,0.0,0.0,16627.0,11973.0,96895.0,36567.0,0.0,1341728.0,0.0,0.0,19307.0,6187.0,62424.0
2019-01-04,8285.0,0.0,0.0,0.0,175979.0,11389.0,5204.0,0.0,0.0,0.0,21054.0,11354.0,102016.0,39099.0,0.0,1342790.0,0.0,0.0,15423.0,6117.0,57725.0
2019-01-05,8235.0,0.0,0.0,0.0,182839.0,13276.0,5143.0,0.0,0.0,0.0,9669.0,11323.0,81841.0,28976.0,0.0,1294762.0,0.0,0.0,16381.0,6088.0,66268.0
2019-01-06,8221.0,0.0,0.0,0.0,174395.0,11970.0,5165.0,0.0,0.0,0.0,9748.0,21737.0,69209.0,18582.0,0.0,1316977.0,0.0,0.0,10727.0,6005.0,46042.0
2019-01-07,8271.0,0.0,0.0,0.0,178354.0,12297.0,5170.0,0.0,0.0,0.0,19166.0,13612.0,85442.0,50146.0,0.0,1340529.0,0.0,0.0,10654.0,6083.0,61689.0
2019-01-08,8487.0,0.0,0.0,0.0,160422.0,12935.0,5197.0,0.0,0.0,0.0,10789.0,14370.0,88562.0,43783.0,0.0,1318783.0,0.0,0.0,7468.0,6114.0,148795.0
2019-01-09,8476.0,0.0,0.0,0.0,175926.0,668.0,5199.0,0.0,0.0,0.0,18203.0,8704.0,88396.0,53509.0,0.0,1327297.0,0.0,0.0,13023.0,6355.0,142668.0
2019-01-10,8474.0,0.0,0.0,0.0,199375.0,11122.0,10654.0,0.0,0.0,0.0,32703.0,7439.0,103374.0,81431.0,0.0,1316151.0,0.0,0.0,16821.0,6639.0,71485.0
