Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,960.0,0.0,0.0,0.0,5107.0,4797.0,426.0,0.0,0.0,0.0,583.0,764.0,2339.0,8005.0,0.0,0.0,0.0,1104.0,72.0,0.0,0.0,4684.0
2019-01-02,960.0,0.0,0.0,0.0,5136.0,4796.0,465.0,0.0,0.0,0.0,1325.0,642.0,2827.0,12068.0,0.0,0.0,0.0,1104.0,79.0,0.0,0.0,6981.0
2019-01-03,960.0,0.0,0.0,0.0,6123.0,4779.0,483.0,0.0,0.0,0.0,1655.0,105.0,2686.0,12775.0,0.0,0.0,0.0,1104.0,116.0,0.0,0.0,7999.0
2019-01-04,960.0,0.0,0.0,0.0,7256.0,4781.0,490.0,0.0,0.0,0.0,1151.0,1232.0,2685.0,10814.0,0.0,0.0,0.0,1056.0,104.0,0.0,0.0,9682.0
2019-01-05,960.0,0.0,0.0,0.0,9411.0,4788.0,466.0,0.0,0.0,0.0,795.0,666.0,2477.0,10939.0,0.0,0.0,0.0,1104.0,18.0,0.0,0.0,4678.0
2019-01-06,960.0,0.0,0.0,0.0,10700.0,4782.0,459.0,0.0,0.0,0.0,397.0,1228.0,2218.0,7714.0,0.0,0.0,0.0,1104.0,81.0,0.0,0.0,6206.0
2019-01-07,960.0,0.0,0.0,0.0,11991.0,4538.0,513.0,0.0,0.0,0.0,996.0,1132.0,2690.0,11686.0,0.0,0.0,0.0,1104.0,84.0,0.0,0.0,6983.0
2019-01-08,960.0,0.0,0.0,0.0,12086.0,4789.0,487.0,0.0,0.0,0.0,1126.0,1024.0,2502.0,12587.0,0.0,0.0,0.0,1056.0,29.0,0.0,0.0,2966.0
2019-01-09,960.0,0.0,0.0,0.0,12049.0,4771.0,456.0,0.0,0.0,0.0,1229.0,611.0,2238.0,11752.0,0.0,0.0,0.0,1056.0,80.0,0.0,0.0,5225.0
2019-01-10,960.0,0.0,0.0,0.0,11390.0,4773.0,489.0,0.0,0.0,0.0,1202.0,1325.0,2620.0,11461.0,0.0,0.0,0.0,1056.0,44.0,0.0,0.0,9918.0
2019-01-11,960.0,0.0,0.0,0.0,11864.0,4546.0,467.0,0.0,0.0,0.0,928.0,1180.0,2991.0,9824.0,0.0,0.0,0.0,1056.0,111.0,0.0,0.0,8291.0
2019-01-12,960.0,0.0,0.0,0.0,12129.0,4776.0,460.0,0.0,0.0,0.0,328.0,965.0,2391.0,6060.0,0.0,0.0,0.0,1056.0,67.0,0.0,0.0,4720.0
2019-01-13,960.0,0.0,0.0,0.0,11884.0,4770.0,445.0,0.0,0.0,0.0,392.0,1383.0,2024.0,6341.0,0.0,0.0,0.0,1056.0,112.0,0.0,0.0,798.0
2019-01-14,960.0,0.0,0.0,0.0,11974.0,4626.0,448.0,0.0,0.0,0.0,1884.0,1346.0,2293.0,11377.0,0.0,0.0,0.0,1056.0,125.0,0.0,0.0,2202.0
2019-01-15,960.0,0.0,0.0,0.0,12274.0,4785.0,473.0,0.0,0.0,0.0,1681.0,1256.0,2185.0,10623.0,0.0,0.0,0.0,1056.0,151.0,0.0,0.0,4806.0
2019-01-16,960.0,0.0,0.0,0.0,12050.0,4783.0,459.0,0.0,0.0,0.0,1577.0,1088.0,2449.0,10756.0,0.0,0.0,0.0,1056.0,130.0,0.0,0.0,1800.0
2019-01-17,960.0,0.0,0.0,0.0,11387.0,4783.0,466.0,0.0,0.0,0.0,956.0,1141.0,2473.0,8766.0,0.0,0.0,0.0,1056.0,89.0,0.0,0.0,7308.0
2019-01-18,960.0,0.0,0.0,0.0,11587.0,4777.0,426.0,0.0,0.0,0.0,1137.0,1321.0,2952.0,9822.0,0.0,0.0,0.0,1056.0,15.0,0.0,0.0,6807.0
2019-01-19,960.0,0.0,0.0,0.0,11981.0,4786.0,456.0,0.0,0.0,0.0,331.0,1506.0,3017.0,7695.0,0.0,0.0,0.0,1056.0,46.0,0.0,0.0,4220.0
2019-01-20,960.0,0.0,0.0,0.0,12288.0,4787.0,439.0,0.0,0.0,0.0,348.0,1441.0,2700.0,5214.0,0.0,0.0,0.0,1128.0,59.0,0.0,0.0,487.0
2019-01-21,960.0,0.0,0.0,0.0,12192.0,4391.0,437.0,0.0,0.0,0.0,1128.0,1415.0,3425.0,8546.0,0.0,0.0,0.0,1128.0,68.0,0.0,0.0,4945.0
2019-01-22,960.0,0.0,0.0,0.0,12135.0,4757.0,492.0,0.0,0.0,0.0,1547.0,1240.0,3528.0,9782.0,0.0,0.0,0.0,1056.0,36.0,0.0,0.0,6337.0
2019-01-23,600.0,0.0,0.0,0.0,12239.0,4776.0,484.0,0.0,0.0,0.0,1430.0,1004.0,3338.0,11480.0,0.0,0.0,0.0,660.0,22.0,0.0,0.0,2170.0
2019-01-24,960.0,0.0,0.0,0.0,12251.0,4758.0,472.0,0.0,0.0,0.0,1348.0,1275.0,3151.0,10168.0,0.0,0.0,0.0,1104.0,37.0,0.0,0.0,7502.0
2019-01-25,960.0,0.0,0.0,0.0,11508.0,4552.0,500.0,0.0,0.0,0.0,3128.0,878.0,3491.0,10202.0,0.0,0.0,0.0,1123.0,63.0,0.0,0.0,7616.0
2019-01-26,960.0,0.0,0.0,0.0,11635.0,4600.0,479.0,0.0,0.0,0.0,1579.0,100.0,2856.0,10186.0,0.0,0.0,0.0,1116.0,135.0,0.0,0.0,6147.0
2019-01-27,960.0,0.0,0.0,0.0,9027.0,4760.0,468.0,0.0,0.0,0.0,891.0,708.0,2074.0,9405.0,0.0,0.0,0.0,1056.0,138.0,0.0,0.0,5059.0
2019-01-28,960.0,0.0,0.0,0.0,9545.0,4718.0,444.0,0.0,0.0,0.0,1826.0,563.0,3308.0,12493.0,0.0,0.0,0.0,1056.0,21.0,0.0,0.0,6123.0
2019-01-29,960.0,0.0,0.0,0.0,9865.0,4741.0,439.0,0.0,0.0,0.0,2846.0,64.0,3693.0,14107.0,0.0,0.0,0.0,1128.0,68.0,0.0,0.0,3139.0
2019-01-30,960.0,0.0,0.0,0.0,10885.0,4774.0,474.0,0.0,0.0,0.0,3065.0,57.0,3648.0,13394.0,0.0,0.0,0.0,1128.0,62.0,0.0,0.0,1538.0
2019-01-31,960.0,0.0,0.0,0.0,10546.0,4752.0,460.0,0.0,0.0,0.0,2749.0,554.0,4036.0,14058.0,0.0,0.0,0.0,1128.0,30.0,0.0,0.0,3103.0
2019-02-01,960.0,0.0,0.0,0.0,7188.0,4761.0,472.0,0.0,0.0,0.0,1709.0,1303.0,4597.0,10905.0,0.0,0.0,0.0,1128.0,78.0,0.0,0.0,10152.0
2019-02-02,960.0,0.0,0.0,0.0,7109.0,4272.0,481.0,0.0,0.0,0.0,4848.0,98.0,5316.0,15223.0,0.0,0.0,0.0,1128.0,63.0,0.0,0.0,10726.0
2019-02-03,960.0,0.0,0.0,0.0,5731.0,4191.0,454.0,0.0,0.0,0.0,6210.0,82.0,5644.0,18557.0,0.0,0.0,0.0,1128.0,80.0,0.0,0.0,5014.0
2019-02-04,960.0,0.0,0.0,0.0,5883.0,3457.0,452.0,0.0,0.0,0.0,6179.0,91.0,6227.0,18548.0,0.0,0.0,0.0,1128.0,121.0,0.0,0.0,8436.0
2019-02-05,960.0,0.0,0.0,0.0,5920.0,4791.0,446.0,0.0,0.0,0.0,6234.0,96.0,5822.0,18553.0,0.0,0.0,0.0,1128.0,57.0,0.0,0.0,8645.0
2019-02-06,960.0,0.0,0.0,0.0,5918.0,4744.0,448.0,0.0,0.0,0.0,4566.0,127.0,5440.0,18308.0,0.0,0.0,0.0,1056.0,186.0,0.0,0.0,8687.0
2019-02-07,960.0,0.0,0.0,0.0,5879.0,4764.0,454.0,0.0,0.0,0.0,4238.0,78.0,5268.0,17070.0,0.0,0.0,0.0,1128.0,196.0,0.0,0.0,2139.0
2019-02-08,960.0,0.0,0.0,0.0,6798.0,4759.0,467.0,0.0,0.0,0.0,3251.0,64.0,5156.0,15783.0,0.0,0.0,0.0,1128.0,112.0,0.0,0.0,3197.0
