Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,8507.0,0.0,36824.0,0.0,63355.0,0.0,0.0,0.0,0.0,0.0,1165.0,1398.0,0.0,186147.0,5522.0,903.0,1278.0,0.0,10665.0
2019-01-02,8690.0,0.0,39125.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,1172.0,1357.0,0.0,186042.0,5600.0,859.0,1353.0,0.0,25298.0
2019-01-03,8568.0,0.0,43414.0,0.0,118268.0,0.0,0.0,0.0,0.0,0.0,1157.0,1412.0,0.0,185772.0,5261.0,1062.0,1153.0,0.0,24510.0
2019-01-04,8986.0,0.0,41217.0,0.0,130617.0,0.0,0.0,0.0,0.0,0.0,1128.0,1378.0,0.0,185518.0,5259.0,1115.0,789.0,0.0,16280.0
2019-01-05,10633.0,0.0,38604.0,0.0,121803.0,0.0,0.0,0.0,0.0,0.0,1115.0,1341.0,0.0,185657.0,14147.0,1105.0,791.0,0.0,16836.0
2019-01-06,10610.0,0.0,39824.0,0.0,117379.0,0.0,0.0,0.0,0.0,0.0,1053.0,1329.0,0.0,185812.0,5487.0,1091.0,1378.0,0.0,24242.0
2019-01-07,10476.0,0.0,53392.0,0.0,138099.0,0.0,0.0,0.0,0.0,0.0,882.0,1152.0,0.0,185676.0,5481.0,1041.0,1320.0,0.0,3631.0
2019-01-08,10210.0,0.0,52483.0,0.0,144554.0,0.0,0.0,0.0,0.0,0.0,646.0,892.0,0.0,185797.0,5284.0,1069.0,1300.0,0.0,5426.0
2019-01-09,11190.0,0.0,47831.0,0.0,130658.0,0.0,0.0,0.0,0.0,0.0,523.0,754.0,0.0,185803.0,5351.0,1099.0,1349.0,0.0,9043.0
2019-01-10,11158.0,0.0,49158.0,0.0,134924.0,0.0,0.0,0.0,0.0,0.0,648.0,627.0,0.0,185554.0,5760.0,1051.0,1333.0,0.0,10869.0
2019-01-11,11056.0,0.0,48172.0,0.0,139423.0,0.0,0.0,0.0,0.0,0.0,694.0,890.0,0.0,185647.0,5758.0,1087.0,1349.0,0.0,18666.0
2019-01-12,11113.0,0.0,47573.0,0.0,122006.0,0.0,0.0,0.0,0.0,0.0,732.0,906.0,0.0,185904.0,5812.0,1135.0,1327.0,0.0,14940.0
2019-01-13,11169.0,0.0,36633.0,0.0,123591.0,0.0,0.0,0.0,0.0,0.0,766.0,960.0,0.0,185938.0,5812.0,1088.0,1350.0,0.0,10293.0
2019-01-14,10931.0,0.0,47322.0,0.0,130340.0,0.0,0.0,0.0,0.0,0.0,807.0,960.0,0.0,185918.0,5812.0,1078.0,1341.0,0.0,23749.0
2019-01-15,10806.0,0.0,51308.0,0.0,131182.0,0.0,0.0,0.0,0.0,0.0,837.0,1036.0,0.0,185847.0,5242.0,1137.0,1323.0,0.0,20463.0
2019-01-16,10935.0,0.0,40666.0,0.0,127434.0,0.0,0.0,0.0,0.0,0.0,859.0,1047.0,0.0,185987.0,5460.0,1152.0,1316.0,0.0,9192.0
2019-01-17,10873.0,0.0,57276.0,0.0,144292.0,0.0,0.0,0.0,0.0,0.0,855.0,1106.0,0.0,186038.0,5702.0,1143.0,1306.0,0.0,5970.0
2019-01-18,10833.0,0.0,58255.0,0.0,134559.0,0.0,0.0,0.0,0.0,0.0,915.0,1070.0,0.0,186014.0,8140.0,1175.0,1354.0,0.0,8471.0
2019-01-19,11015.0,0.0,57631.0,0.0,127911.0,0.0,0.0,0.0,0.0,0.0,938.0,1196.0,0.0,185911.0,8476.0,1183.0,1366.0,0.0,1673.0
2019-01-20,11115.0,0.0,58091.0,0.0,128006.0,0.0,0.0,0.0,0.0,0.0,1027.0,1248.0,0.0,185668.0,8476.0,1171.0,1384.0,0.0,1760.0
2019-01-21,11193.0,0.0,58675.0,0.0,142927.0,0.0,0.0,0.0,0.0,0.0,1160.0,1318.0,0.0,185535.0,8476.0,1130.0,1315.0,0.0,1333.0
2019-01-22,11102.0,0.0,60310.0,0.0,154054.0,0.0,0.0,0.0,0.0,0.0,1243.0,1507.0,0.0,185421.0,8040.0,1087.0,1305.0,0.0,309.0
2019-01-23,10859.0,0.0,60698.0,0.0,148770.0,0.0,0.0,0.0,0.0,0.0,1248.0,1459.0,0.0,185558.0,8604.0,1090.0,1307.0,0.0,354.0
2019-01-24,11102.0,0.0,51432.0,0.0,143257.0,0.0,0.0,0.0,0.0,0.0,1186.0,1440.0,0.0,185577.0,8100.0,1104.0,1323.0,0.0,12850.0
2019-01-25,11010.0,0.0,50807.0,0.0,140225.0,0.0,0.0,0.0,0.0,0.0,1144.0,1440.0,0.0,185514.0,8636.0,1199.0,1335.0,0.0,21006.0
2019-01-26,10909.0,0.0,50025.0,0.0,116779.0,0.0,0.0,0.0,0.0,0.0,1080.0,1427.0,0.0,185604.0,7982.0,1169.0,1375.0,0.0,8061.0
2019-01-27,10951.0,0.0,56473.0,0.0,108768.0,0.0,0.0,0.0,0.0,0.0,1198.0,1464.0,0.0,185529.0,7982.0,1181.0,1377.0,0.0,9326.0
2019-01-28,11217.0,0.0,56442.0,0.0,119759.0,0.0,0.0,0.0,0.0,0.0,1309.0,1597.0,0.0,185683.0,7982.0,1223.0,1322.0,0.0,4382.0
2019-01-29,11324.0,0.0,57906.0,0.0,113301.0,8.0,0.0,0.0,0.0,0.0,1341.0,1632.0,0.0,185096.0,8254.0,1240.0,1331.0,0.0,6709.0
2019-01-30,11199.0,0.0,51653.0,0.0,131910.0,0.0,0.0,0.0,0.0,0.0,1337.0,1628.0,0.0,184492.0,8472.0,1237.0,1322.0,0.0,1906.0
2019-01-31,11243.0,0.0,49820.0,0.0,127523.0,0.0,0.0,0.0,0.0,0.0,1331.0,1632.0,0.0,184225.0,8612.0,1222.0,1355.0,0.0,1870.0
2019-02-01,11392.0,0.0,47354.0,0.0,125423.0,0.0,0.0,0.0,0.0,0.0,1404.0,1692.0,0.0,183831.0,8812.0,1079.0,1362.0,0.0,20272.0
2019-02-02,10870.0,0.0,46752.0,0.0,65728.0,0.0,0.0,0.0,0.0,0.0,1403.0,1715.0,0.0,183577.0,8550.0,1188.0,1342.0,0.0,21092.0
2019-02-03,10529.0,0.0,41079.0,0.0,64561.0,0.0,0.0,0.0,0.0,0.0,1254.0,1648.0,0.0,183266.0,8550.0,1202.0,1368.0,0.0,13522.0
2019-02-04,11587.0,0.0,54437.0,0.0,103979.0,0.0,0.0,0.0,0.0,0.0,1128.0,1550.0,0.0,138949.0,8550.0,1189.0,1324.0,0.0,14998.0
2019-02-05,13146.0,0.0,57251.0,0.0,115371.0,0.0,0.0,0.0,0.0,0.0,988.0,1320.0,0.0,138776.0,8016.0,1179.0,1344.0,0.0,1023.0
2019-02-06,12675.0,0.0,57610.0,0.0,113455.0,0.0,0.0,0.0,0.0,0.0,728.0,863.0,0.0,139479.0,8130.0,1167.0,1401.0,0.0,5848.0
2019-02-07,12508.0,0.0,56689.0,0.0,80598.0,0.0,0.0,0.0,0.0,0.0,602.0,609.0,0.0,139640.0,9036.0,1181.0,1428.0,0.0,8021.0
2019-02-08,12340.0,0.0,56897.0,0.0,82995.0,0.0,0.0,0.0,0.0,0.0,537.0,500.0,0.0,139607.0,9018.0,1171.0,1450.0,0.0,932.0
2019-02-09,11151.0,0.0,44691.0,0.0,66879.0,0.0,0.0,0.0,0.0,0.0,642.0,480.0,0.0,139783.0,8900.0,1156.0,1432.0,0.0,9684.0
2019-02-10,10541.0,0.0,39438.0,0.0,69479.0,0.0,0.0,0.0,0.0,0.0,802.0,585.0,0.0,139918.0,8900.0,1166.0,1459.0,0.0,15086.0
2019-02-11,10558.0,0.0,46022.0,0.0,70647.0,0.0,0.0,0.0,0.0,0.0,1000.0,828.0,0.0,140047.0,8900.0,1105.0,1419.0,0.0,22090.0
2019-02-12,10482.0,0.0,49232.0,0.0,72869.0,0.0,0.0,0.0,0.0,0.0,1157.0,1065.0,0.0,139783.0,8796.0,1126.0,1373.0,0.0,27072.0
2019-02-13,10640.0,0.0,49433.0,0.0,79243.0,0.0,0.0,0.0,0.0,0.0,1208.0,1313.0,0.0,139592.0,7560.0,1172.0,1357.0,0.0,9203.0
2019-02-14,10695.0,0.0,54827.0,0.0,69505.0,0.0,0.0,0.0,0.0,0.0,1185.0,1423.0,0.0,138797.0,7880.0,1154.0,1366.0,0.0,13598.0
2019-02-15,10627.0,0.0,47626.0,0.0,69056.0,0.0,0.0,0.0,0.0,0.0,1207.0,1500.0,0.0,139507.0,8464.0,1223.0,1402.0,0.0,4942.0
2019-02-16,10601.0,0.0,36310.0,0.0,63102.0,0.0,0.0,0.0,0.0,0.0,1212.0,1598.0,0.0,139567.0,7598.0,1235.0,1383.0,0.0,653.0
2019-02-17,10324.0,0.0,37654.0,0.0,55328.0,0.0,0.0,0.0,0.0,0.0,1303.0,1728.0,0.0,135785.0,7598.0,1182.0,1356.0,0.0,257.0
2019-02-18,10513.0,0.0,51721.0,0.0,93803.0,0.0,0.0,0.0,0.0,0.0,1373.0,1732.0,0.0,139737.0,7598.0,1213.0,1302.0,0.0,2651.0
2019-02-19,10732.0,0.0,51324.0,0.0,94444.0,0.0,0.0,0.0,0.0,0.0,1409.0,1776.0,0.0,139937.0,8540.0,1252.0,1350.0,0.0,3543.0
2019-02-20,10825.0,0.0,53276.0,0.0,70189.0,0.0,0.0,0.0,0.0,0.0,1425.0,1720.0,0.0,140119.0,9240.0,1280.0,1333.0,0.0,6572.0
2019-02-21,11032.0,0.0,54481.0,0.0,68796.0,0.0,0.0,0.0,0.0,0.0,1437.0,1783.0,0.0,140094.0,9222.0,1251.0,1364.0,0.0,2881.0
2019-02-22,10829.0,0.0,55340.0,0.0,71970.0,0.0,0.0,0.0,0.0,0.0,1419.0,1834.0,0.0,139825.0,8438.0,1281.0,1345.0,0.0,22445.0
2019-02-23,10456.0,0.0,52549.0,0.0,64694.0,0.0,0.0,0.0,0.0,0.0,1425.0,1751.0,0.0,139729.0,8776.0,1250.0,1307.0,0.0,7636.0
2019-02-24,10632.0,0.0,39205.0,0.0,71162.0,0.0,0.0,0.0,0.0,0.0,1459.0,1728.0,0.0,139770.0,8776.0,1230.0,848.0,0.0,1774.0
2019-02-25,12052.0,0.0,52538.0,0.0,75582.0,0.0,0.0,0.0,0.0,0.0,1411.0,1679.0,0.0,139808.0,8776.0,1264.0,657.0,0.0,4635.0
2019-02-26,13025.0,0.0,52772.0,0.0,65239.0,0.0,0.0,0.0,0.0,0.0,1398.0,1668.0,0.0,140053.0,8506.0,1249.0,543.0,0.0,21509.0
2019-02-27,13088.0,0.0,54564.0,0.0,61115.0,0.0,0.0,0.0,0.0,0.0,1376.0,1603.0,0.0,140112.0,8920.0,1261.0,684.0,0.0,12455.0
2019-02-28,11049.0,0.0,55060.0,0.0,58236.0,0.0,0.0,0.0,0.0,0.0,1312.0,1507.0,0.0,140078.0,8778.0,1283.0,752.0,0.0,15317.0
2019-03-01,9805.0,0.0,55347.0,0.0,60184.0,0.0,0.0,0.0,0.0,0.0,1308.0,1604.0,0.0,140101.0,8826.0,1193.0,793.0,0.0,18428.0
2019-03-02,8068.0,0.0,50754.0,0.0,56054.0,0.0,0.0,0.0,0.0,0.0,1312.0,1593.0,0.0,140249.0,8884.0,1241.0,931.0,0.0,4681.0
2019-03-03,10666.0,0.0,44940.0,0.0,49730.0,0.0,0.0,0.0,0.0,0.0,1335.0,1536.0,0.0,140049.0,8884.0,1231.0,953.0,0.0,5276.0
2019-03-04,12475.0,0.0,49567.0,0.0,71577.0,0.0,0.0,0.0,0.0,0.0,1374.0,1546.0,0.0,138907.0,8884.0,1232.0,935.0,0.0,13304.0
2019-03-05,13078.0,0.0,53721.0,0.0,68937.0,0.0,0.0,0.0,0.0,0.0,1341.0,1552.0,0.0,140020.0,8732.0,1201.0,886.0,0.0,14562.0
2019-03-06,12874.0,0.0,55321.0,0.0,78743.0,0.0,0.0,0.0,0.0,0.0,1417.0,1712.0,0.0,140018.0,8732.0,1274.0,1031.0,0.0,11681.0
2019-03-07,13074.0,0.0,53910.0,0.0,77555.0,0.0,0.0,0.0,0.0,0.0,1443.0,1856.0,0.0,139961.0,9158.0,1250.0,1066.0,0.0,20834.0
2019-03-08,13082.0,0.0,52157.0,0.0,72622.0,0.0,0.0,0.0,0.0,0.0,1345.0,1909.0,0.0,140034.0,9104.0,1290.0,1143.0,0.0,2713.0
2019-03-09,12704.0,0.0,36067.0,0.0,41927.0,0.0,0.0,0.0,0.0,0.0,1305.0,1920.0,0.0,139893.0,7918.0,1253.0,1191.0,0.0,8581.0
2019-03-10,11870.0,0.0,37789.0,0.0,37081.0,197.0,0.0,0.0,0.0,0.0,1183.0,1895.0,0.0,139212.0,7918.0,1239.0,1593.0,0.0,13635.0
2019-03-11,11135.0,0.0,44696.0,0.0,58545.0,0.0,0.0,0.0,0.0,0.0,956.0,1683.0,0.0,139993.0,7918.0,1156.0,1758.0,0.0,19788.0
2019-03-12,10914.0,0.0,41458.0,0.0,62154.0,0.0,0.0,0.0,0.0,0.0,658.0,1074.0,0.0,139967.0,7946.0,914.0,1768.0,0.0,11828.0
2019-03-13,10892.0,0.0,42303.0,0.0,68687.0,0.0,0.0,0.0,0.0,0.0,298.0,603.0,0.0,139945.0,8446.0,1053.0,1757.0,0.0,10291.0
2019-03-14,10998.0,0.0,45608.0,0.0,64228.0,0.0,0.0,0.0,0.0,0.0,185.0,68.0,0.0,140115.0,8714.0,1156.0,1801.0,0.0,7274.0
2019-03-15,10985.0,0.0,54281.0,0.0,57034.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,140374.0,9486.0,1206.0,1803.0,0.0,14534.0
2019-03-16,9730.0,0.0,50809.0,0.0,31030.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,140252.0,9486.0,1213.0,1794.0,0.0,8375.0
2019-03-17,8448.0,0.0,40622.0,0.0,32619.0,0.0,0.0,0.0,0.0,0.0,877.0,512.0,0.0,140175.0,9486.0,1211.0,1819.0,0.0,11382.0
2019-03-18,8229.0,0.0,58573.0,0.0,70792.0,0.0,0.0,0.0,0.0,0.0,836.0,812.0,0.0,140198.0,9486.0,1169.0,1817.0,0.0,12722.0
2019-03-19,8236.0,0.0,62895.0,0.0,80631.0,0.0,0.0,0.0,0.0,0.0,742.0,825.0,0.0,140246.0,10056.0,1122.0,1821.0,0.0,9339.0
2019-03-20,8271.0,0.0,66074.0,0.0,73702.0,0.0,0.0,0.0,0.0,0.0,720.0,768.0,0.0,140281.0,9544.0,1129.0,1807.0,0.0,7619.0
2019-03-21,10372.0,0.0,67106.0,0.0,75561.0,0.0,0.0,0.0,0.0,0.0,689.0,768.0,0.0,140318.0,9860.0,1137.0,1804.0,0.0,458.0
2019-03-22,10847.0,0.0,66641.0,0.0,71680.0,0.0,0.0,0.0,0.0,0.0,769.0,755.0,0.0,140408.0,10398.0,1139.0,1843.0,0.0,330.0
2019-03-23,10516.0,0.0,53556.0,0.0,44009.0,0.0,0.0,0.0,0.0,0.0,843.0,780.0,0.0,140344.0,10404.0,1148.0,1871.0,0.0,1121.0
2019-03-24,11053.0,0.0,48690.0,0.0,42378.0,0.0,0.0,0.0,0.0,0.0,919.0,861.0,0.0,137842.0,10404.0,1133.0,1844.0,0.0,1834.0
2019-03-25,11143.0,0.0,58388.0,0.0,63597.0,150.0,0.0,0.0,0.0,0.0,892.0,925.0,0.0,139817.0,10599.0,1086.0,1827.0,0.0,14160.0
2019-03-26,11102.0,0.0,60316.0,0.0,75698.0,3.0,0.0,0.0,0.0,0.0,948.0,1021.0,0.0,139717.0,10400.0,1123.0,1820.0,0.0,18274.0
2019-03-27,11016.0,0.0,60527.0,0.0,77175.0,0.0,0.0,0.0,0.0,0.0,928.0,1170.0,0.0,139728.0,8916.0,1130.0,1833.0,0.0,12741.0
2019-03-28,11136.0,0.0,60267.0,0.0,81485.0,0.0,0.0,0.0,0.0,0.0,869.0,1232.0,0.0,139779.0,9200.0,1139.0,1836.0,0.0,6052.0
2019-03-29,10998.0,0.0,45416.0,0.0,77290.0,0.0,0.0,0.0,0.0,0.0,942.0,1303.0,0.0,139776.0,10670.0,1175.0,1799.0,0.0,1328.0
2019-03-30,10949.0,0.0,45044.0,0.0,32637.0,0.0,0.0,0.0,0.0,0.0,1073.0,1429.0,0.0,139158.0,10280.0,1107.0,1796.0,0.0,361.0
2019-03-31,10663.0,0.0,38319.0,0.0,29425.0,0.0,0.0,0.0,0.0,0.0,1144.0,1557.0,0.0,133672.0,9872.0,1078.0,1797.0,0.0,2538.0
2019-04-01,8236.0,0.0,44647.0,0.0,58814.0,0.0,0.0,0.0,0.0,0.0,1146.0,1658.0,0.0,139324.0,10280.0,1159.0,1865.0,0.0,6782.0
2019-04-02,6767.0,0.0,49614.0,0.0,61138.0,0.0,0.0,0.0,0.0,0.0,1126.0,1802.0,0.0,139476.0,10868.0,1107.0,1856.0,0.0,6763.0
2019-04-03,6985.0,0.0,51895.0,0.0,68309.0,0.0,0.0,0.0,0.0,0.0,1079.0,1932.0,0.0,139124.0,10346.0,1192.0,1870.0,0.0,16966.0
2019-04-04,10870.0,0.0,50934.0,0.0,68536.0,0.0,0.0,0.0,0.0,0.0,1035.0,1976.0,0.0,152921.0,9870.0,1145.0,1871.0,0.0,19723.0
2019-04-05,10986.0,0.0,49613.0,0.0,73921.0,1148.0,0.0,0.0,0.0,0.0,1090.0,2060.0,0.0,166512.0,8708.0,1165.0,1351.0,0.0,11286.0
2019-04-06,10870.0,0.0,12320.0,0.0,66005.0,0.0,0.0,0.0,0.0,0.0,1129.0,2058.0,0.0,182472.0,8912.0,1152.0,1385.0,0.0,1282.0
2019-04-07,10963.0,0.0,9139.0,0.0,54875.0,0.0,0.0,0.0,0.0,0.0,1154.0,1959.0,0.0,185236.0,9104.0,1151.0,1410.0,0.0,3384.0
2019-04-08,10814.0,0.0,15829.0,0.0,66100.0,0.0,0.0,0.0,0.0,0.0,971.0,2048.0,0.0,185166.0,4882.0,1168.0,1403.0,0.0,4777.0
2019-04-09,11086.0,0.0,15766.0,0.0,81812.0,0.0,0.0,0.0,0.0,0.0,862.0,2127.0,0.0,185112.0,9480.0,1147.0,1430.0,0.0,6894.0
2019-04-10,10873.0,0.0,38941.0,0.0,92256.0,0.0,0.0,0.0,0.0,0.0,1056.0,1951.0,0.0,183905.0,9478.0,1181.0,1447.0,0.0,6213.0
2019-04-11,10777.0,0.0,52857.0,0.0,99484.0,0.0,0.0,0.0,0.0,0.0,1010.0,1865.0,0.0,184912.0,9012.0,1192.0,1400.0,0.0,15400.0
2019-04-12,10448.0,0.0,52355.0,0.0,110953.0,0.0,0.0,0.0,0.0,0.0,1028.0,1854.0,0.0,185065.0,9744.0,1202.0,1388.0,0.0,16080.0
2019-04-13,10749.0,0.0,44664.0,0.0,72582.0,1.0,0.0,0.0,0.0,0.0,1046.0,2053.0,0.0,185204.0,10062.0,1210.0,1436.0,0.0,8544.0
2019-04-14,10840.0,0.0,38875.0,0.0,62914.0,0.0,0.0,0.0,0.0,0.0,1009.0,1964.0,0.0,185516.0,10062.0,1215.0,1609.0,0.0,3269.0
2019-04-15,10764.0,0.0,28523.0,0.0,69989.0,0.0,0.0,0.0,0.0,0.0,1059.0,1600.0,0.0,185539.0,10062.0,1217.0,1556.0,0.0,2998.0
2019-04-16,10878.0,0.0,41496.0,0.0,57975.0,0.0,0.0,0.0,0.0,0.0,1159.0,1616.0,0.0,185557.0,10520.0,1192.0,1534.0,0.0,1937.0
2019-04-17,12339.0,0.0,43101.0,0.0,54838.0,0.0,0.0,0.0,0.0,0.0,1172.0,1670.0,0.0,185261.0,11190.0,1079.0,1553.0,0.0,4734.0
2019-04-18,11188.0,0.0,43897.0,0.0,49097.0,0.0,0.0,0.0,0.0,0.0,1192.0,1852.0,0.0,185404.0,10604.0,1038.0,612.0,0.0,810.0
2019-04-19,11032.0,0.0,43889.0,0.0,38863.0,0.0,0.0,0.0,0.0,0.0,1264.0,2048.0,0.0,185419.0,10670.0,1113.0,1421.0,0.0,3127.0
2019-04-20,10868.0,0.0,36407.0,0.0,35022.0,0.0,0.0,0.0,0.0,0.0,1241.0,2034.0,0.0,185140.0,10670.0,1042.0,1542.0,0.0,1062.0
2019-04-21,10972.0,0.0,25674.0,0.0,33949.0,0.0,0.0,0.0,0.0,0.0,1229.0,1894.0,0.0,183811.0,10670.0,961.0,1560.0,0.0,1691.0
2019-04-22,10195.0,0.0,27249.0,0.0,34089.0,0.0,0.0,0.0,0.0,0.0,1213.0,1866.0,0.0,183212.0,10566.0,891.0,1552.0,0.0,7892.0
2019-04-23,11049.0,0.0,39823.0,0.0,47213.0,0.0,0.0,0.0,0.0,0.0,1180.0,1942.0,0.0,173880.0,10566.0,974.0,1587.0,0.0,18805.0
2019-04-24,11047.0,0.0,43858.0,0.0,47281.0,0.0,0.0,0.0,0.0,0.0,1212.0,1934.0,0.0,173384.0,9036.0,1030.0,1612.0,0.0,17780.0
2019-04-25,11036.0,0.0,43292.0,0.0,46557.0,0.0,0.0,0.0,0.0,0.0,1199.0,1961.0,0.0,184582.0,9410.0,1006.0,1567.0,0.0,18068.0
2019-04-26,10887.0,0.0,42382.0,0.0,42340.0,0.0,0.0,0.0,0.0,0.0,1169.0,1930.0,0.0,184427.0,10478.0,976.0,1593.0,0.0,17352.0
2019-04-27,11060.0,0.0,30948.0,0.0,35396.0,0.0,0.0,0.0,0.0,0.0,1189.0,1818.0,0.0,184361.0,10572.0,955.0,1445.0,0.0,11506.0
2019-04-28,10996.0,0.0,29427.0,0.0,33507.0,0.0,0.0,0.0,0.0,0.0,1207.0,1967.0,0.0,184644.0,10572.0,980.0,1403.0,0.0,19359.0
2019-04-29,10356.0,0.0,37039.0,0.0,38800.0,0.0,0.0,0.0,0.0,0.0,1245.0,2103.0,0.0,184763.0,10572.0,948.0,1397.0,0.0,14508.0
2019-04-30,10397.0,0.0,48201.0,0.0,41347.0,0.0,0.0,0.0,0.0,0.0,1231.0,2255.0,0.0,184559.0,9372.0,948.0,1283.0,0.0,11019.0
2019-05-01,10749.0,0.0,34771.0,0.0,39983.0,0.0,0.0,0.0,0.0,0.0,1153.0,2139.0,0.0,184575.0,9828.0,946.0,1306.0,0.0,21699.0
2019-05-02,10937.0,0.0,33568.0,0.0,39981.0,0.0,0.0,0.0,0.0,0.0,1136.0,2111.0,0.0,184566.0,9824.0,919.0,1335.0,0.0,3275.0
2019-05-03,10786.0,0.0,33537.0,0.0,44064.0,0.0,0.0,0.0,0.0,0.0,1021.0,2058.0,0.0,184514.0,8538.0,1012.0,1296.0,0.0,5356.0
2019-05-04,10614.0,0.0,34176.0,0.0,39320.0,0.0,0.0,0.0,0.0,0.0,803.0,1596.0,0.0,184619.0,9312.0,989.0,1329.0,0.0,733.0
2019-05-05,10358.0,0.0,29451.0,0.0,43442.0,0.0,0.0,0.0,0.0,0.0,914.0,1271.0,0.0,184864.0,9312.0,1037.0,1335.0,0.0,23805.0
2019-05-06,10120.0,0.0,35262.0,0.0,63153.0,0.0,0.0,0.0,0.0,0.0,1013.0,1385.0,0.0,184889.0,9312.0,1007.0,1296.0,0.0,22048.0
2019-05-07,10264.0,0.0,36870.0,0.0,60592.0,0.0,0.0,0.0,0.0,0.0,978.0,1535.0,0.0,185248.0,8726.0,878.0,1314.0,0.0,12680.0
2019-05-08,10571.0,0.0,35720.0,0.0,49703.0,0.0,0.0,0.0,0.0,0.0,771.0,1426.0,0.0,185496.0,8836.0,808.0,1321.0,0.0,11281.0
2019-05-09,10069.0,0.0,35025.0,0.0,52532.0,0.0,0.0,0.0,0.0,0.0,543.0,1144.0,0.0,185417.0,9016.0,859.0,1312.0,0.0,8393.0
2019-05-10,7507.0,0.0,36142.0,0.0,51242.0,0.0,0.0,0.0,0.0,0.0,384.0,742.0,0.0,185373.0,9860.0,873.0,1321.0,0.0,4664.0
2019-05-11,7629.0,0.0,31933.0,0.0,38106.0,0.0,0.0,0.0,0.0,0.0,384.0,454.0,0.0,185376.0,8322.0,862.0,1304.0,0.0,3337.0
2019-05-12,7882.0,0.0,24625.0,0.0,34370.0,0.0,0.0,0.0,0.0,0.0,384.0,367.0,0.0,185023.0,8322.0,785.0,1330.0,0.0,14840.0
2019-05-13,7525.0,0.0,32248.0,0.0,41449.0,0.0,0.0,0.0,0.0,0.0,606.0,432.0,0.0,184786.0,8322.0,837.0,1311.0,0.0,24747.0
2019-05-14,7396.0,0.0,33768.0,0.0,50081.0,0.0,0.0,0.0,0.0,0.0,816.0,640.0,0.0,184852.0,10302.0,1017.0,1339.0,0.0,22432.0
2019-05-15,7102.0,0.0,35008.0,0.0,59810.0,0.0,0.0,0.0,0.0,0.0,887.0,997.0,0.0,184847.0,10788.0,961.0,1278.0,0.0,15735.0
2019-05-16,7776.0,0.0,35019.0,0.0,54813.0,0.0,0.0,0.0,0.0,0.0,1059.0,1184.0,0.0,185378.0,9280.0,990.0,1313.0,0.0,2914.0
