Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,0.0,0.0,0.0,0.0,432239.0,185786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46560.0,386025.0,0.0,52.0,23782.0,76291.0,76741.0
2019-01-02,0.0,0.0,0.0,0.0,497864.0,271797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46576.0,408535.0,0.0,52.0,21784.0,61879.0,47874.0
2019-01-03,0.0,0.0,0.0,0.0,564029.0,292144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46548.0,353462.0,0.0,132.0,21832.0,32796.0,18777.0
2019-01-04,0.0,0.0,0.0,0.0,534861.0,289475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46557.0,418179.0,0.0,13.0,21717.0,60849.0,41739.0
2019-01-05,0.0,0.0,0.0,0.0,457322.0,289074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46538.0,469595.0,0.0,14.0,23181.0,73730.0,72541.0
2019-01-06,0.0,0.0,0.0,0.0,481343.0,292765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46570.0,353849.0,0.0,14.0,23562.0,30300.0,26795.0
2019-01-07,0.0,0.0,0.0,0.0,520168.0,286509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46555.0,464450.0,0.0,35.0,23247.0,51044.0,56004.0
2019-01-08,0.0,0.0,0.0,0.0,412298.0,310389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46500.0,555576.0,0.0,77.0,21974.0,72431.0,89816.0
2019-01-09,0.0,0.0,0.0,0.0,464335.0,343956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46579.0,506821.0,0.0,170.0,21983.0,76767.0,66881.0
2019-01-10,0.0,0.0,0.0,0.0,569295.0,354685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46575.0,397618.0,0.0,52.0,21268.0,12167.0,17190.0
2019-01-11,0.0,0.0,0.0,0.0,517716.0,345670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46534.0,442377.0,0.0,85.0,22644.0,57110.0,47628.0
2019-01-12,0.0,0.0,0.0,0.0,397526.0,343997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46572.0,429293.0,0.0,29.0,23953.0,66231.0,74706.0
2019-01-13,0.0,0.0,0.0,0.0,271338.0,317232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46569.0,449914.0,0.0,30.0,23467.0,68624.0,85124.0
2019-01-14,0.0,0.0,0.0,0.0,439298.0,333997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46563.0,474221.0,0.0,198.0,21556.0,64999.0,55742.0
2019-01-15,0.0,0.0,0.0,0.0,495189.0,338071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46564.0,447842.0,0.0,78.0,21199.0,73709.0,73910.0
2019-01-16,0.0,0.0,0.0,0.0,452219.0,322078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46549.0,495306.0,0.0,56.0,21467.0,72488.0,79928.0
2019-01-17,0.0,0.0,0.0,0.0,509174.0,331287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46556.0,444326.0,0.0,110.0,21384.0,71686.0,60202.0
2019-01-18,0.0,0.0,0.0,0.0,587960.0,358679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46561.0,363293.0,0.0,220.0,21918.0,15665.0,19820.0
2019-01-19,0.0,0.0,0.0,0.0,548699.0,337349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46547.0,407409.0,0.0,345.0,22674.0,26350.0,24872.0
2019-01-20,0.0,0.0,0.0,0.0,549778.0,324357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46545.0,375183.0,0.0,366.0,23426.0,3641.0,12839.0
2019-01-21,0.0,0.0,0.0,0.0,593067.0,352071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46563.0,385614.0,0.0,332.0,23003.0,9806.0,17136.0
2019-01-22,0.0,0.0,0.0,0.0,577790.0,344741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46568.0,454559.0,0.0,17.0,22209.0,68279.0,45055.0
2019-01-23,0.0,0.0,0.0,0.0,622760.0,324699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46537.0,383025.0,0.0,77.0,22325.0,5978.0,12546.0
2019-01-24,0.0,0.0,0.0,0.0,672807.0,357719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46552.0,368742.0,0.0,81.0,21975.0,3088.0,9016.0
2019-01-25,0.0,0.0,0.0,0.0,634074.0,348935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46539.0,435694.0,0.0,55.0,22463.0,21087.0,33661.0
2019-01-26,0.0,0.0,0.0,0.0,462961.0,294809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46566.0,453642.0,0.0,71.0,24633.0,62443.0,74997.0
2019-01-27,0.0,0.0,0.0,0.0,307126.0,242893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46581.0,449655.0,0.0,80.0,24637.0,59557.0,70920.0
2019-01-28,0.0,0.0,0.0,0.0,511527.0,269477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46564.0,523762.0,0.0,76.0,23485.0,60344.0,65819.0
2019-01-29,0.0,0.0,0.0,0.0,599369.0,302883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46574.0,426105.0,0.0,128.0,21198.0,53095.0,36462.0
2019-01-30,0.0,0.0,0.0,0.0,619380.0,307230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46560.0,422713.0,0.0,35.0,22981.0,27119.0,16402.0
2019-01-31,0.0,0.0,0.0,0.0,653575.0,299183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46561.0,439340.0,0.0,22.0,22374.0,23083.0,16743.0
2019-02-01,0.0,0.0,0.0,0.0,625433.0,235353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45978.0,427608.0,0.0,10.0,21438.0,45717.0,22276.0
2019-02-02,0.0,0.0,0.0,0.0,580977.0,314952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46515.0,416155.0,0.0,25.0,22609.0,15544.0,16931.0
2019-02-03,0.0,0.0,0.0,0.0,449375.0,320982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46561.0,342703.0,0.0,149.0,21072.0,38144.0,26599.0
