Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,5220.0,0.0,50833.0,1358.0,20713.0,155471.0,4788.0,0.0,0.0,0.0,5554.0,0.0,4538.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,109114.0
2019-01-02,5720.0,0.0,104772.0,1377.0,26384.0,200691.0,5302.0,0.0,0.0,0.0,3342.0,0.0,4943.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,111027.0
2019-01-03,5571.0,0.0,127373.0,1385.0,28111.0,230955.0,5826.0,0.0,0.0,0.0,361.0,0.0,4906.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,80707.0
2019-01-04,5760.0,0.0,129217.0,1394.0,28967.0,236747.0,5752.0,0.0,0.0,0.0,1710.0,0.0,5163.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,46404.0
2019-01-05,5995.0,0.0,117511.0,1279.0,27178.0,200227.0,5488.0,0.0,0.0,0.0,874.0,0.0,5140.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,67586.0
2019-01-06,6125.0,0.0,126889.0,1273.0,25640.0,211432.0,5713.0,0.0,0.0,0.0,2224.0,0.0,5442.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,24818.0
2019-01-07,6117.0,0.0,138365.0,1289.0,28781.0,249487.0,5685.0,0.0,0.0,0.0,3645.0,0.0,5375.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,27962.0
2019-01-08,6174.0,0.0,130960.0,1302.0,27786.0,249315.0,5737.0,0.0,0.0,0.0,993.0,0.0,5036.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,74661.0
2019-01-09,5656.0,0.0,129540.0,1290.0,28440.0,271781.0,5815.0,0.0,0.0,0.0,1342.0,0.0,5129.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,34261.0
2019-01-10,5963.0,0.0,142074.0,1280.0,29069.0,282812.0,6137.0,0.0,0.0,0.0,1742.0,0.0,4618.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,17802.0
2019-01-11,6121.0,0.0,132575.0,1290.0,29001.0,259884.0,5944.0,0.0,0.0,0.0,1209.0,0.0,4645.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,47386.0
2019-01-12,5866.0,0.0,124756.0,1278.0,27866.0,203418.0,5405.0,0.0,0.0,0.0,2966.0,0.0,4358.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,59333.0
2019-01-13,5558.0,0.0,98787.0,1297.0,24362.0,187964.0,5141.0,0.0,0.0,0.0,5398.0,0.0,4632.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,85246.0
2019-01-14,6048.0,0.0,114382.0,1290.0,26486.0,219783.0,5525.0,0.0,0.0,0.0,6188.0,0.0,4449.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,116123.0
2019-01-15,6123.0,0.0,115765.0,1296.0,27164.0,234507.0,5698.0,0.0,0.0,0.0,5213.0,0.0,4722.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,101119.0
2019-01-16,5898.0,0.0,117824.0,1278.0,28151.0,240760.0,5376.0,0.0,0.0,0.0,5027.0,0.0,5236.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,73744.0
2019-01-17,6249.0,0.0,113127.0,1295.0,27564.0,232521.0,5281.0,0.0,0.0,0.0,1703.0,0.0,5608.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,90240.0
2019-01-18,6291.0,0.0,119022.0,1303.0,29013.0,261788.0,5851.0,0.0,0.0,0.0,1724.0,0.0,5561.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,64821.0
2019-01-19,5970.0,0.0,134366.0,1307.0,29266.0,227711.0,5630.0,0.0,0.0,0.0,470.0,0.0,5981.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,19815.0
2019-01-20,5916.0,0.0,127837.0,1305.0,29162.0,215720.0,5545.0,0.0,0.0,0.0,454.0,0.0,6044.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,11731.0
2019-01-21,6556.0,0.0,133639.0,1299.0,29506.0,291750.0,6048.0,0.0,0.0,0.0,2197.0,0.0,5847.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,17713.0
