Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,796.0,0.0,30513.0,0.0,33459.0,2846.0,0.0,0.0,0.0,0.0,0.0,0.0,26406.0,3915.0,0.0,33390.0,0.0,0.0,1038.0,0.0,0.0,9671.0
2019-01-02,860.0,0.0,29276.0,0.0,39188.0,2895.0,0.0,0.0,0.0,0.0,0.0,0.0,25515.0,4226.0,0.0,33392.0,0.0,0.0,1329.0,0.0,0.0,26234.0
2019-01-03,971.0,0.0,32670.0,0.0,43554.0,2554.0,0.0,0.0,0.0,0.0,0.0,0.0,26064.0,9582.0,0.0,32917.0,0.0,0.0,827.0,0.0,0.0,25566.0
2019-01-04,1044.0,0.0,34005.0,0.0,42094.0,3016.0,0.0,0.0,0.0,0.0,0.0,0.0,24531.0,10077.0,0.0,32921.0,0.0,0.0,1082.0,0.0,0.0,41971.0
2019-01-05,1012.0,0.0,33535.0,0.0,43672.0,5093.0,0.0,0.0,0.0,0.0,0.0,0.0,21722.0,6832.0,0.0,33456.0,0.0,0.0,2254.0,0.0,0.0,16880.0
2019-01-06,1128.0,0.0,31743.0,0.0,38590.0,5024.0,0.0,0.0,0.0,0.0,0.0,0.0,20706.0,4965.0,0.0,33500.0,0.0,0.0,552.0,0.0,0.0,33705.0
2019-01-07,1289.0,0.0,29162.0,0.0,36538.0,4968.0,0.0,0.0,0.0,0.0,0.0,0.0,19540.0,5502.0,0.0,33015.0,0.0,0.0,1093.0,0.0,0.0,55044.0
2019-01-08,1459.0,0.0,42126.0,0.0,46911.0,4468.0,0.0,0.0,0.0,0.0,0.0,0.0,20115.0,14711.0,0.0,33375.0,0.0,0.0,1948.0,0.0,0.0,23411.0
2019-01-09,1486.0,0.0,45965.0,0.0,48019.0,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,20325.0,16471.0,0.0,32892.0,0.0,0.0,1217.0,0.0,0.0,19589.0
2019-01-10,1502.0,0.0,47837.0,0.0,45011.0,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,20262.0,19111.0,0.0,33020.0,0.0,0.0,373.0,0.0,0.0,21119.0
2019-01-11,1505.0,0.0,49506.0,0.0,44364.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,17756.0,15358.0,0.0,33136.0,0.0,0.0,280.0,0.0,0.0,21262.0
2019-01-12,1381.0,0.0,48755.0,0.0,46768.0,5878.0,0.0,0.0,0.0,0.0,0.0,0.0,18040.0,8489.0,0.0,33309.0,0.0,0.0,1114.0,0.0,0.0,20881.0
2019-01-13,1331.0,0.0,49127.0,0.0,44107.0,2538.0,0.0,0.0,0.0,0.0,0.0,0.0,19568.0,5943.0,0.0,33362.0,0.0,0.0,1267.0,0.0,0.0,10323.0
