Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,264.0,0.0,6050.0,0.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5736.0,0.0,0.0,16663.0,0.0,0.0,318.0,211.0,0.0,0.0
2019-01-02,275.0,0.0,6496.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5684.0,0.0,0.0,16658.0,0.0,0.0,318.0,199.0,0.0,0.0
2019-01-03,120.0,0.0,7614.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6529.0,0.0,0.0,16659.0,0.0,0.0,413.0,190.0,0.0,0.0
2019-01-04,96.0,0.0,13108.0,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307.0,0.0,0.0,16552.0,0.0,0.0,361.0,179.0,0.0,0.0
2019-01-05,264.0,0.0,12907.0,0.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5540.0,0.0,0.0,16535.0,0.0,0.0,111.0,183.0,0.0,1.0
2019-01-06,281.0,0.0,12520.0,0.0,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4861.0,0.0,0.0,16530.0,0.0,0.0,279.0,191.0,0.0,2.0
2019-01-07,288.0,0.0,16618.0,0.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5808.0,0.0,0.0,16522.0,0.0,0.0,66.0,188.0,0.0,0.0
2019-01-08,288.0,0.0,18827.0,0.0,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5255.0,0.0,0.0,16536.0,0.0,0.0,67.0,194.0,0.0,11.0
2019-01-09,264.0,0.0,18290.0,0.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,0.0,0.0,16535.0,0.0,0.0,209.0,191.0,0.0,2.0
2019-01-10,230.0,0.0,18708.0,0.0,1413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6195.0,0.0,0.0,16543.0,0.0,0.0,156.0,202.0,0.0,1.0
2019-01-11,242.0,0.0,18186.0,0.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7287.0,0.0,0.0,16541.0,0.0,0.0,492.0,197.0,0.0,3.0
2019-01-12,296.0,0.0,13773.0,0.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4394.0,0.0,0.0,16540.0,0.0,0.0,392.0,207.0,0.0,5.0
2019-01-13,263.0,0.0,13206.0,0.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4488.0,0.0,0.0,16542.0,0.0,0.0,463.0,212.0,0.0,5.0
2019-01-14,312.0,0.0,12959.0,0.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5132.0,0.0,0.0,16522.0,0.0,0.0,446.0,226.0,0.0,3.0
2019-01-15,312.0,0.0,13383.0,0.0,1786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5435.0,0.0,0.0,16512.0,0.0,0.0,532.0,220.0,0.0,0.0
2019-01-16,288.0,0.0,17038.0,0.0,1701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5201.0,0.0,0.0,16493.0,0.0,0.0,325.0,194.0,0.0,0.0
2019-01-17,288.0,0.0,18428.0,0.0,1781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5893.0,0.0,0.0,16511.0,0.0,0.0,196.0,199.0,0.0,3.0
2019-01-18,308.0,0.0,12488.0,0.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8317.0,0.0,0.0,16643.0,0.0,0.0,46.0,199.0,0.0,8.0
2019-01-19,312.0,0.0,8012.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7855.0,0.0,0.0,16704.0,0.0,0.0,38.0,218.0,0.0,13.0
2019-01-20,306.0,0.0,6829.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6489.0,0.0,0.0,16704.0,0.0,0.0,331.0,220.0,0.0,23.0
2019-01-21,310.0,0.0,7613.0,0.0,1642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6949.0,0.0,0.0,16695.0,0.0,0.0,135.0,221.0,0.0,24.0
2019-01-22,312.0,0.0,8218.0,0.0,2144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6628.0,0.0,0.0,16704.0,0.0,0.0,184.0,215.0,0.0,21.0
2019-01-23,288.0,0.0,8304.0,0.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6131.0,0.0,0.0,16632.0,0.0,0.0,3.0,199.0,0.0,38.0
2019-01-24,288.0,0.0,13483.0,0.0,2154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6779.0,0.0,0.0,16631.0,0.0,0.0,58.0,197.0,0.0,39.0
2019-01-25,144.0,0.0,19485.0,0.0,1458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.0,0.0,0.0,16629.0,0.0,0.0,141.0,192.0,0.0,26.0
2019-01-26,288.0,0.0,13348.0,0.0,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5472.0,0.0,0.0,16531.0,0.0,0.0,171.0,192.0,0.0,39.0
2019-01-27,288.0,0.0,13726.0,0.0,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.0,0.0,0.0,16535.0,0.0,0.0,150.0,195.0,0.0,43.0
2019-01-28,288.0,0.0,13082.0,0.0,1491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7806.0,0.0,0.0,16628.0,0.0,0.0,99.0,210.0,0.0,33.0
2019-01-29,233.0,0.0,10051.0,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5401.0,0.0,0.0,12528.0,0.0,0.0,218.0,151.0,0.0,25.0
2019-01-30,266.0,0.0,13140.0,0.0,1484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7557.0,0.0,0.0,16699.0,0.0,0.0,250.0,197.0,0.0,31.0
2019-01-31,278.0,0.0,13234.0,0.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8915.0,0.0,0.0,16011.0,0.0,0.0,140.0,192.0,0.0,26.0
2019-02-01,144.0,0.0,13194.0,0.0,1478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498.0,0.0,0.0,16706.0,0.0,0.0,105.0,230.0,0.0,32.0
2019-02-02,144.0,0.0,13263.0,0.0,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14328.0,0.0,0.0,16644.0,0.0,0.0,134.0,240.0,0.0,25.0
2019-02-03,264.0,0.0,11438.0,0.0,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15933.0,0.0,0.0,16552.0,0.0,0.0,251.0,238.0,0.0,24.0
2019-02-04,288.0,0.0,13822.0,0.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18590.0,0.0,0.0,16628.0,0.0,0.0,583.0,241.0,0.0,24.0
