Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-01-01,2150.0,0.0,2647.0,0.0,4147.0,1376.0,1920.0,0.0,0.0,0.0,480.0,1809.0,8864.0,348.0,0.0,46079.0,5252.0,1548.0,166.0,0.0,0.0,0.0
2019-01-02,2089.0,0.0,2633.0,0.0,4415.0,1464.0,5076.0,0.0,0.0,0.0,1387.0,1052.0,10657.0,797.0,0.0,45950.0,5436.0,1547.0,379.0,0.0,0.0,0.0
2019-01-03,2063.0,0.0,4068.0,0.0,4939.0,1602.0,6468.0,0.0,0.0,0.0,926.0,1033.0,10519.0,507.0,0.0,46195.0,5745.0,1517.0,794.0,0.0,0.0,0.0
2019-01-04,2054.0,0.0,4717.0,0.0,4684.0,1534.0,6453.0,0.0,0.0,0.0,88.0,424.0,10636.0,458.0,0.0,46255.0,5675.0,1567.0,728.0,0.0,0.0,0.0
2019-01-05,2053.0,0.0,4618.0,0.0,4452.0,1471.0,1264.0,0.0,0.0,0.0,170.0,1527.0,9414.0,260.0,0.0,46188.0,5636.0,1574.0,36.0,0.0,0.0,0.0
2019-01-06,2058.0,0.0,4648.0,0.0,4409.0,1443.0,1253.0,0.0,0.0,0.0,78.0,703.0,9024.0,470.0,0.0,46164.0,5498.0,1572.0,386.0,0.0,0.0,0.0
2019-01-07,2162.0,0.0,4638.0,0.0,4766.0,1571.0,6560.0,0.0,0.0,0.0,1545.0,465.0,10054.0,833.0,0.0,46243.0,5325.0,1530.0,915.0,0.0,0.0,0.0
2019-01-08,2157.0,0.0,2722.0,0.0,5099.0,1744.0,6944.0,0.0,0.0,0.0,961.0,1020.0,11639.0,560.0,0.0,46260.0,5235.0,1539.0,32.0,0.0,0.0,0.0
2019-01-09,2174.0,0.0,2511.0,0.0,4708.0,1586.0,6846.0,0.0,0.0,0.0,1109.0,1629.0,12179.0,337.0,0.0,46384.0,5674.0,1491.0,118.0,0.0,0.0,0.0
2019-01-10,2078.0,0.0,2776.0,0.0,4496.0,1553.0,6774.0,0.0,0.0,0.0,1096.0,1850.0,12390.0,558.0,0.0,46415.0,5297.0,1524.0,328.0,0.0,0.0,0.0
2019-01-11,2094.0,0.0,2505.0,0.0,4614.0,1572.0,7330.0,0.0,0.0,0.0,454.0,426.0,11686.0,631.0,0.0,46454.0,5698.0,1457.0,595.0,0.0,0.0,0.0
2019-01-12,2185.0,0.0,2663.0,0.0,4721.0,1556.0,1318.0,0.0,0.0,0.0,168.0,518.0,11685.0,489.0,0.0,46394.0,5487.0,1511.0,228.0,0.0,0.0,0.0
2019-01-13,2322.0,0.0,3137.0,0.0,4590.0,1528.0,1233.0,0.0,0.0,0.0,71.0,1199.0,10782.0,454.0,0.0,46328.0,5335.0,1525.0,435.0,0.0,0.0,0.0
2019-01-14,2256.0,0.0,3580.0,0.0,4350.0,1444.0,6720.0,0.0,0.0,0.0,631.0,1140.0,12239.0,624.0,0.0,46268.0,5308.0,1528.0,736.0,0.0,0.0,0.0
