Date,Day-ahead Total Load Forecast [MW] - BZN|AT,Actual Total Load [MW] - BZN|AT
2019-01-01,627288.0,623533.0
2019-01-02,734028.0,742956.0
2019-01-03,734028.0,782598.0
2019-01-04,727644.0,790212.0
2019-01-05,669344.0,733771.0
2019-01-06,612732.0,675378.0
2019-01-07,751124.0,815779.0
2019-01-08,751124.0,842384.0
2019-01-09,751124.0,845923.0
2019-01-10,765288.0,852286.0
2019-01-11,770732.0,846070.0
2019-01-12,672560.0,749518.0
2019-01-13,621828.0,688099.0
2019-01-14,805308.0,826017.0
2019-01-15,805308.0,843989.0
2019-01-16,805308.0,833958.0
2019-01-17,808432.0,834417.0
2019-01-18,806884.0,826567.0
2019-01-19,692096.0,748625.0
2019-01-20,643088.0,700637.0
2019-01-21,802612.0,850676.0
2019-01-22,802612.0,880093.0
2019-01-23,802612.0,892116.0
2019-01-24,802112.0,884693.0
2019-01-25,801804.0,870314.0
2019-01-26,701556.0,773634.0
2019-01-27,651876.0,697905.0
2019-01-28,822848.0,845561.0
2019-01-29,822848.0,851470.0
2019-01-30,822848.0,853418.0
2019-01-31,827944.0,858497.0
2019-02-01,825628.0,835633.0
2019-02-02,709224.0,712615.0
2019-02-03,658212.0,678145.0
2019-02-04,821824.0,818382.0
2019-02-05,821824.0,834714.0
2019-02-06,821824.0,846003.0
2019-02-07,822600.0,855113.0
2019-02-08,811180.0,819084.0
2019-02-09,708660.0,721246.0
2019-02-10,660784.0,669749.0
2019-02-11,810872.0,831200.0
2019-02-12,810872.0,844564.0
2019-02-13,810872.0,823945.0
2019-02-14,809956.0,809639.0
2019-02-15,805456.0,789522.0
2019-02-16,696328.0,692908.0
2019-02-17,648656.0,638882.0
2019-02-18,802784.0,785775.0
2019-02-19,802784.0,785154.0
2019-02-20,798100.0,796019.0
2019-02-21,791252.0,791293.0
2019-02-22,783708.0,794088.0
2019-02-23,685980.0,703771.0
2019-02-24,638056.0,665829.0
2019-02-25,778364.0,786892.0
2019-02-26,778364.0,788947.0
2019-02-27,773592.0,773773.0
2019-02-28,773592.0,767209.0
2019-03-01,772000.0,761131.0
2019-03-02,680460.0,682245.0
2019-03-03,633800.0,615882.0
2019-03-04,763892.0,760633.0
2019-03-05,763892.0,766093.0
2019-03-06,756460.0,768600.0
2019-03-07,750000.0,777509.0
