Date,Day-ahead Total Load Forecast [MW] - BZN|BE,Actual Total Load [MW] - BZN|BE
2019-01-01,816203.0,813811.0
2019-01-02,1010807.0,972739.0
2019-01-03,1035322.0,1059791.0
2019-01-04,1029018.0,1075954.0
2019-01-05,961734.0,981027.0
2019-01-06,915600.0,959569.0
2019-01-07,1079457.0,1075081.0
2019-01-08,1101830.0,1064912.0
2019-01-09,1089538.0,1091180.0
2019-01-10,1086510.0,1135820.0
2019-01-11,1114160.0,1111741.0
2019-01-12,1004428.0,980115.0
2019-01-13,938452.0,922490.0
2019-01-14,1055669.0,1057000.0
2019-01-15,1077358.0,1075439.0
2019-01-16,1086847.0,1077663.0
2019-01-17,1112476.0,1106865.0
2019-01-18,1080095.0,1139253.0
2019-01-19,1007300.0,1033574.0
2019-01-20,958369.0,1003218.0
2019-01-21,1091986.0,1146093.0
2019-01-22,1117500.0,1170673.0
2019-01-23,1130345.0,1155524.0
2019-01-24,1139440.0,1158288.0
2019-01-25,1129985.0,1129495.0
2019-01-26,1002473.0,978253.0
2019-01-27,942620.0,933729.0
2019-01-28,1085283.0,1069950.0
2019-01-29,1101229.0,1108404.0
2019-01-30,1110620.0,1139199.0
2019-01-31,1141773.0,1158221.0
2019-02-01,1154228.0,1123489.0
2019-02-02,1003616.0,1036729.0
2019-02-03,958891.0,977385.0
2019-02-04,1092408.0,1098663.0
2019-02-05,1109798.0,1122408.0
2019-02-06,1113267.0,1107613.0
2019-02-07,1103784.0,1063037.0
2019-02-08,1066743.0,1062298.0
2019-02-09,981729.0,959543.0
2019-02-10,922037.0,929534.0
2019-02-11,1066699.0,1073914.0
2019-02-12,1088114.0,1092803.0
2019-02-13,1104023.0,974507.0
2019-02-14,1043802.0,1040956.0
2019-02-15,1051330.0,1040383.0
2019-02-16,948084.0,935501.0
2019-02-17,901367.0,877782.0
2019-02-18,1036480.0,1004194.0
2019-02-19,1058582.0,1025027.0
2019-02-20,1013855.0,1039831.0
2019-02-21,1056812.0,1036145.0
2019-02-22,1035154.0,1042954.0
2019-02-23,947322.0,926585.0
2019-02-24,892026.0,893153.0
2019-02-25,1028662.0,1003404.0
2019-02-26,1037220.0,1020623.0
2019-02-27,1029824.0,1006933.0
2019-02-28,1025544.0,1011143.0
2019-03-01,1034376.0,1038920.0
2019-03-02,940740.0,922671.0
2019-03-03,887844.0,867528.0
2019-03-04,1012648.0,959801.0
2019-03-05,1032475.0,1005931.0
2019-03-06,1020950.0,999934.0
2019-03-07,1014749.0,995911.0
2019-03-08,1024728.0,998314.0
2019-03-09,907315.0,894601.0
2019-03-10,854652.0,869958.0
2019-03-11,993454.0,997724.0
2019-03-12,1026252.0,987242.0
2019-03-13,1016242.0,1011092.0
2019-03-14,1023641.0,1018831.0
2019-03-15,1026621.0,1009501.0
2019-03-16,899671.0,898259.0
2019-03-17,871474.0,856599.0
2019-03-18,994687.0,1009735.0
2019-03-19,1017276.0,1020265.0
2019-03-20,1018962.0,1019275.0
2019-03-21,1020249.0,998966.0
2019-03-22,1001108.0,972067.0
2019-03-23,892553.0,909231.0
2019-03-24,863363.0,852052.0
2019-03-25,994115.0,951570.0
2019-03-26,984582.0,1005341.0
2019-03-27,1019833.0,1003611.0
2019-03-28,994542.0,1013363.0
2019-03-29,994940.0,971365.0
2019-03-30,878196.0,866364.0
2019-03-31,804453.0,773601.0
2019-04-01,954737.0,940913.0
2019-04-02,980089.0,957689.0
2019-04-03,992421.0,995730.0
2019-04-04,1012503.0,994148.0
2019-04-05,979461.0,974070.0
2019-04-06,881421.0,878650.0
2019-04-07,814406.0,825650.0
2019-04-08,943765.0,982602.0
2019-04-09,990636.0,997501.0
2019-04-10,1003287.0,933496.0
2019-04-11,972610.0,951139.0
2019-04-12,965711.0,987065.0
2019-04-13,887401.0,891613.0
2019-04-14,845283.0,869439.0
2019-04-15,978169.0,941367.0
2019-04-16,966545.0,948074.0
2019-04-17,925257.0,968405.0
2019-04-18,949842.0,914963.0
2019-04-19,940812.0,889140.0
2019-04-20,850899.0,802044.0
2019-04-21,797027.0,759613.0
2019-04-22,784347.0,755696.0
2019-04-23,935773.0,889735.0
2019-04-24,948883.0,881605.0
2019-04-25,915056.0,898471.0
2019-04-26,909069.0,925189.0
2019-04-27,840149.0,803493.0
2019-04-28,798955.0,823871.0
2019-04-29,933503.0,934583.0
2019-04-30,947694.0,936284.0
2019-05-01,793953.0,817020.0
2019-05-02,910553.0,936681.0
2019-05-03,946416.0,952914.0
2019-05-04,839869.0,827678.0
2019-05-05,821111.0,811070.0
2019-05-06,938305.0,963033.0
2019-05-07,958369.0,963833.0
2019-05-08,939178.0,950619.0
2019-05-09,942832.0,942757.0
2019-05-10,947152.0,941524.0
2019-05-11,821516.0,833140.0
2019-05-12,802729.0,809360.0
2019-05-13,936866.0,921571.0
2019-05-14,932283.0,921826.0
2019-05-15,925003.0,921964.0
2019-05-16,922721.0,915098.0
2019-05-17,936340.0,947696.0
2019-05-18,821360.0,842873.0
2019-05-19,797288.0,797315.0
2019-05-20,927968.0,936445.0
2019-05-21,928430.0,915706.0
2019-05-22,926635.0,930016.0
2019-05-23,915357.0,920133.0
2019-05-24,929406.0,911725.0
2019-05-25,815290.0,832115.0
2019-05-26,789788.0,761865.0
2019-05-27,911333.0,897492.0
2019-05-28,909417.0,925098.0
2019-05-29,930675.0,919100.0
2019-05-30,781227.0,780769.0
2019-05-31,845861.0,817422.0
2019-06-01,811889.0,786967.0
2019-06-02,767396.0,748488.0
2019-06-03,894820.0,905009.0
2019-06-04,911294.0,905618.0
2019-06-05,922147.0,914709.0
2019-06-06,923804.0,917752.0
2019-06-07,919147.0,896342.0
2019-06-08,808264.0,786342.0
2019-06-09,753067.0,776088.0
2019-06-10,766697.0,783520.0
2019-06-11,897753.0,900204.0
2019-06-12,921217.0,940538.0
2019-06-13,923360.0,909346.0
2019-06-14,903504.0,917886.0
2019-06-15,816720.0,822066.0
2019-06-16,754853.0,780276.0
2019-06-17,906497.0,888093.0
2019-06-18,909278.0,922796.0
2019-06-19,934383.0,939583.0
2019-06-20,916740.0,920256.0
2019-06-21,913955.0,905606.0
2019-06-22,810046.0,813465.0
2019-06-23,765874.0,779316.0
2019-06-24,914418.0,940798.0
2019-06-25,935991.0,965692.0
2019-06-26,950514.0,951921.0
2019-06-27,910136.0,917544.0
