Date,Day-ahead Total Load Forecast [MW] - BZN|CZ,Actual Total Load [MW] - BZN|CZ
2019-01-01,154901.0,148723.0
2019-01-02,188383.0,191535.0
2019-01-03,204858.0,208335.0
2019-01-04,213913.0,211672.0
2019-01-05,196103.0,186076.0
2019-01-06,190328.0,182553.0
2019-01-07,213446.0,216406.0
2019-01-08,222406.0,219091.0
2019-01-09,222725.0,219736.0
2019-01-10,221552.0,219834.0
2019-01-11,221115.0,220664.0
2019-01-12,193960.0,191403.0
2019-01-13,191919.0,184620.0
2019-01-14,215418.0,214784.0
2019-01-15,218037.0,219876.0
2019-01-16,222179.0,215467.0
2019-01-17,215623.0,214754.0
2019-01-18,215528.0,213693.0
2019-01-19,192659.0,194738.0
2019-01-20,199932.0,192979.0
2019-01-21,225869.0,227941.0
2019-01-22,230750.0,235809.0
2019-01-23,233965.0,237888.0
2019-01-24,237809.0,235722.0
2019-01-25,230157.0,231038.0
2019-01-26,203901.0,203371.0
2019-01-27,194316.0,191359.0
2019-01-28,223416.0,221765.0
2019-01-29,225412.0,224230.0
2019-01-30,224619.0,225692.0
2019-01-31,230987.0,224237.0
2019-02-01,222741.0,217621.0
2019-02-02,193104.0,185329.0
2019-02-03,189968.0,185495.0
2019-02-04,221384.0,217938.0
2019-02-05,224057.0,224502.0
2019-02-06,227429.0,224801.0
2019-02-07,222890.0,225647.0
2019-02-08,222647.0,216910.0
2019-02-09,193410.0,189201.0
2019-02-10,182278.0,181774.0
2019-02-11,215550.0,212315.0
2019-02-12,217458.0,217785.0
2019-02-13,220130.0,216888.0
2019-02-14,217101.0,211218.0
2019-02-15,207784.0,205923.0
2019-02-16,183983.0,181164.0
2019-02-17,190485.0,175634.0
2019-02-18,210327.0,205937.0
2019-02-19,213841.0,208590.0
2019-02-20,210981.0,208841.0
2019-02-21,211087.0,209506.0
2019-02-22,208384.0,206438.0
2019-02-23,183155.0,186922.0
2019-02-24,185557.0,183371.0
2019-02-25,214772.0,205779.0
2019-02-26,213299.0,204011.0
2019-02-27,202758.0,201340.0
2019-02-28,204275.0,197593.0
2019-03-01,200166.0,196361.0
2019-03-02,177579.0,175982.0
2019-03-03,171272.0,169860.0
2019-03-04,194933.0,193559.0
2019-03-05,198178.0,200647.0
2019-03-06,202749.0,197787.0
2019-03-07,200744.0,196169.0
2019-03-08,192507.0,194303.0
2019-03-09,169989.0,172053.0
2019-03-10,166377.0,165505.0
2019-03-11,195091.0,198300.0
2019-03-12,195681.0,203699.0
2019-03-13,202138.0,203939.0
2019-03-14,199913.0,205178.0
2019-03-15,198077.0,199808.0
2019-03-16,172127.0,175759.0
2019-03-17,159556.0,164764.0
2019-03-18,199187.0,198725.0
2019-03-19,200327.0,204113.0
2019-03-20,201574.0,202499.0
2019-03-21,198345.0,200160.0
2019-03-22,195991.0,192811.0
2019-03-23,166049.0,162998.0
2019-03-24,160300.0,162007.0
2019-03-25,192117.0,195177.0
2019-03-26,194471.0,200249.0
2019-03-27,195279.0,200283.0
2019-03-28,196050.0,193180.0
2019-03-29,191008.0,191148.0
2019-03-30,166057.0,164047.0
2019-03-31,153560.0,145175.0
2019-04-01,188343.0,188300.0
2019-04-02,187600.0,188916.0
2019-04-03,189388.0,185115.0
2019-04-04,180378.0,187076.0
2019-04-05,180382.0,184179.0
2019-04-06,161817.0,160582.0
2019-04-07,152414.0,155911.0
2019-04-08,183743.0,186018.0
2019-04-09,184901.0,187540.0
2019-04-10,184140.0,192421.0
2019-04-11,191837.0,196124.0
2019-04-12,189130.0,198474.0
2019-04-13,166697.0,174246.0
2019-04-14,163689.0,168559.0
2019-04-15,195448.0,193199.0
2019-04-16,190358.0,195513.0
2019-04-17,191741.0,195446.0
2019-04-18,187565.0,188471.0
2019-04-19,157416.0,157030.0
2019-04-20,145520.0,148631.0
2019-04-21,148618.0,142651.0
2019-04-22,137090.0,140443.0
2019-04-23,170576.0,181568.0
2019-04-24,176781.0,184151.0
2019-04-25,176012.0,182362.0
2019-04-26,176317.0,179315.0
2019-04-27,155330.0,157131.0
2019-04-28,151421.0,153742.0
2019-04-29,181023.0,189037.0
2019-04-30,181083.0,183985.0
2019-05-01,158816.0,161141.0
2019-05-02,181220.0,178840.0
2019-05-03,179575.0,179773.0
2019-05-04,160007.0,159092.0
2019-05-05,154446.0,158001.0
2019-05-06,189330.0,188169.0
2019-05-07,185070.0,188745.0
2019-05-08,163979.0,164571.0
2019-05-09,184816.0,184103.0
2019-05-10,176144.0,177610.0
2019-05-11,158930.0,156055.0
2019-05-12,149585.0,155196.0
2019-05-13,181848.0,184862.0
2019-05-14,185281.0,190152.0
2019-05-15,187119.0,195319.0
2019-05-16,188709.0,193716.0
2019-05-17,184777.0,184494.0
2019-05-18,155785.0,154756.0
2019-05-19,153374.0,149119.0
2019-05-20,181446.0,181241.0
2019-05-21,184347.0,180875.0
2019-05-22,181097.0,186175.0
2019-05-23,178603.0,183847.0
2019-05-24,177688.0,176671.0
2019-05-25,150062.0,148794.0
2019-05-26,144745.0,145236.0
2019-05-27,172000.0,177084.0
2019-05-28,178892.0,179855.0
2019-05-29,176098.0,180343.0
2019-05-30,177570.0,178678.0
2019-05-31,168613.0,173950.0
2019-06-01,140874.0,148439.0
2019-06-02,139825.0,145475.0
2019-06-03,171905.0,177048.0
2019-06-04,175262.0,180315.0
2019-06-05,173806.0,180655.0
2019-06-06,172953.0,179550.0
2019-06-07,169002.0,174359.0
2019-06-08,141466.0,146510.0
2019-06-09,137419.0,143440.0
2019-06-10,168216.0,177288.0
2019-06-11,176031.0,182676.0
2019-06-12,176716.0,184323.0
2019-06-13,178413.0,182271.0
2019-06-14,172712.0,178505.0
2019-06-15,142768.0,152457.0
2019-06-16,141370.0,144144.0
2019-06-17,170135.0,174953.0
2019-06-18,172924.0,177952.0
2019-06-19,174529.0,180332.0
2019-06-20,175451.0,179299.0
2019-06-21,171056.0,176187.0
2019-06-22,142242.0,149672.0
2019-06-23,137025.0,145347.0
2019-06-24,170810.0,177040.0
2019-06-25,173297.0,183348.0
2019-06-26,177786.0,186607.0
2019-06-27,178933.0,185424.0
2019-06-28,176630.0,173499.0
2019-06-29,141601.0,146596.0
2019-06-30,136617.0,145650.0
2019-07-01,170390.0,178959.0
2019-07-02,174506.0,177411.0
2019-07-03,172473.0,173598.0
2019-07-04,163130.0,169164.0
2019-07-05,141761.0,143553.0
2019-07-06,134891.0,139039.0
2019-07-07,133835.0,139366.0
2019-07-08,164456.0,168112.0
2019-07-09,166319.0,170605.0
2019-07-10,168238.0,170113.0
2019-07-11,165539.0,170433.0
2019-07-12,160751.0,167347.0
2019-07-13,137031.0,143419.0
2019-07-14,134166.0,139014.0
2019-07-15,161350.0,166884.0
2019-07-16,163275.0,169678.0
2019-07-17,162950.0,170351.0
2019-07-18,163016.0,171517.0
2019-07-19,162857.0,167820.0
2019-07-20,138293.0,145149.0
2019-07-21,134999.0,140929.0
2019-07-22,167588.0,165497.0
2019-07-23,160033.0,169738.0
2019-07-24,164130.0,169884.0
2019-07-25,164495.0,170941.0
2019-07-26,162775.0,166363.0
2019-07-27,136948.0,141667.0
2019-07-28,135009.0,137344.0
2019-07-29,158763.0,160320.0
2019-07-30,157211.0,162802.0
2019-07-31,156135.0,161274.0
2019-08-01,155713.0,158465.0
2019-08-02,149733.0,155644.0
2019-08-03,128150.0,135753.0
2019-08-04,130067.0,133416.0
2019-08-05,158143.0,160808.0
2019-08-06,158080.0,167290.0
2019-08-07,159147.0,169053.0
2019-08-08,162360.0,167095.0
2019-08-09,157190.0,165530.0
2019-08-10,137181.0,145127.0
2019-08-11,136012.0,142034.0
2019-08-12,162704.0,171202.0
2019-08-13,168413.0,171950.0
2019-08-14,164943.0,170679.0
2019-08-15,166407.0,170534.0
2019-08-16,164389.0,168031.0
2019-08-17,142281.0,143873.0
2019-08-18,137397.0,143650.0
