Date,Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Actual Total Load [MW] - BZN|DE-LU
2019-01-01,4586479.0,4432537.0
2019-01-02,5348921.0,5609349.0
2019-01-03,5545841.0,5923985.0
2019-01-04,5318826.0,6007229.0
2019-01-05,5081081.0,5317585.0
2019-01-06,4726589.0,4880089.0
2019-01-07,5554804.0,6162640.0
2019-01-08,5986077.0,6485239.0
2019-01-09,6002898.0,6565937.0
2019-01-10,6080350.0,6396868.0
2019-01-11,5925709.0,6500730.0
2019-01-12,5255555.0,5542848.0
2019-01-13,5027964.0,5173616.0
2019-01-14,5962677.0,6328894.0
2019-01-15,6257308.0,6492068.0
2019-01-16,6291997.0,6492219.0
2019-01-17,6307187.0,6563660.0
2019-01-18,6210010.0,6311094.0
2019-01-19,5496524.0,5507151.0
2019-01-20,5165046.0,5173468.0
2019-01-21,6107825.0,6467784.0
2019-01-22,6306198.0,6689467.0
2019-01-23,6183504.0,6666973.0
2019-01-24,6300324.0,6605208.0
2019-01-25,6217626.0,6564186.0
2019-01-26,5472892.0,5718202.0
2019-01-27,5057524.0,5150520.0
2019-01-28,6059765.0,6411013.0
2019-01-29,6129282.0,6478536.0
2019-01-30,6236330.0,6555811.0
2019-01-31,6256504.0,6464329.0
2019-02-01,6150975.0,6464215.0
2019-02-02,5464738.0,5530443.0
2019-02-03,5103619.0,5197882.0
2019-02-04,6045038.0,6398427.0
2019-02-05,6249512.0,6542114.0
2019-02-06,6287964.0,6524828.0
2019-02-07,6330592.0,6564179.0
2019-02-08,6113319.0,6410437.0
2019-02-09,5476108.0,5530976.0
2019-02-10,4904677.0,5050368.0
2019-02-11,5986084.0,6337874.0
2019-02-12,6167346.0,6412408.0
2019-02-13,6222845.0,6444529.0
2019-02-14,6179711.0,6315538.0
2019-02-15,6054265.0,6181191.0
2019-02-16,5298613.0,5310691.0
2019-02-17,4967685.0,4857380.0
2019-02-18,6001159.0,5997786.0
2019-02-19,6129484.0,6313813.0
2019-02-20,5970290.0,6247335.0
2019-02-21,6066669.0,6236733.0
2019-02-22,5931620.0,6105688.0
2019-02-23,5117043.0,5270958.0
2019-02-24,4772999.0,4794007.0
2019-02-25,5798692.0,5943705.0
2019-02-26,5858536.0,6003069.0
2019-02-27,5741968.0,6066968.0
2019-02-28,5813839.0,6046808.0
2019-03-01,5764892.0,6028737.0
2019-03-02,4932781.0,5218844.0
2019-03-03,4565643.0,4831405.0
2019-03-04,5531090.0,5946553.0
2019-03-05,5780648.0,6128078.0
2019-03-06,5971328.0,6113966.0
2019-03-07,5911122.0,6159861.0
2019-03-08,5744608.0,6035810.0
2019-03-09,5081899.0,5267287.0
2019-03-10,4627560.0,4831641.0
2019-03-11,5797389.0,6078063.0
2019-03-12,6010042.0,6195817.0
2019-03-13,5966224.0,6299168.0
2019-03-14,6012290.0,6309190.0
2019-03-15,5976281.0,6180592.0
2019-03-16,5170765.0,5241280.0
2019-03-17,4741600.0,4866086.0
2019-03-18,5794214.0,5997757.0
2019-03-19,5904981.0,6104574.0
2019-03-20,5918756.0,6129802.0
2019-03-21,5757658.0,6073728.0
2019-03-22,5627954.0,5861985.0
2019-03-23,4856394.0,5007405.0
2019-03-24,4644416.0,4653230.0
2019-03-25,5764102.0,5941278.0
2019-03-26,5771662.0,6061683.0
2019-03-27,5717026.0,6025916.0
2019-03-28,5664024.0,5920773.0
2019-03-29,5527605.0,5725579.0
2019-03-30,4739414.0,4826366.0
2019-03-31,4194188.0,4393940.0
2019-04-01,5430148.0,5663184.0
2019-04-02,5605054.0,5960202.0
2019-04-03,5516771.0,5941944.0
2019-04-04,5504822.0,5979157.0
2019-04-05,5372802.0,5883578.0
2019-04-06,4638875.0,4880049.0
2019-04-07,4296937.0,4445986.0
2019-04-08,5271694.0,5647703.0
2019-04-09,5457167.0,5854419.0
2019-04-10,5526630.0,5852644.0
2019-04-11,5548234.0,5804184.0
2019-04-12,5493479.0,5820636.0
2019-04-13,4780194.0,5070582.0
2019-04-14,4427920.0,4691109.0
2019-04-15,5371959.0,5682532.0
2019-04-16,5480628.0,5859542.0
2019-04-17,5521986.0,5775372.0
2019-04-18,5422761.0,5553530.0
2019-04-19,4427882.0,4368409.0
2019-04-20,4330355.0,4310854.0
2019-04-21,4137780.0,3902791.0
2019-04-22,4216304.0,4110273.0
2019-04-23,5236957.0,5403337.0
2019-04-24,5376682.0,5601578.0
2019-04-25,5392372.0,5603681.0
2019-04-26,5381573.0,5565612.0
2019-04-27,4583228.0,4774174.0
2019-04-28,4174418.0,4415667.0
2019-04-29,5166267.0,5622876.0
2019-04-30,5182357.0,5554946.0
2019-05-01,4326649.0,4386788.0
2019-05-02,5001866.0,5517870.0
2019-05-03,5318688.0,5619985.0
2019-05-04,4692189.0,4909928.0
2019-05-05,4232028.0,4516693.0
2019-05-06,5196444.0,5743662.0
2019-05-07,5300965.0,5812610.0
2019-05-08,5422868.0,5860625.0
2019-05-09,5287096.0,5762528.0
2019-05-10,5309412.0,5687736.0
2019-05-11,4584883.0,4841950.0
2019-05-12,4269302.0,4406135.0
2019-05-13,5232102.0,5553560.0
2019-05-14,5375418.0,5676082.0
2019-05-15,5370894.0,5790172.0
2019-05-16,5331186.0,5880496.0
2019-05-17,5237850.0,5668647.0
2019-05-18,4651096.0,4684483.0
2019-05-19,4226073.0,4338215.0
2019-05-20,5180955.0,5630600.0
2019-05-21,5358568.0,5872044.0
2019-05-22,5332840.0,5759076.0
2019-05-23,5326138.0,5703039.0
2019-05-24,5212883.0,5582362.0
2019-05-25,4481741.0,4666144.0
2019-05-26,4236212.0,4359463.0
2019-05-27,5201832.0,5542448.0
2019-05-28,5311721.0,5615058.0
2019-05-29,5150625.0,5480515.0
2019-05-30,4339842.0,4458716.0
2019-05-31,4715357.0,4863201.0
2019-06-01,4383200.0,4537659.0
2019-06-02,4158621.0,4273800.0
2019-06-03,5174235.0,5532819.0
2019-06-04,5252546.0,5719676.0
2019-06-05,5390995.0,5732807.0
2019-06-06,5516922.0,5655455.0
