Date,Day-ahead Total Load Forecast [MW] - BZN|HR,Actual Total Load [MW] - BZN|HR
2019-01-01,44342.0,43986.0
2019-01-02,49253.0,51915.0
2019-01-03,53265.0,54890.0
2019-01-04,56946.0,56059.0
2019-01-05,52191.0,53636.0
2019-01-06,49473.0,49416.0
2019-01-07,55087.0,56502.0
2019-01-08,57069.0,58125.0
2019-01-09,58507.0,56565.0
2019-01-10,59505.0,57043.0
2019-01-11,57081.0,56560.0
2019-01-12,52561.0,53045.0
2019-01-13,50528.0,49265.0
2019-01-14,54228.0,54521.0
2019-01-15,55436.0,55605.0
2019-01-16,54605.0,55244.0
2019-01-17,54190.0,54369.0
2019-01-18,55911.0,55228.0
2019-01-19,52503.0,51653.0
2019-01-20,47608.0,48589.0
2019-01-21,55964.0,56094.0
2019-01-22,56926.0,57483.0
2019-01-23,54085.0,56662.0
2019-01-24,58762.0,57491.0
2019-01-25,58347.0,58428.0
2019-01-26,55526.0,54215.0
2019-01-27,51158.0,50364.0
2019-01-28,56586.0,55666.0
2019-01-29,56397.0,56560.0
2019-01-30,55992.0,56422.0
2019-01-31,56835.0,56861.0
2019-02-01,56652.0,55538.0
2019-02-02,50505.0,49840.0
2019-02-03,46511.0,46031.0
2019-02-04,53684.0,52277.0
2019-02-05,53618.0,53781.0
2019-02-06,53710.0,53582.0
2019-02-07,53265.0,53283.0
2019-02-08,53062.0,53897.0
2019-02-09,50071.0,50084.0
2019-02-10,44824.0,46837.0
2019-02-11,52173.0,53572.0
2019-02-12,53534.0,54417.0
2019-02-13,54485.0,54785.0
2019-02-14,53982.0,53797.0
2019-02-15,54148.0,53086.0
2019-02-16,49250.0,48724.0
2019-02-17,46331.0,45498.0
2019-02-18,51555.0,51367.0
2019-02-19,52792.0,52080.0
2019-02-20,52233.0,52272.0
2019-02-21,51883.0,51399.0
2019-02-22,52709.0,52112.0
2019-02-23,51743.0,51374.0
2019-02-24,48291.0,49004.0
2019-02-25,53324.0,53173.0
2019-02-26,52117.0,51996.0
2019-02-27,51882.0,50716.0
2019-02-28,50594.0,50102.0
2019-03-01,49472.0,50279.0
2019-03-02,45972.0,46518.0
2019-03-03,43143.0,42672.0
2019-03-04,47624.0,48521.0
2019-03-05,48004.0,49614.0
2019-03-06,49166.0,49170.0
2019-03-07,47790.0,48978.0
2019-03-08,48428.0,48084.0
2019-03-09,44748.0,44434.0
2019-03-10,41856.0,41759.0
2019-03-11,48784.0,48902.0
2019-03-12,49622.0,50799.0
2019-03-13,50709.0,51262.0
2019-03-14,50269.0,50744.0
2019-03-15,50657.0,49366.0
2019-03-16,46068.0,45482.0
2019-03-17,42332.0,41543.0
2019-03-18,48468.0,49527.0
2019-03-19,50415.0,50803.0
2019-03-20,50354.0,50374.0
2019-03-21,50371.0,48911.0
2019-03-22,49935.0,48220.0
2019-03-23,44683.0,43828.0
2019-03-24,40955.0,40057.0
2019-03-25,47338.0,45659.0
2019-03-26,48604.0,48986.0
2019-03-27,50060.0,49217.0
2019-03-28,49367.0,48372.0
2019-03-29,47783.0,47254.0
2019-03-30,43459.0,43351.0
2019-03-31,37714.0,38607.0
2019-04-01,41673.0,45061.0
2019-04-02,45450.0,45672.0
2019-04-03,45428.0,45844.0
2019-04-04,45561.0,46124.0
2019-04-05,47462.0,47896.0
2019-04-06,42588.0,43443.0
2019-04-07,41052.0,41763.0
2019-04-08,46167.0,47682.0
2019-04-09,47956.0,47621.0
2019-04-10,49536.0,48814.0
2019-04-11,48614.0,49484.0
2019-04-12,50211.0,50167.0
2019-04-13,46318.0,47016.0
