Date,Day-ahead Total Load Forecast [MW] - BZN|HU,Actual Total Load [MW] - BZN|HU
2019-01-01,361872.0,398144.0
2019-01-02,465379.0,478352.0
2019-01-03,489488.0,518311.0
2019-01-04,493025.0,530921.0
2019-01-05,459269.0,512511.0
2019-01-06,444676.0,476842.0
2019-01-07,510212.0,540434.0
2019-01-08,532623.0,566838.0
2019-01-09,542559.0,559548.0
2019-01-10,543345.0,558643.0
2019-01-11,544114.0,557089.0
2019-01-12,499813.0,515592.0
2019-01-13,475415.0,481728.0
2019-01-14,531164.0,533585.0
2019-01-15,535073.0,550900.0
2019-01-16,535073.0,548050.0
2019-01-17,528353.0,538522.0
2019-01-18,535211.0,543413.0
2019-01-19,500993.0,501277.0
2019-01-20,469710.0,483256.0
2019-01-21,522141.0,542747.0
2019-01-22,540862.0,565375.0
2019-01-23,550146.0,575454.0
2019-01-24,550239.0,569903.0
2019-01-25,552436.0,565896.0
2019-01-26,495284.0,512547.0
2019-01-27,475365.0,477781.0
2019-01-28,532136.0,540810.0
2019-01-29,549859.0,539758.0
2019-01-30,539991.0,553788.0
2019-01-31,539811.0,552761.0
2019-02-01,536521.0,548591.0
2019-02-02,483959.0,490813.0
2019-02-03,463459.0,464288.0
2019-02-04,527161.0,524634.0
2019-02-05,525071.0,544064.0
2019-02-06,522068.0,535350.0
2019-02-07,523551.0,541379.0
2019-02-08,529485.0,539147.0
2019-02-09,476215.0,496568.0
2019-02-10,453427.0,472053.0
2019-02-11,519129.0,530160.0
2019-02-12,528120.0,536259.0
2019-02-13,521191.0,539299.0
2019-02-14,517599.0,530051.0
2019-02-15,517827.0,524293.0
2019-02-16,472482.0,476151.0
2019-02-17,449933.0,448805.0
2019-02-18,505190.0,506028.0
2019-02-19,494173.0,511715.0
2019-02-20,492143.0,520116.0
2019-02-21,491993.0,519113.0
2019-02-22,500972.0,523473.0
2019-02-23,472530.0,485142.0
2019-02-24,449731.0,471508.0
2019-02-25,496864.0,517415.0
2019-02-26,502400.0,518369.0
2019-02-27,501985.0,510521.0
2019-02-28,492270.0,503929.0
2019-03-01,490280.0,505159.0
2019-03-02,460993.0,462910.0
2019-03-03,434652.0,442263.0
2019-03-04,491374.0,486714.0
2019-03-05,489295.0,490806.0
2019-03-06,468805.0,488526.0
2019-03-07,471517.0,504923.0
2019-03-08,476236.0,496822.0
2019-03-09,445244.0,450952.0
2019-03-10,432727.0,433860.0
2019-03-11,475536.0,490011.0
2019-03-12,468249.0,497962.0
2019-03-13,485382.0,517207.0
2019-03-14,486397.0,506169.0
2019-03-15,408306.0,427850.0
2019-03-16,422977.0,430017.0
2019-03-17,416700.0,417031.0
2019-03-18,463432.0,493184.0
2019-03-19,484084.0,507177.0
2019-03-20,485317.0,495802.0
2019-03-21,479778.0,500529.0
2019-03-22,479809.0,494617.0
2019-03-23,430786.0,443581.0
2019-03-24,397277.0,418176.0
2019-03-25,464754.0,491009.0
2019-03-26,485689.0,496283.0
2019-03-27,477328.0,496197.0
2019-03-28,483229.0,496585.0
2019-03-29,473528.0,488521.0
2019-03-30,424431.0,442484.0
2019-03-31,0.0,397791.0
2019-04-01,445191.0,469658.0
2019-04-02,458242.0,479542.0
2019-04-03,468518.0,488705.0
2019-04-04,468518.0,486938.0
2019-04-05,470198.0,487710.0
2019-04-06,428191.0,445702.0
2019-04-07,395609.0,414642.0
2019-04-08,452306.0,465924.0
2019-04-09,454826.0,477029.0
2019-04-10,454826.0,477586.0
2019-04-11,471002.0,490292.0
2019-04-12,473889.0,497403.0
2019-04-13,427738.0,457663.0
2019-04-14,413863.0,427576.0
2019-04-15,455863.0,470714.0
2019-04-16,454180.0,479009.0
2019-04-17,460740.0,489258.0
2019-04-18,456899.0,478968.0
2019-04-19,384313.0,400792.0
2019-04-20,373688.0,386735.0
2019-04-21,341193.0,359262.0
2019-04-22,330737.0,360031.0
2019-04-23,440561.0,466280.0
2019-04-24,454751.0,474708.0
2019-04-25,454680.0,472898.0
2019-04-26,454457.0,472139.0
2019-04-27,428148.0,436263.0
2019-04-28,402763.0,408531.0
2019-04-29,456412.0,466585.0
2019-04-30,457367.0,474447.0
2019-05-01,356728.0,394676.0
2019-05-02,423856.0,452745.0
2019-05-03,453684.0,465045.0
2019-05-04,425182.0,435542.0
2019-05-05,396029.0,424288.0
2019-05-06,451729.0,491631.0
2019-05-07,471105.0,484591.0
2019-05-08,455231.0,474011.0
2019-05-09,483164.0,501173.0
2019-05-10,462119.0,479199.0
2019-05-11,420733.0,424914.0
2019-05-12,388906.0,405108.0
2019-05-13,455572.0,464247.0
2019-05-14,477552.0,497230.0
2019-05-15,479529.0,505798.0
2019-05-16,476607.0,492118.0
2019-05-17,464197.0,481628.0
2019-05-18,407628.0,426167.0
2019-05-19,387901.0,404382.0
2019-05-20,454098.0,460696.0
2019-05-21,451342.0,471648.0
2019-05-22,447898.0,482408.0
2019-05-23,451067.0,479228.0
2019-05-24,451349.0,469579.0
2019-05-25,397899.0,417865.0
2019-05-26,380221.0,395922.0
2019-05-27,442463.0,464002.0
2019-05-28,453018.0,471710.0
2019-05-29,442738.0,488063.0
2019-05-30,442840.0,487528.0
2019-05-31,446136.0,463494.0
2019-06-01,394465.0,415356.0
2019-06-02,371000.0,399342.0
2019-06-03,439058.0,460169.0
2019-06-04,440745.0,473250.0
2019-06-05,446453.0,477472.0
2019-06-06,451095.0,477051.0
2019-06-07,438883.0,474163.0
2019-06-08,390198.0,420292.0
2019-06-09,354771.0,377633.0
2019-06-10,349611.0,389702.0
2019-06-11,427075.0,481955.0
2019-06-12,474843.0,514111.0
2019-06-13,497247.0,530902.0
2019-06-14,494172.0,531016.0
2019-06-15,432535.0,481406.0
2019-06-16,418738.0,450381.0
2019-06-17,466045.0,488044.0
2019-06-18,475215.0,498230.0
2019-06-19,476642.0,510979.0
2019-06-20,508249.0,506377.0
2019-06-21,491309.0,500693.0
2019-06-22,434831.0,452095.0
2019-06-23,404977.0,421803.0
2019-06-24,468828.0,486382.0
2019-06-25,487162.0,512112.0
2019-06-26,493855.0,532712.0
2019-06-27,513074.0,539690.0
2019-06-28,494233.0,494472.0
2019-06-29,451028.0,440746.0
2019-06-30,409382.0,426578.0
2019-07-01,467908.0,512406.0
2019-07-02,500457.0,527305.0
2019-07-03,510636.0,511790.0
2019-07-04,492789.0,495087.0
2019-07-05,473811.0,492482.0
2019-07-06,423626.0,450426.0
2019-07-07,407209.0,426990.0
2019-07-08,470183.0,464717.0
2019-07-09,475304.0,469583.0
2019-07-10,462967.0,462874.0
2019-07-11,462982.0,467459.0
2019-07-12,460066.0,465284.0
2019-07-13,415366.0,420121.0
2019-07-14,396866.0,388181.0
2019-07-15,448906.0,439820.0
2019-07-16,432984.0,452956.0
2019-07-17,433372.0,457224.0
2019-07-18,438729.0,462571.0
2019-07-19,454299.0,461892.0
2019-07-20,418551.0,425164.0
2019-07-21,378948.0,407959.0
2019-07-22,448535.0,464580.0
2019-07-23,457092.0,481016.0
2019-07-24,467615.0,477623.0
2019-07-25,462066.0,485021.0
2019-07-26,464291.0,485782.0
2019-07-27,420416.0,428900.0
2019-07-28,399651.0,402060.0
2019-07-29,447760.0,454342.0
2019-07-30,453589.0,474551.0
2019-07-31,459925.0,489833.0
2019-08-01,465969.0,475756.0
2019-08-02,466131.0,462732.0
2019-08-03,412631.0,407026.0
2019-08-04,380047.0,377685.0
2019-08-05,424838.0,442279.0
2019-08-06,429562.0,467915.0
2019-08-07,456140.0,475307.0
2019-08-08,452088.0,471080.0
2019-08-09,458284.0,472208.0
2019-08-10,420277.0,457727.0
2019-08-11,377742.0,423668.0
2019-08-12,472847.0,494115.0
2019-08-13,467779.0,484503.0
2019-08-14,454052.0,461450.0
2019-08-15,452657.0,451029.0
2019-08-16,427305.0,451165.0
2019-08-17,433646.0,407796.0
2019-08-18,401541.0,391111.0
2019-08-19,398900.0,399978.0
2019-08-20,378394.0,389731.0
2019-08-21,466111.0,461318.0
2019-08-22,466777.0,476725.0
2019-08-23,442429.0,488792.0
2019-08-24,400821.0,455294.0
2019-08-25,391132.0,431858.0
2019-08-26,453863.0,490508.0
2019-08-27,478796.0,506752.0
2019-08-28,483477.0,515107.0
2019-08-29,487834.0,519508.0
2019-08-30,498266.0,513776.0
2019-08-31,435746.0,456256.0
2019-09-01,414726.0,431507.0
2019-09-02,473383.0,487138.0
2019-09-03,462667.0,475816.0
2019-09-04,461421.0,465389.0
2019-09-05,456940.0,471173.0
2019-09-06,456356.0,470964.0
2019-09-07,415808.0,427938.0
2019-09-08,387454.0,398730.0
2019-09-09,440207.0,462165.0
2019-09-10,462869.0,459851.0
2019-09-11,443165.0,467044.0
2019-09-12,453962.0,473279.0
2019-09-13,446727.0,469008.0
2019-09-14,407134.0,424232.0
2019-09-15,392828.0,393995.0
2019-09-16,441781.0,461267.0
2019-09-17,444707.0,478634.0
2019-09-18,455856.0,463474.0
2019-09-19,448204.0,469357.0
2019-09-20,451865.0,467224.0
2019-09-21,411056.0,421368.0
2019-09-22,378509.0,390404.0
2019-09-23,449289.0,469683.0
2019-09-24,449534.0,480638.0
2019-09-25,460478.0,486415.0
2019-09-26,461747.0,475556.0
2019-09-27,458195.0,466074.0
2019-09-28,412971.0,432284.0
2019-09-29,380420.0,405987.0
2019-09-30,457785.0,464930.0
2019-10-01,464447.0,471391.0
2019-10-02,465812.0,480480.0
2019-10-03,465812.0,487985.0
2019-10-04,466269.0,477390.0
2019-10-05,416218.0,447686.0
2019-10-06,391614.0,418749.0
2019-10-07,450915.0,478115.0
2019-10-08,467341.0,492428.0
2019-10-09,473810.0,492463.0
2019-10-10,472656.0,502518.0
2019-10-11,469563.0,485314.0
2019-10-12,433183.0,441117.0
2019-10-13,404310.0,418181.0
2019-10-14,463517.0,473941.0
2019-10-15,478865.0,483592.0
2019-10-16,467912.0,492313.0
2019-10-17,467912.0,490183.0
2019-10-18,467914.0,488387.0
2019-10-19,426054.0,442194.0
2019-10-20,403315.0,415219.0
2019-10-21,459335.0,472997.0
2019-10-22,446624.0,478948.0
2019-10-23,379830.0,404544.0
2019-10-24,449457.0,465019.0
2019-10-25,474249.0,481279.0
2019-10-26,429079.0,439823.0
2019-10-27,407983.0,434930.0
2019-10-28,454221.0,487999.0
2019-10-29,453796.0,513095.0
2019-10-30,492684.0,513092.0
2019-10-31,487757.0,505517.0
2019-11-01,399259.0,421212.0
2019-11-02,391080.0,435973.0
2019-11-03,399247.0,429898.0
2019-11-04,472166.0,500596.0
2019-11-05,495562.0,513557.0
2019-11-06,481523.0,507953.0
2019-11-07,496058.0,515079.0
2019-11-08,496273.0,510843.0
2019-11-09,432312.0,463773.0
2019-11-10,416743.0,446930.0
2019-11-11,485056.0,499804.0
2019-11-12,496098.0,523786.0
2019-11-13,506336.0,518105.0
2019-11-14,496860.0,513741.0
2019-11-15,495435.0,517665.0
2019-11-16,453412.0,467775.0
2019-11-17,436029.0,434126.0
2019-11-18,0.0,499711.0
2019-11-19,507085.0,509410.0
