Date,Day-ahead Total Load Forecast [MW] - BZN|NL,Actual Total Load [MW] - BZN|NL
2019-01-01,1434126.0,1152871.0
2019-01-02,1479923.0,1348063.0
2019-01-03,1517050.0,1380013.0
2019-01-04,1502355.0,1398242.0
2019-01-05,1272967.0,1279949.0
2019-01-06,1282973.0,1229899.0
2019-01-07,1426603.0,1413310.0
2019-01-08,1255227.0,1419192.0
2019-01-09,1385951.0,1422401.0
2019-01-10,1491433.0,1444188.0
2019-01-11,1454656.0,1424324.0
2019-01-12,1238321.0,1291569.0
2019-01-13,1271491.0,1233843.0
2019-01-14,1393122.0,1403845.0
2019-01-15,1188079.0,1423509.0
2019-01-16,1348374.0,1425411.0
2019-01-17,1529056.0,1440380.0
2019-01-18,1452870.0,1427686.0
2019-01-19,1231874.0,1291710.0
2019-01-20,1205137.0,1236942.0
2019-01-21,1410947.0,1436219.0
2019-01-22,1301468.0,1481905.0
2019-01-23,1394991.0,1474331.0
2019-01-24,1497458.0,1481702.0
2019-01-25,1494361.0,1472073.0
2019-01-26,1274738.0,1291115.0
2019-01-27,1226669.0,1235693.0
2019-01-28,1488397.0,1421396.0
2019-01-29,1431937.0,1431075.0
2019-01-30,1487828.0,1476490.0
2019-01-31,1526958.0,1476906.0
2019-02-01,1524552.0,1471431.0
2019-02-02,1261472.0,1323408.0
2019-02-03,1176885.0,1216305.0
2019-02-04,1462271.0,1459544.0
2019-02-05,1493289.0,1469181.0
2019-02-06,1551990.0,1480061.0
2019-02-07,1559680.0,1438845.0
2019-02-08,1534943.0,1455332.0
2019-02-09,1316648.0,1284532.0
2019-02-10,1225293.0,1258092.0
2019-02-11,1453466.0,1404419.0
2019-02-12,1528335.0,1410700.0
2019-02-13,1543366.0,1425185.0
2019-02-14,1482146.0,1368706.0
2019-02-15,1480128.0,1343224.0
2019-02-16,1229694.0,1208623.0
2019-02-17,1195751.0,1149055.0
2019-02-18,1395688.0,1326809.0
2019-02-19,1483977.0,1375603.0
2019-02-20,1499693.0,1358044.0
2019-02-21,1428910.0,1394838.0
2019-02-22,1408133.0,1377796.0
2019-02-23,1218107.0,1185884.0
2019-02-24,1185136.0,1136816.0
2019-02-25,1398554.0,1305990.0
2019-02-26,1437899.0,1302609.0
2019-02-27,1458710.0,1301088.0
2019-02-28,1438262.0,1360092.0
2019-03-01,1449259.0,1384084.0
2019-03-02,1153205.0,1218780.0
2019-03-03,1162360.0,1216022.0
2019-03-04,1395334.0,1347185.0
2019-03-05,1402742.0,1334348.0
2019-03-06,1401008.0,1390290.0
2019-03-07,1417626.0,1372736.0
2019-03-08,1440399.0,1346916.0
2019-03-09,1195355.0,1242802.0
2019-03-10,1146524.0,1218352.0
2019-03-11,1401363.0,1380479.0
2019-03-12,1400270.0,1411146.0
2019-03-13,1114132.0,1425584.0
2019-03-14,1413937.0,1415216.0
2019-03-15,1129967.0,1386514.0
2019-03-16,872456.0,1266422.0
2019-03-17,848822.0,1161049.0
2019-03-18,954861.0,1319173.0
2019-03-19,1012962.0,1316044.0
2019-03-20,1075919.0,1355372.0
2019-03-21,1077255.0,1340329.0
2019-03-22,1086916.0,1286001.0
2019-03-23,877068.0,1197984.0
2019-03-24,823993.0,1100118.0
2019-03-25,956984.0,1314523.0
2019-03-26,1015450.0,1322275.0
2019-03-27,1127722.0,1301430.0
2019-03-28,1123157.0,1326941.0
2019-03-29,1097513.0,1243117.0
2019-03-30,891973.0,1104206.0
2019-03-31,802071.0,1031373.0
2019-04-01,955707.0,1229274.0
2019-04-02,1047941.0,1290425.0
2019-04-03,1163402.0,1305021.0
2019-04-04,1173842.0,1323806.0
2019-04-05,1110230.0,1275771.0
2019-04-06,910987.0,1145466.0
2019-04-07,802150.0,1043970.0
2019-04-08,945145.0,1218915.0
2019-04-09,1058413.0,1231610.0
2019-04-10,1126077.0,1223762.0
2019-04-11,1146154.0,1235380.0
2019-04-12,1065545.0,1259886.0
2019-04-13,914226.0,1129781.0
2019-04-14,806033.0,1063035.0
2019-04-15,931662.0,1215404.0
2019-04-16,1002013.0,1232007.0
2019-04-17,1042732.0,1270578.0
2019-04-18,1078470.0,1229807.0
2019-04-19,1037712.0,1196503.0
2019-04-20,857302.0,1073065.0
2019-04-21,776932.0,997826.0
2019-04-22,924968.0,1040754.0
2019-04-23,948979.0,1214730.0
2019-04-24,980937.0,1253050.0
2019-04-25,974891.0,1261587.0
2019-04-26,1008757.0,1234808.0
2019-04-27,840328.0,1105939.0
2019-04-28,885826.0,1086206.0
2019-04-29,868740.0,1216614.0
2019-04-30,905240.0,1259557.0
2019-05-01,951881.0,1262554.0
2019-05-02,941923.0,1273538.0
2019-05-03,1015032.0,1251263.0
2019-05-04,803447.0,1115292.0
2019-05-05,788809.0,1072548.0
2019-05-06,872509.0,1268615.0
2019-05-07,948381.0,1253626.0
2019-05-08,1010954.0,1289060.0
2019-05-09,1036349.0,1237356.0
2019-05-10,1015528.0,1233559.0
2019-05-11,782736.0,1068348.0
2019-05-12,784946.0,1027050.0
2019-05-13,903872.0,1170393.0
2019-05-14,980316.0,1182599.0
2019-05-15,1065306.0,1174671.0
2019-05-16,1037003.0,1198469.0
2019-05-17,1020447.0,1233711.0
2019-05-18,765658.0,1050261.0
2019-05-19,775282.0,1021122.0
2019-05-20,949827.0,1223116.0
2019-05-21,983839.0,1250605.0
2019-05-22,1020270.0,1187574.0
2019-05-23,1007514.0,1177759.0
2019-05-24,1033619.0,1170360.0
2019-05-25,770830.0,1060235.0
2019-05-26,743837.0,1035561.0
2019-05-27,945208.0,1176405.0
2019-05-28,951647.0,1188971.0
2019-05-29,1000804.0,1151582.0
2019-05-30,981646.0,1069704.0
2019-05-31,1006408.0,1105083.0
2019-06-01,804594.0,1030589.0
2019-06-02,748190.0,1006193.0
2019-06-03,921310.0,1202468.0
2019-06-04,935889.0,1212002.0
2019-06-05,913821.0,1242338.0
2019-06-06,868393.0,1208694.0
2019-06-07,965572.0,1201887.0
