Date,Day-ahead Total Load Forecast [MW] - BZN|PL,Actual Total Load [MW] - BZN|PL
2019-01-01,361500.0,359470.0
2019-01-02,481930.0,481493.0
2019-01-03,534200.0,518478.0
2019-01-04,532400.0,526979.0
2019-01-05,480500.0,477519.0
2019-01-06,448000.0,429655.0
2019-01-07,540200.0,528374.0
2019-01-08,546450.0,542713.0
2019-01-09,548700.0,542388.0
2019-01-10,552200.0,550088.0
2019-01-11,549000.0,547263.0
2019-01-12,496200.0,484937.0
2019-01-13,445900.0,430841.0
2019-01-14,537950.0,519933.0
2019-01-15,550700.0,535612.0
2019-01-16,533875.0,530655.0
2019-01-17,545750.0,526311.0
2019-01-18,546150.0,533963.0
2019-01-19,489200.0,485560.0
2019-01-20,442100.0,438911.0
2019-01-21,537100.0,541984.0
2019-01-22,552900.0,554243.0
2019-01-23,561700.0,555630.0
2019-01-24,563100.0,558860.0
2019-01-25,567100.0,558636.0
2019-01-26,503400.0,498752.0
2019-01-27,451200.0,445646.0
2019-01-28,540300.0,527413.0
2019-01-29,552900.0,537713.0
2019-01-30,547600.0,537068.0
2019-01-31,547200.0,538388.0
2019-02-01,543200.0,532672.0
2019-02-02,486100.0,469445.0
2019-02-03,433800.0,421913.0
2019-02-04,531250.0,518934.0
2019-02-05,544300.0,532524.0
2019-02-06,542400.0,532457.0
2019-02-07,541000.0,528827.0
2019-02-08,539500.0,523685.0
2019-02-09,476600.0,469088.0
2019-02-10,425300.0,413664.0
2019-02-11,528800.0,508489.0
2019-02-12,538700.0,525257.0
2019-02-13,542900.0,527693.0
2019-02-14,540100.0,519624.0
2019-02-15,528400.0,514777.0
2019-02-16,473300.0,456239.0
2019-02-17,416500.0,404963.0
2019-02-18,512700.0,493207.0
2019-02-19,526800.0,504503.0
2019-02-20,521950.0,510859.0
2019-02-21,530100.0,516009.0
2019-02-22,539900.0,518992.0
2019-02-23,489800.0,470388.0
2019-02-24,431150.0,421660.0
2019-02-25,509600.0,501451.0
2019-02-26,520200.0,512526.0
2019-02-27,526500.0,509972.0
2019-02-28,522800.0,500771.0
2019-03-01,511194.0,515722.0
2019-03-02,467100.0,462232.0
2019-03-03,415700.0,409144.0
2019-03-04,508900.0,488290.0
