Date,Day-ahead Total Load Forecast [MW] - BZN|RO,Actual Total Load [MW] - BZN|RO
2019-01-01,144160.0,142170.0
2019-01-02,150920.0,151519.0
2019-01-03,170260.0,174693.0
2019-01-04,182500.0,183578.0
2019-01-05,177280.0,176938.0
2019-01-06,165220.0,167710.0
2019-01-07,190030.0,190086.0
2019-01-08,200390.0,201531.0
2019-01-09,199570.0,200133.0
2019-01-10,198830.0,201614.0
2019-01-11,201520.0,199647.0
2019-01-12,190000.0,186329.0
2019-01-13,175870.0,172868.0
2019-01-14,198500.0,194704.0
2019-01-15,200960.0,196520.0
2019-01-16,198510.0,197593.0
2019-01-17,195470.0,193765.0
2019-01-18,192970.0,191747.0
2019-01-19,182690.0,183335.0
2019-01-20,172040.0,170493.0
2019-01-21,195380.0,193057.0
2019-01-22,198790.0,197933.0
2019-01-23,194390.0,195694.0
2019-01-24,186150.0,189570.0
2019-01-25,193520.0,193966.0
2019-01-26,184450.0,183034.0
2019-01-27,169160.0,167279.0
2019-01-28,189650.0,193286.0
2019-01-29,193880.0,193221.0
2019-01-30,189530.0,190844.0
2019-01-31,191700.0,193077.0
2019-02-01,190420.0,189481.0
2019-02-02,174710.0,169928.0
2019-02-03,161060.0,159020.0
2019-02-04,183970.0,180417.0
2019-02-05,186230.0,186465.0
2019-02-06,188850.0,190159.0
2019-02-07,191190.0,190770.0
2019-02-08,190930.0,191165.0
2019-02-09,176430.0,177694.0
2019-02-10,165200.0,156736.0
2019-02-11,188550.0,185599.0
2019-02-12,193970.0,192854.0
2019-02-13,192940.0,190478.0
2019-02-14,189870.0,192456.0
2019-02-15,189510.0,191491.0
2019-02-16,177800.0,175749.0
2019-02-17,160370.0,159845.0
2019-02-18,182690.0,181333.0
2019-02-19,183950.0,183575.0
2019-02-20,181480.0,183178.0
2019-02-21,184580.0,183284.0
2019-02-22,191300.0,190025.0
2019-02-23,182280.0,180765.0
2019-02-24,168000.0,167008.0
2019-02-25,184180.0,189160.0
2019-02-26,191690.0,191844.0
2019-02-27,191420.0,188877.0
2019-02-28,186490.0,184821.0
2019-03-01,181050.0,180405.0
2019-03-02,171570.0,168196.0
2019-03-03,157050.0,157038.0
2019-03-04,177250.0,177369.0
2019-03-05,179430.0,179687.0
2019-03-06,180910.0,179152.0
2019-03-07,180230.0,180270.0
2019-03-08,175430.0,173156.0
2019-03-09,160260.0,158996.0
2019-03-10,145560.0,147341.0
2019-03-11,176490.0,167738.0
2019-03-12,176400.0,177687.0
2019-03-13,174700.0,175060.0
2019-03-14,174790.0,175993.0
2019-03-15,172740.0,176005.0
2019-03-16,163420.0,167181.0
2019-03-17,149420.0,147180.0
2019-03-18,167130.0,167096.0
2019-03-19,171000.0,171881.0
2019-03-20,171960.0,173927.0
2019-03-21,175190.0,173930.0
2019-03-22,171520.0,169071.0
2019-03-23,158590.0,159058.0
2019-03-24,147490.0,143030.0
2019-03-25,159710.0,162033.0
2019-03-26,172410.0,174461.0
2019-03-27,173140.0,171303.0
2019-03-28,173120.0,171483.0
2019-03-29,170360.0,170215.0
2019-03-30,157530.0,156566.0
2019-03-31,136950.0,135528.0
2019-04-01,162150.0,162961.0
2019-04-02,168970.0,170276.0
2019-04-03,168680.0,169321.0
2019-04-04,168540.0,169792.0
2019-04-05,167000.0,169223.0
2019-04-06,155930.0,159116.0
2019-04-07,143560.0,144895.0
2019-04-08,165340.0,166301.0
2019-04-09,169410.0,168704.0
2019-04-10,168570.0,166228.0
2019-04-11,168080.0,171811.0
2019-04-12,169460.0,169269.0
2019-04-13,161710.0,162238.0
2019-04-14,147290.0,148741.0
2019-04-15,167690.0,168344.0
2019-04-16,170810.0,172032.0
2019-04-17,171750.0,173666.0
2019-04-18,173250.0,175003.0
2019-04-19,170710.0,170863.0
2019-04-20,159900.0,157874.0
2019-04-21,140320.0,140837.0
2019-04-22,164890.0,165014.0
2019-04-23,164590.0,171291.0
2019-04-24,166050.0,171438.0
2019-04-25,166210.0,165584.0
2019-04-26,150990.0,145761.0
2019-04-27,140440.0,140699.0
2019-04-28,115880.0,117984.0
2019-04-29,121050.0,118634.0
2019-04-30,142340.0,134883.0
2019-05-01,134630.0,142103.0
2019-05-02,158290.0,152711.0
2019-05-03,148480.0,150847.0
2019-05-04,141790.0,145345.0
2019-05-05,137140.0,135257.0
2019-05-06,157590.0,158286.0
2019-05-07,164690.0,166587.0
2019-05-08,162770.0,164055.0
2019-05-09,160260.0,164066.0
2019-05-10,163190.0,166206.0
2019-05-11,150190.0,150402.0
2019-05-12,135240.0,133670.0
2019-05-13,154030.0,154749.0
2019-05-14,159000.0,163838.0
2019-05-15,161010.0,163292.0
2019-05-16,163490.0,163985.0
2019-05-17,158790.0,160809.0
2019-05-18,145440.0,147118.0
2019-05-19,130450.0,132648.0
2019-05-20,155810.0,154390.0
2019-05-21,152070.0,154210.0
2019-05-22,156340.0,155311.0
2019-05-23,154800.0,157028.0
2019-05-24,156230.0,156096.0
2019-05-25,142990.0,143555.0
2019-05-26,128210.0,128706.0
2019-05-27,150370.0,151526.0
2019-05-28,156000.0,156928.0
2019-05-29,157290.0,158113.0
2019-05-30,157570.0,158649.0
2019-05-31,156450.0,156929.0
2019-06-01,143640.0,140462.0
2019-06-02,126860.0,130330.0
2019-06-03,150810.0,153825.0
2019-06-04,157590.0,156734.0
2019-06-05,156310.0,158719.0
2019-06-06,153380.0,155914.0
2019-06-07,156840.0,158986.0
2019-06-08,146350.0,147595.0
2019-06-09,133550.0,134521.0
2019-06-10,156120.0,157564.0
2019-06-11,161170.0,162910.0
2019-06-12,163300.0,164448.0
2019-06-13,165030.0,167342.0
2019-06-14,167550.0,167513.0
2019-06-15,153640.0,153131.0
2019-06-16,136840.0,138162.0
2019-06-17,144150.0,143384.0
2019-06-18,162730.0,166651.0
2019-06-19,169150.0,169381.0
2019-06-20,169730.0,168536.0
2019-06-21,169140.0,166130.0
2019-06-22,153840.0,154436.0
2019-06-23,139920.0,142058.0
2019-06-24,161510.0,161200.0
2019-06-25,170880.0,167815.0
2019-06-26,170820.0,169508.0
2019-06-27,169090.0,170131.0
2019-06-28,166250.0,163095.0
2019-06-29,143920.0,142662.0
2019-06-30,135020.0,135241.0
2019-07-01,161280.0,165724.0
2019-07-02,170590.0,175081.0
2019-07-03,172120.0,172007.0
2019-07-04,167700.0,167691.0
2019-07-05,165120.0,165502.0
2019-07-06,154110.0,152250.0
2019-07-07,138230.0,140526.0
