Date,Day-ahead Total Load Forecast [MW] - BZN|SI,Actual Total Load [MW] - BZN|SI
2019-01-01,31600.0,30928.0
2019-01-02,33930.0,33079.0
2019-01-03,38489.0,40821.0
2019-01-04,39562.0,42619.0
2019-01-05,39638.0,40491.0
2019-01-06,37723.0,38370.0
2019-01-07,43529.0,45858.0
2019-01-08,46032.0,47769.0
2019-01-09,47192.0,47396.0
2019-01-10,47212.0,47266.0
2019-01-11,46658.0,46552.0
2019-01-12,42428.0,41573.0
2019-01-13,40048.0,38565.0
2019-01-14,44484.0,43929.0
2019-01-15,45144.0,45502.0
2019-01-16,45977.0,45469.0
2019-01-17,45605.0,45200.0
2019-01-18,45617.0,45414.0
2019-01-19,41289.0,41130.0
2019-01-20,38876.0,38844.0
2019-01-21,44480.0,45920.0
2019-01-22,46078.0,47108.0
2019-01-23,48043.0,48455.0
2019-01-24,47788.0,47658.0
2019-01-25,47034.0,46828.0
2019-01-26,42454.0,42672.0
2019-01-27,39809.0,39594.0
2019-01-28,45596.0,45072.0
2019-01-29,46471.0,45213.0
2019-01-30,46458.0,45840.0
2019-01-31,45683.0,46238.0
2019-02-01,45894.0,45256.0
2019-02-02,42313.0,38908.0
2019-02-03,38068.0,36456.0
2019-02-04,43749.0,42698.0
2019-02-05,44565.0,44519.0
2019-02-06,46130.0,43980.0
2019-02-07,45174.0,43763.0
2019-02-08,40106.0,37329.0
2019-02-09,37091.0,36067.0
2019-02-10,35471.0,36364.0
2019-02-11,41500.0,42909.0
2019-02-12,44742.0,43718.0
2019-02-13,44528.0,43463.0
2019-02-14,44247.0,43295.0
2019-02-15,43813.0,42510.0
2019-02-16,37557.0,37534.0
2019-02-17,36481.0,34505.0
2019-02-18,42816.0,41707.0
2019-02-19,43213.0,42187.0
2019-02-20,43780.0,42975.0
2019-02-21,43364.0,43198.0
2019-02-22,42785.0,43021.0
2019-02-23,40000.0,39118.0
2019-02-24,36429.0,37213.0
2019-02-25,43121.0,42677.0
2019-02-26,44046.0,42810.0
2019-02-27,44032.0,41998.0
2019-02-28,42787.0,41666.0
2019-03-01,42195.0,42136.0
2019-03-02,37803.0,37310.0
2019-03-03,36062.0,34142.0
2019-03-04,41417.0,41060.0
2019-03-05,38092.0,42018.0
2019-03-06,43024.0,42009.0
2019-03-07,43107.0,43017.0
2019-03-08,43375.0,40855.0
2019-03-09,37861.0,35778.0
2019-03-10,33182.0,33829.0
2019-03-11,42259.0,42600.0
2019-03-12,42188.0,41898.0
2019-03-13,42612.0,43203.0
2019-03-14,39762.0,42673.0
2019-03-15,42063.0,42066.0
2019-03-16,37772.0,37408.0
2019-03-17,35561.0,34469.0
2019-03-18,40804.0,41422.0
2019-03-19,42861.0,42371.0
2019-03-20,44021.0,42743.0
2019-03-21,42414.0,42740.0
2019-03-22,41458.0,41233.0
2019-03-23,37837.0,36056.0
2019-03-24,35747.0,34163.0
2019-03-25,42604.0,41110.0
2019-03-26,41758.0,40752.0
2019-03-27,41662.0,42376.0
2019-03-28,42468.0,42367.0
2019-03-29,41022.0,40543.0
2019-03-30,36508.0,35260.0
2019-03-31,29031.0,31343.0
2019-04-01,39701.0,39026.0
2019-04-02,39978.0,40465.0
2019-04-03,40511.0,40660.0
2019-04-04,41604.0,41611.0
2019-04-05,41992.0,41928.0
2019-04-06,36796.0,36353.0
2019-04-07,34037.0,34485.0
2019-04-08,40183.0,40761.0
2019-04-09,40999.0,42165.0
2019-04-10,41546.0,41631.0
2019-04-11,41304.0,42256.0
2019-04-12,41187.0,41867.0
2019-04-13,37175.0,36844.0
2019-04-14,34194.0,34760.0
2019-04-15,40419.0,39868.0
2019-04-16,40627.0,40056.0
2019-04-17,40507.0,40328.0
2019-04-18,40593.0,41041.0
2019-04-19,40519.0,39498.0
2019-04-20,36497.0,32946.0
2019-04-21,31268.0,28727.0
2019-04-22,30239.0,29924.0
2019-04-23,38491.0,40608.0
2019-04-24,41047.0,39781.0
2019-04-25,37678.0,39164.0
2019-04-26,40124.0,39813.0
2019-04-27,31820.0,33296.0
2019-04-28,30545.0,31618.0
2019-04-29,37910.0,36209.0
2019-04-30,36701.0,35709.0
2019-05-01,27027.0,27110.0
2019-05-02,28717.0,26883.0
2019-05-03,32656.0,31580.0
2019-05-04,31454.0,31985.0
2019-05-05,31753.0,32539.0
2019-05-06,38151.0,39515.0
2019-05-07,40093.0,39701.0
2019-05-08,40102.0,40988.0
2019-05-09,40613.0,41673.0
2019-05-10,40541.0,39425.0
2019-05-11,36359.0,34956.0
2019-05-12,33157.0,34116.0
2019-05-13,39750.0,39946.0
2019-05-14,41397.0,41523.0
2019-05-15,41603.0,42090.0
2019-05-16,41821.0,40946.0
2019-05-17,37252.0,39847.0
2019-05-18,34960.0,35441.0
2019-05-19,33129.0,32668.0
2019-05-20,39636.0,38705.0
2019-05-21,39779.0,40347.0
2019-05-22,40671.0,40329.0
2019-05-23,40924.0,39914.0
2019-05-24,39454.0,39090.0
2019-05-25,34577.0,34290.0
2019-05-26,32601.0,32080.0
2019-05-27,38388.0,39658.0
2019-05-28,40290.0,40246.0
2019-05-29,40899.0,41367.0
2019-05-30,40393.0,41400.0
2019-05-31,39488.0,39554.0
2019-06-01,34889.0,33978.0
2019-06-02,31860.0,30820.0
2019-06-03,38896.0,37909.0
2019-06-04,38551.0,39781.0
2019-06-05,39986.0,40041.0
2019-06-06,39688.0,40614.0
2019-06-07,38944.0,39767.0
2019-06-08,34854.0,34500.0
2019-06-09,32135.0,32015.0
2019-06-10,38779.0,40730.0
2019-06-11,40732.0,42240.0
2019-06-12,41746.0,42528.0
2019-06-13,41812.0,42499.0
2019-06-14,42469.0,41526.0
2019-06-15,36179.0,36843.0
2019-06-16,32702.0,34011.0
2019-06-17,39650.0,40745.0
2019-06-18,41198.0,41597.0
2019-06-19,41780.0,42224.0
2019-06-20,42156.0,42171.0
2019-06-21,41103.0,41765.0
2019-06-22,36650.0,36795.0
2019-06-23,33092.0,33006.0
