Date,Day-ahead Total Load Forecast [MW] - BZN|SK,Actual Total Load [MW] - BZN|SK
2019-01-01,70090.0,70152.0
2019-01-02,81610.0,81467.0
2019-01-03,83540.0,86727.0
2019-01-04,86830.0,88585.0
2019-01-05,82220.0,83306.0
2019-01-06,81200.0,80099.0
2019-01-07,91150.0,92264.0
2019-01-08,93400.0,96894.0
2019-01-09,95540.0,95446.0
2019-01-10,94510.0,94370.0
2019-01-11,94170.0,94839.0
2019-01-12,86040.0,86354.0
2019-01-13,83830.0,82117.0
2019-01-14,92610.0,91831.0
2019-01-15,94660.0,94576.0
2019-01-16,94660.0,93253.0
2019-01-17,93430.0,92893.0
2019-01-18,93100.0,92681.0
2019-01-19,86270.0,85924.0
2019-01-20,82260.0,82851.0
2019-01-21,91940.0,94256.0
2019-01-22,93540.0,98214.0
2019-01-23,98000.0,98525.0
2019-01-24,96460.0,96384.0
2019-01-25,96330.0,96000.0
2019-01-26,85910.0,88164.0
2019-01-27,83100.0,84236.0
2019-01-28,94560.0,93376.0
2019-01-29,96030.0,93735.0
2019-01-30,93590.0,93764.0
2019-01-31,93710.0,93007.0
2019-02-01,92580.0,92805.0
2019-02-02,84900.0,82789.0
2019-02-03,79770.0,79295.0
2019-02-04,89900.0,90351.0
2019-02-05,92330.0,90757.0
2019-02-06,90910.0,91421.0
2019-02-07,91600.0,91341.0
2019-02-08,91330.0,91266.0
2019-02-09,81990.0,83517.0
2019-02-10,79450.0,80617.0
2019-02-11,90170.0,90225.0
2019-02-12,90930.0,91829.0
2019-02-13,91550.0,92619.0
2019-02-14,92600.0,90183.0
2019-02-15,91050.0,89513.0
2019-02-16,81890.0,81812.0
2019-02-17,78430.0,78508.0
2019-02-18,88240.0,88002.0
2019-02-19,88180.0,88798.0
2019-02-20,87380.0,88240.0
2019-02-21,88020.0,88151.0
2019-02-22,86180.0,88978.0
2019-02-23,81380.0,83830.0
2019-02-24,80440.0,81856.0
2019-02-25,90620.0,88978.0
2019-02-26,90320.0,88331.0
2019-02-27,88650.0,86374.0
2019-02-28,86090.0,85251.0
2019-03-01,86670.0,86479.0
2019-03-02,79400.0,79748.0
2019-03-03,77790.0,77625.0
2019-03-04,85700.0,81300.0
2019-03-05,86840.0,85600.0
2019-03-06,86240.0,85044.0
2019-03-07,84860.0,85110.0
2019-03-08,84280.0,83593.0
2019-03-09,79740.0,77689.0
2019-03-10,74740.0,75048.0
2019-03-11,81850.0,85262.0
2019-03-12,83800.0,87722.0
2019-03-13,86490.0,89805.0
2019-03-14,89410.0,88623.0
2019-03-15,88290.0,87397.0
2019-03-16,80490.0,80121.0
2019-03-17,76320.0,75194.0
2019-03-18,85060.0,85366.0
2019-03-19,86230.0,86554.0
2019-03-20,84500.0,86429.0
2019-03-21,85980.0,86042.0
2019-03-22,85680.0,84178.0
2019-03-23,77160.0,75619.0
2019-03-24,72040.0,72810.0
2019-03-25,83040.0,83914.0
2019-03-26,85850.0,85901.0
2019-03-27,86310.0,85313.0
2019-03-28,84900.0,86539.0
2019-03-29,84900.0,83983.0
2019-03-30,75360.0,75775.0
2019-03-31,70290.0,69357.0
2019-04-01,83600.0,81160.0
2019-04-02,83800.0,83124.0
2019-04-03,82700.0,82991.0
2019-04-04,82500.0,81998.0
2019-04-05,81880.0,81746.0
2019-04-06,75150.0,75252.0
2019-04-07,71020.0,71035.0
2019-04-08,79620.0,78925.0
2019-04-09,80430.0,79716.0
2019-04-10,79240.0,80965.0
2019-04-11,79730.0,81936.0
2019-04-12,82230.0,83158.0
2019-04-13,77060.0,76331.0
2019-04-14,73740.0,71896.0
2019-04-15,79070.0,80746.0
2019-04-16,81320.0,82416.0
2019-04-17,81840.0,82279.0
2019-04-18,80120.0,79766.0
2019-04-19,70450.0,67954.0
2019-04-20,67650.0,66779.0
2019-04-21,63660.0,61902.0
2019-04-22,61500.0,61552.0
2019-04-23,77590.0,77039.0
2019-04-24,80910.0,80307.0
2019-04-25,79760.0,78823.0
2019-04-26,77840.0,78265.0
2019-04-27,71910.0,71734.0
2019-04-28,71340.0,69919.0
2019-04-29,79490.0,79513.0
2019-04-30,79250.0,81248.0
2019-05-01,74920.0,71251.0
2019-05-02,78490.0,77088.0
2019-05-03,77950.0,78536.0
2019-05-04,71750.0,71128.0
2019-05-05,70020.0,71878.0
2019-05-06,79870.0,83292.0
2019-05-07,82210.0,86315.0
2019-05-08,72390.0,75492.0
2019-05-09,79060.0,82277.0
2019-05-10,81540.0,79036.0
2019-05-11,70600.0,70794.0
2019-05-12,70060.0,68739.0
2019-05-13,79690.0,79981.0
2019-05-14,82480.0,83479.0
2019-05-15,82300.0,83736.0
2019-05-16,82040.0,82506.0
2019-05-17,81950.0,80222.0
2019-05-18,71110.0,70873.0
2019-05-19,67200.0,68227.0
2019-05-20,79290.0,78321.0
2019-05-21,79820.0,79474.0
2019-05-22,79250.0,80745.0
2019-05-23,80620.0,79325.0
2019-05-24,77710.0,77747.0
2019-05-25,69710.0,68990.0
2019-05-26,67120.0,67013.0
2019-05-27,77990.0,76773.0
2019-05-28,78980.0,79097.0
2019-05-29,79320.0,79304.0
2019-05-30,78890.0,80941.0
2019-05-31,77710.0,78041.0
2019-06-01,68970.0,67918.0
2019-06-02,66440.0,66267.0
2019-06-03,75030.0,76067.0
2019-06-04,78240.0,78316.0
2019-06-05,78130.0,78640.0
