MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2019 00:00:00 - 01/01/2019 01:00:00,BZN|SI,Without Sequence,51.0,,
01/01/2019 01:00:00 - 01/01/2019 02:00:00,BZN|SI,Without Sequence,46.27,,
01/01/2019 02:00:00 - 01/01/2019 03:00:00,BZN|SI,Without Sequence,39.78,,
01/01/2019 03:00:00 - 01/01/2019 04:00:00,BZN|SI,Without Sequence,27.87,,
01/01/2019 04:00:00 - 01/01/2019 05:00:00,BZN|SI,Without Sequence,-0.36,,
01/01/2019 05:00:00 - 01/01/2019 06:00:00,BZN|SI,Without Sequence,-4.45,,
01/01/2019 06:00:00 - 01/01/2019 07:00:00,BZN|SI,Without Sequence,-8.99,,
01/01/2019 07:00:00 - 01/01/2019 08:00:00,BZN|SI,Without Sequence,-6.05,,
01/01/2019 08:00:00 - 01/01/2019 09:00:00,BZN|SI,Without Sequence,1.53,,
01/01/2019 09:00:00 - 01/01/2019 10:00:00,BZN|SI,Without Sequence,0.41,,
01/01/2019 10:00:00 - 01/01/2019 11:00:00,BZN|SI,Without Sequence,14.34,,
01/01/2019 11:00:00 - 01/01/2019 12:00:00,BZN|SI,Without Sequence,41.03,,
01/01/2019 12:00:00 - 01/01/2019 13:00:00,BZN|SI,Without Sequence,48.97,,
01/01/2019 13:00:00 - 01/01/2019 14:00:00,BZN|SI,Without Sequence,41.06,,
01/01/2019 14:00:00 - 01/01/2019 15:00:00,BZN|SI,Without Sequence,37.95,,
01/01/2019 15:00:00 - 01/01/2019 16:00:00,BZN|SI,Without Sequence,53.59,,
01/01/2019 16:00:00 - 01/01/2019 17:00:00,BZN|SI,Without Sequence,58.65,,
01/01/2019 17:00:00 - 01/01/2019 18:00:00,BZN|SI,Without Sequence,64.64,,
01/01/2019 18:00:00 - 01/01/2019 19:00:00,BZN|SI,Without Sequence,65.0,,
01/01/2019 19:00:00 - 01/01/2019 20:00:00,BZN|SI,Without Sequence,65.56,,
01/01/2019 20:00:00 - 01/01/2019 21:00:00,BZN|SI,Without Sequence,64.23,,
01/01/2019 21:00:00 - 01/01/2019 22:00:00,BZN|SI,Without Sequence,61.72,,
01/01/2019 22:00:00 - 01/01/2019 23:00:00,BZN|SI,Without Sequence,58.65,,
01/01/2019 23:00:00 - 02/01/2019 00:00:00,BZN|SI,Without Sequence,54.91,,
