MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2019 00:00:00 - 01/01/2019 01:00:00,BZN|SK,Without Sequence,8.5,,
01/01/2019 01:00:00 - 01/01/2019 02:00:00,BZN|SK,Without Sequence,3.97,,
01/01/2019 02:00:00 - 01/01/2019 03:00:00,BZN|SK,Without Sequence,4.7,,
01/01/2019 03:00:00 - 01/01/2019 04:00:00,BZN|SK,Without Sequence,0.93,,
01/01/2019 04:00:00 - 01/01/2019 05:00:00,BZN|SK,Without Sequence,3.9,,
01/01/2019 05:00:00 - 01/01/2019 06:00:00,BZN|SK,Without Sequence,7.95,,
01/01/2019 06:00:00 - 01/01/2019 07:00:00,BZN|SK,Without Sequence,11.7,,
01/01/2019 07:00:00 - 01/01/2019 08:00:00,BZN|SK,Without Sequence,5.01,,
01/01/2019 08:00:00 - 01/01/2019 09:00:00,BZN|SK,Without Sequence,1.01,,
01/01/2019 09:00:00 - 01/01/2019 10:00:00,BZN|SK,Without Sequence,0.11,,
01/01/2019 10:00:00 - 01/01/2019 11:00:00,BZN|SK,Without Sequence,14.8,,
01/01/2019 11:00:00 - 01/01/2019 12:00:00,BZN|SK,Without Sequence,15.5,,
01/01/2019 12:00:00 - 01/01/2019 13:00:00,BZN|SK,Without Sequence,16.5,,
01/01/2019 13:00:00 - 01/01/2019 14:00:00,BZN|SK,Without Sequence,16.0,,
01/01/2019 14:00:00 - 01/01/2019 15:00:00,BZN|SK,Without Sequence,19.53,,
01/01/2019 15:00:00 - 01/01/2019 16:00:00,BZN|SK,Without Sequence,5.0,,
01/01/2019 16:00:00 - 01/01/2019 17:00:00,BZN|SK,Without Sequence,20.0,,
01/01/2019 17:00:00 - 01/01/2019 18:00:00,BZN|SK,Without Sequence,16.74,,
01/01/2019 18:00:00 - 01/01/2019 19:00:00,BZN|SK,Without Sequence,22.14,,
01/01/2019 19:00:00 - 01/01/2019 20:00:00,BZN|SK,Without Sequence,23.27,,
01/01/2019 20:00:00 - 01/01/2019 21:00:00,BZN|SK,Without Sequence,23.0,,
01/01/2019 21:00:00 - 01/01/2019 22:00:00,BZN|SK,Without Sequence,20.0,,
01/01/2019 22:00:00 - 01/01/2019 23:00:00,BZN|SK,Without Sequence,18.0,,
01/01/2019 23:00:00 - 02/01/2019 00:00:00,BZN|SK,Without Sequence,-0.99,,
02/01/2019 00:00:00 - 02/01/2019 01:00:00,BZN|SK,Without Sequence,1.0,,
02/01/2019 01:00:00 - 02/01/2019 02:00:00,BZN|SK,Without Sequence,-2.0,,
02/01/2019 02:00:00 - 02/01/2019 03:00:00,BZN|SK,Without Sequence,-3.48,,
02/01/2019 03:00:00 - 02/01/2019 04:00:00,BZN|SK,Without Sequence,-7.0,,
02/01/2019 04:00:00 - 02/01/2019 05:00:00,BZN|SK,Without Sequence,-7.85,,
02/01/2019 05:00:00 - 02/01/2019 06:00:00,BZN|SK,Without Sequence,10.75,,
02/01/2019 06:00:00 - 02/01/2019 07:00:00,BZN|SK,Without Sequence,33.4,,
02/01/2019 07:00:00 - 02/01/2019 08:00:00,BZN|SK,Without Sequence,49.1,,
02/01/2019 08:00:00 - 02/01/2019 09:00:00,BZN|SK,Without Sequence,46.25,,
02/01/2019 09:00:00 - 02/01/2019 10:00:00,BZN|SK,Without Sequence,49.97,,
02/01/2019 10:00:00 - 02/01/2019 11:00:00,BZN|SK,Without Sequence,45.5,,
02/01/2019 11:00:00 - 02/01/2019 12:00:00,BZN|SK,Without Sequence,46.3,,
02/01/2019 12:00:00 - 02/01/2019 13:00:00,BZN|SK,Without Sequence,47.5,,
02/01/2019 13:00:00 - 02/01/2019 14:00:00,BZN|SK,Without Sequence,49.0,,
02/01/2019 14:00:00 - 02/01/2019 15:00:00,BZN|SK,Without Sequence,49.9,,
02/01/2019 15:00:00 - 02/01/2019 16:00:00,BZN|SK,Without Sequence,57.4,,
02/01/2019 16:00:00 - 02/01/2019 17:00:00,BZN|SK,Without Sequence,60.0,,
02/01/2019 17:00:00 - 02/01/2019 18:00:00,BZN|SK,Without Sequence,61.28,,
02/01/2019 18:00:00 - 02/01/2019 19:00:00,BZN|SK,Without Sequence,59.9,,
02/01/2019 19:00:00 - 02/01/2019 20:00:00,BZN|SK,Without Sequence,61.19,,
02/01/2019 20:00:00 - 02/01/2019 21:00:00,BZN|SK,Without Sequence,59.98,,
02/01/2019 21:00:00 - 02/01/2019 22:00:00,BZN|SK,Without Sequence,52.75,,
02/01/2019 22:00:00 - 02/01/2019 23:00:00,BZN|SK,Without Sequence,51.25,,
02/01/2019 23:00:00 - 03/01/2019 00:00:00,BZN|SK,Without Sequence,41.0,,
03/01/2019 00:00:00 - 03/01/2019 01:00:00,BZN|SK,Without Sequence,43.0,,
03/01/2019 01:00:00 - 03/01/2019 02:00:00,BZN|SK,Without Sequence,42.99,,
03/01/2019 02:00:00 - 03/01/2019 03:00:00,BZN|SK,Without Sequence,42.11,,
03/01/2019 03:00:00 - 03/01/2019 04:00:00,BZN|SK,Without Sequence,42.05,,
03/01/2019 04:00:00 - 03/01/2019 05:00:00,BZN|SK,Without Sequence,43.17,,
03/01/2019 05:00:00 - 03/01/2019 06:00:00,BZN|SK,Without Sequence,45.59,,
03/01/2019 06:00:00 - 03/01/2019 07:00:00,BZN|SK,Without Sequence,48.86,,
