"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|HR","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","79","n/e","n/e","n/e","230","143","0","n/e","n/e","10","0","10","126","899","n/e","n/e","n/e","42","0","4","n/e","96"
"BZN|HR","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","79","n/e","n/e","n/e","230","143","0","n/e","n/e","10","0","11","120","889","n/e","n/e","n/e","42","0","4","n/e","109"
"BZN|HR","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","79","n/e","n/e","n/e","226","143","0","n/e","n/e","10","0","115","121","811","n/e","n/e","n/e","42","0","4","n/e","51"
"BZN|HR","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","79","n/e","n/e","n/e","227","143","0","n/e","n/e","10","0","249","120","784","n/e","n/e","n/e","42","0","4","n/e","25"
"BZN|HR","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","79","n/e","n/e","n/e","226","143","0","n/e","n/e","10","0","248","121","796","n/e","n/e","n/e","42","0","4","n/e","28"
"BZN|HR","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","79","n/e","n/e","n/e","228","143","0","n/e","n/e","10","0","248","121","809","n/e","n/e","n/e","42","0","4","n/e","95"
"BZN|HR","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","79","n/e","n/e","n/e","229","143","0","n/e","n/e","10","0","178","124","773","n/e","n/e","n/e","42","0","4","n/e","197"
"BZN|HR","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","78","n/e","n/e","n/e","230","143","0","n/e","n/e","10","0","7","156","803","n/e","n/e","n/e","43","0","4","n/e","297"
"BZN|HR","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","78","n/e","n/e","n/e","230","143","0","n/e","n/e","10","128","7","174","824","n/e","n/e","n/e","44","6","4","n/e","303"
"BZN|HR","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","78","n/e","n/e","n/e","231","143","0","n/e","n/e","10","131","7","172","927","n/e","n/e","n/e","44","15","4","n/e","310"
"BZN|HR","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","79","n/e","n/e","n/e","230","142","0","n/e","n/e","10","131","7","168","931","n/e","n/e","n/e","44","23","4","n/e","320"
"BZN|HR","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","79","n/e","n/e","n/e","230","142","0","n/e","n/e","10","132","7","169","931","n/e","n/e","n/e","44","27","4","n/e","218"
"BZN|HR","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","79","n/e","n/e","n/e","230","141","0","n/e","n/e","10","131","7","170","929","n/e","n/e","n/e","44","26","4","n/e","144"
"BZN|HR","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","79","n/e","n/e","n/e","229","142","0","n/e","n/e","9","131","7","171","909","n/e","n/e","n/e","44","21","4","n/e","113"
"BZN|HR","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","79","n/e","n/e","n/e","228","143","0","n/e","n/e","9","131","7","171","939","n/e","n/e","n/e","44","13","4","n/e","84"
"BZN|HR","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","79","n/e","n/e","n/e","227","143","0","n/e","n/e","9","203","4","171","938","n/e","n/e","n/e","44","4","4","n/e","50"
"BZN|HR","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","79","n/e","n/e","n/e","227","144","0","n/e","n/e","9","259","3","168","866","n/e","n/e","n/e","44","0","4","n/e","45"
"BZN|HR","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","79","n/e","n/e","n/e","226","143","0","n/e","n/e","9","259","3","181","884","n/e","n/e","n/e","44","0","4","n/e","38"
"BZN|HR","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","79","n/e","n/e","n/e","228","143","0","n/e","n/e","10","259","3","182","896","n/e","n/e","n/e","44","0","4","n/e","47"
"BZN|HR","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","79","n/e","n/e","n/e","230","143","0","n/e","n/e","10","215","3","185","982","n/e","n/e","n/e","44","0","4","n/e","76"
"BZN|HR","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","79","n/e","n/e","n/e","229","143","0","n/e","n/e","10","260","3","222","929","n/e","n/e","n/e","44","0","4","n/e","111"
"BZN|HR","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","79","n/e","n/e","n/e","229","143","0","n/e","n/e","10","259","3","202","896","n/e","n/e","n/e","42","0","4","n/e","140"
"BZN|HR","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","79","n/e","n/e","n/e","231","143","0","n/e","n/e","10","259","3","180","914","n/e","n/e","n/e","42","0","4","n/e","159"
"BZN|HR","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","139","6","180","906","n/e","n/e","n/e","43","0","4","n/e","152"
"BZN|HR","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","9","126","857","n/e","n/e","n/e","42","0","4","n/e","166"
"BZN|HR","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","133","125","853","n/e","n/e","n/e","42","0","4","n/e","165"
"BZN|HR","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","78","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","229","125","860","n/e","n/e","n/e","42","0","4","n/e","157"
