"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CZ","Actual Total Load [MW] - BZN|CZ"
"01.01.2020 00:00 - 01.01.2020 01:00","5903","5612"
"01.01.2020 01:00 - 01.01.2020 02:00","5790","5550"
"01.01.2020 02:00 - 01.01.2020 03:00","5714","5560"
"01.01.2020 03:00 - 01.01.2020 04:00","5588","5496"
"01.01.2020 04:00 - 01.01.2020 05:00","5557","5500"
"01.01.2020 05:00 - 01.01.2020 06:00","5568","5505"
"01.01.2020 06:00 - 01.01.2020 07:00","5539","5500"
"01.01.2020 07:00 - 01.01.2020 08:00","5555","5565"
"01.01.2020 08:00 - 01.01.2020 09:00","5552","5564"
"01.01.2020 09:00 - 01.01.2020 10:00","5923","5946"
"01.01.2020 10:00 - 01.01.2020 11:00","6199","6260"
"01.01.2020 11:00 - 01.01.2020 12:00","6318","6373"
"01.01.2020 12:00 - 01.01.2020 13:00","6413","6360"
"01.01.2020 13:00 - 01.01.2020 14:00","6463","6421"
"01.01.2020 14:00 - 01.01.2020 15:00","6471","6375"
"01.01.2020 15:00 - 01.01.2020 16:00","6635","6551"
"01.01.2020 16:00 - 01.01.2020 17:00","6877","6846"
"01.01.2020 17:00 - 01.01.2020 18:00","6998","7040"
"01.01.2020 18:00 - 01.01.2020 19:00","6963","6984"
"01.01.2020 19:00 - 01.01.2020 20:00","6926","6961"
"01.01.2020 20:00 - 01.01.2020 21:00","6821","6888"
"01.01.2020 21:00 - 01.01.2020 22:00","6485","6534"
"01.01.2020 22:00 - 01.01.2020 23:00","6416","6504"
"01.01.2020 23:00 - 02.01.2020 00:00","6185","6241"
"02.01.2020 00:00 - 02.01.2020 01:00","6024","5999"
"02.01.2020 01:00 - 02.01.2020 02:00","6092","6103"
"02.01.2020 02:00 - 02.01.2020 03:00","6076","6105"
"02.01.2020 03:00 - 02.01.2020 04:00","5907","6003"
"02.01.2020 04:00 - 02.01.2020 05:00","5962","6139"
"02.01.2020 05:00 - 02.01.2020 06:00","6394","6627"
"02.01.2020 06:00 - 02.01.2020 07:00","7175","7260"
"02.01.2020 07:00 - 02.01.2020 08:00","7672","7765"
"02.01.2020 08:00 - 02.01.2020 09:00","7920","8118"
"02.01.2020 09:00 - 02.01.2020 10:00","8235","8426"
"02.01.2020 10:00 - 02.01.2020 11:00","8394","8602"
"02.01.2020 11:00 - 02.01.2020 12:00","8478","8523"
"02.01.2020 12:00 - 02.01.2020 13:00","8539","8559"
"02.01.2020 13:00 - 02.01.2020 14:00","8443","8579"
"02.01.2020 14:00 - 02.01.2020 15:00","8436","8376"
"02.01.2020 15:00 - 02.01.2020 16:00","8530","8504"
"02.01.2020 16:00 - 02.01.2020 17:00","8753","8650"
"02.01.2020 17:00 - 02.01.2020 18:00","8976","8686"
"02.01.2020 18:00 - 02.01.2020 19:00","8837","8531"
"02.01.2020 19:00 - 02.01.2020 20:00","8743","8607"
"02.01.2020 20:00 - 02.01.2020 21:00","8445","8356"
"02.01.2020 21:00 - 02.01.2020 22:00","7983","7990"
"02.01.2020 22:00 - 02.01.2020 23:00","7514","7623"
"02.01.2020 23:00 - 03.01.2020 00:00","7083","7206"
