"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"01.01.2021 00:00 - 01.01.2021 00:15","4154","4253"
"01.01.2021 00:15 - 01.01.2021 00:30","4105","4180"
"01.01.2021 00:30 - 01.01.2021 00:45","4059","4128"
"01.01.2021 00:45 - 01.01.2021 01:00","4004","4064"
"01.01.2021 01:00 - 01.01.2021 01:15","3962","4011"
"01.01.2021 01:15 - 01.01.2021 01:30","3905","3949"
"01.01.2021 01:30 - 01.01.2021 01:45","3849","3897"
"01.01.2021 01:45 - 01.01.2021 02:00","3844","3810"
"01.01.2021 02:00 - 01.01.2021 02:15","3767","3726"
"01.01.2021 02:15 - 01.01.2021 02:30","3713","3684"
"01.01.2021 02:30 - 01.01.2021 02:45","3620","3608"
"01.01.2021 02:45 - 01.01.2021 03:00","3565","3557"
"01.01.2021 03:00 - 01.01.2021 03:15","3513","3521"
"01.01.2021 03:15 - 01.01.2021 03:30","3435","3475"
"01.01.2021 03:30 - 01.01.2021 03:45","3389","3459"
"01.01.2021 03:45 - 01.01.2021 04:00","3343","3435"
"01.01.2021 04:00 - 01.01.2021 04:15","3338","3435"
"01.01.2021 04:15 - 01.01.2021 04:30","3333","3445"
"01.01.2021 04:30 - 01.01.2021 04:45","3322","3449"
"01.01.2021 04:45 - 01.01.2021 05:00","3286","3459"
"01.01.2021 05:00 - 01.01.2021 05:15","3284","3474"
"01.01.2021 05:15 - 01.01.2021 05:30","3272","3486"
"01.01.2021 05:30 - 01.01.2021 05:45","3281","3502"
"01.01.2021 05:45 - 01.01.2021 06:00","3276","3498"
"01.01.2021 06:00 - 01.01.2021 06:15","3362","3564"
"01.01.2021 06:15 - 01.01.2021 06:30","3399","3589"
"01.01.2021 06:30 - 01.01.2021 06:45","3438","3624"
"01.01.2021 06:45 - 01.01.2021 07:00","3462","3639"
"01.01.2021 07:00 - 01.01.2021 07:15","3506","3671"
"01.01.2021 07:15 - 01.01.2021 07:30","3485","3643"
"01.01.2021 07:30 - 01.01.2021 07:45","3520","3670"
"01.01.2021 07:45 - 01.01.2021 08:00","3544","3692"
"01.01.2021 08:00 - 01.01.2021 08:15","3573","3703"
"01.01.2021 08:15 - 01.01.2021 08:30","3597","3735"
"01.01.2021 08:30 - 01.01.2021 08:45","3623","3766"
"01.01.2021 08:45 - 01.01.2021 09:00","3656","3797"
"01.01.2021 09:00 - 01.01.2021 09:15","3680","3843"
"01.01.2021 09:15 - 01.01.2021 09:30","3694","3878"
"01.01.2021 09:30 - 01.01.2021 09:45","3715","3920"
"01.01.2021 09:45 - 01.01.2021 10:00","3722","3956"
"01.01.2021 10:00 - 01.01.2021 10:15","3750","4031"
