"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|RO","Actual Total Load [MW] - BZN|RO"
"01.01.2020 00:00 - 01.01.2020 01:00","6280","6078"
"01.01.2020 01:00 - 01.01.2020 02:00","6020","5796"
"01.01.2020 02:00 - 01.01.2020 03:00","5830","5621"
"01.01.2020 03:00 - 01.01.2020 04:00","5700","5523"
"01.01.2020 04:00 - 01.01.2020 05:00","5650","5484"
"01.01.2020 05:00 - 01.01.2020 06:00","5630","5456"
"01.01.2020 06:00 - 01.01.2020 07:00","5600","5453"
"01.01.2020 07:00 - 01.01.2020 08:00","5550","5428"
"01.01.2020 08:00 - 01.01.2020 09:00","5550","5493"
"01.01.2020 09:00 - 01.01.2020 10:00","5570","5533"
"01.01.2020 10:00 - 01.01.2020 11:00","5580","5566"
"01.01.2020 11:00 - 01.01.2020 12:00","5630","5596"
"01.01.2020 12:00 - 01.01.2020 13:00","5670","5611"
"01.01.2020 13:00 - 01.01.2020 14:00","5700","5616"
"01.01.2020 14:00 - 01.01.2020 15:00","5800","5694"
"01.01.2020 15:00 - 01.01.2020 16:00","6050","5925"
"01.01.2020 16:00 - 01.01.2020 17:00","6700","6526"
"01.01.2020 17:00 - 01.01.2020 18:00","6900","6651"
"01.01.2020 18:00 - 01.01.2020 19:00","6880","6655"
"01.01.2020 19:00 - 01.01.2020 20:00","6780","6553"
"01.01.2020 20:00 - 01.01.2020 21:00","6570","6355"
"01.01.2020 21:00 - 01.01.2020 22:00","6270","6098"
"01.01.2020 22:00 - 01.01.2020 23:00","5980","5827"
"01.01.2020 23:00 - 02.01.2020 00:00","5650","5567"
"02.01.2020 00:00 - 02.01.2020 01:00","5470","5387"
"02.01.2020 01:00 - 02.01.2020 02:00","5350","5287"
"02.01.2020 02:00 - 02.01.2020 03:00","5300","5234"
"02.01.2020 03:00 - 02.01.2020 04:00","5300","5254"
"02.01.2020 04:00 - 02.01.2020 05:00","5380","5340"
"02.01.2020 05:00 - 02.01.2020 06:00","5500","5495"
"02.01.2020 06:00 - 02.01.2020 07:00","5760","5686"
"02.01.2020 07:00 - 02.01.2020 08:00","6000","5959"
"02.01.2020 08:00 - 02.01.2020 09:00","6270","6235"
