"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SK","Actual Total Load [MW] - BZN|SK"
"01.01.2021 00:00 - 01.01.2021 01:00","2630","2751"
"01.01.2021 01:00 - 01.01.2021 02:00","2510","2640"
"01.01.2021 02:00 - 01.01.2021 03:00","2440","2592"
"01.01.2021 03:00 - 01.01.2021 04:00","2420","2513"
"01.01.2021 04:00 - 01.01.2021 05:00","2430","2504"
"01.01.2021 05:00 - 01.01.2021 06:00","2430","2515"
"01.01.2021 06:00 - 01.01.2021 07:00","2460","2541"
"01.01.2021 07:00 - 01.01.2021 08:00","2520","2564"
"01.01.2021 08:00 - 01.01.2021 09:00","2710","2636"
"01.01.2021 09:00 - 01.01.2021 10:00","2770","2785"
"01.01.2021 10:00 - 01.01.2021 11:00","2870","2835"
"01.01.2021 11:00 - 01.01.2021 12:00","2880","3019"
"01.01.2021 12:00 - 01.01.2021 13:00","2860","2970"
"01.01.2021 13:00 - 01.01.2021 14:00","2870","2926"
"01.01.2021 14:00 - 01.01.2021 15:00","2820","2921"
"01.01.2021 15:00 - 01.01.2021 16:00","2920","2871"
"01.01.2021 16:00 - 01.01.2021 17:00","3080","3062"
"01.01.2021 17:00 - 01.01.2021 18:00","3070","3078"
"01.01.2021 18:00 - 01.01.2021 19:00","3100","3080"
"01.01.2021 19:00 - 01.01.2021 20:00","3090","3054"
"01.01.2021 20:00 - 01.01.2021 21:00","3030","3026"
"01.01.2021 21:00 - 01.01.2021 22:00","2970","2924"
"01.01.2021 22:00 - 01.01.2021 23:00","2800","2822"
"01.01.2021 23:00 - 02.01.2021 00:00","2750","2703"
"02.01.2021 00:00 - 02.01.2021 01:00","2640","2612"
"02.01.2021 01:00 - 02.01.2021 02:00","2580","2495"
"02.01.2021 02:00 - 02.01.2021 03:00","2540","2505"
"02.01.2021 03:00 - 02.01.2021 04:00","2560","2462"
"02.01.2021 04:00 - 02.01.2021 05:00","2590","2513"
"02.01.2021 05:00 - 02.01.2021 06:00","2630","2562"
"02.01.2021 06:00 - 02.01.2021 07:00","2750","2659"
"02.01.2021 07:00 - 02.01.2021 08:00","2780","2737"
"02.01.2021 08:00 - 02.01.2021 09:00","2980","2871"
"02.01.2021 09:00 - 02.01.2021 10:00","3150","3045"
"02.01.2021 10:00 - 02.01.2021 11:00","3320","3082"
"02.01.2021 11:00 - 02.01.2021 12:00","3280","3298"
"02.01.2021 12:00 - 02.01.2021 13:00","3220","3246"
"02.01.2021 13:00 - 02.01.2021 14:00","3200","3218"
"02.01.2021 14:00 - 02.01.2021 15:00","3140","3177"
"02.01.2021 15:00 - 02.01.2021 16:00","3240","3106"
"02.01.2021 16:00 - 02.01.2021 17:00","3270","3305"
"02.01.2021 17:00 - 02.01.2021 18:00","3250","3306"
"02.01.2021 18:00 - 02.01.2021 19:00","3220","3287"
"02.01.2021 19:00 - 02.01.2021 20:00","3230","3213"
"02.01.2021 20:00 - 02.01.2021 21:00","3140","3176"
"02.01.2021 21:00 - 02.01.2021 22:00","3040","3060"
"02.01.2021 22:00 - 02.01.2021 23:00","2820","2926"
"02.01.2021 23:00 - 03.01.2021 00:00","2740","2797"
"03.01.2021 00:00 - 03.01.2021 01:00","2700","2690"
"03.01.2021 01:00 - 03.01.2021 02:00","2660","2575"
"03.01.2021 02:00 - 03.01.2021 03:00","2700","2574"
"03.01.2021 03:00 - 03.01.2021 04:00","2700","2534"
"03.01.2021 04:00 - 03.01.2021 05:00","2720","2557"
"03.01.2021 05:00 - 03.01.2021 06:00","2770","2597"
"03.01.2021 06:00 - 03.01.2021 07:00","2850","2644"
"03.01.2021 07:00 - 03.01.2021 08:00","2950","2711"
"03.01.2021 08:00 - 03.01.2021 09:00","3150","2871"
"03.01.2021 09:00 - 03.01.2021 10:00","3300","3134"
"03.01.2021 10:00 - 03.01.2021 11:00","3370","3223"
"03.01.2021 11:00 - 03.01.2021 12:00","3500","3398"
