"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|FR","Without Sequence","50.87","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|FR","Without Sequence","48.19","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|FR","Without Sequence","44.68","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|FR","Without Sequence","42.92","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|FR","Without Sequence","40.39","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|FR","Without Sequence","40.20","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|FR","Without Sequence","39.63","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|FR","Without Sequence","40.09","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|FR","Without Sequence","41.27","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|FR","Without Sequence","44.88","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|FR","Without Sequence","45.00","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|FR","Without Sequence","47.20","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|FR","Without Sequence","50.78","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|FR","Without Sequence","45.49","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|FR","Without Sequence","44.73","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|FR","Without Sequence","46.59","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|FR","Without Sequence","52.99","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|FR","Without Sequence","60.26","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|FR","Without Sequence","60.61","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|FR","Without Sequence","60.36","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|FR","Without Sequence","57.40","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|FR","Without Sequence","53.86","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|FR","Without Sequence","53.45","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|FR","Without Sequence","49.72","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|FR","Without Sequence","46.69","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|FR","Without Sequence","42.43","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|FR","Without Sequence","41.09","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|FR","Without Sequence","40.00","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|FR","Without Sequence","37.55","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|FR","Without Sequence","39.00","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|FR","Without Sequence","42.09","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|FR","Without Sequence","44.96","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|FR","Without Sequence","48.45","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|FR","Without Sequence","52.00","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|FR","Without Sequence","52.00","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|FR","Without Sequence","52.15","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|FR","Without Sequence","55.95","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|FR","Without Sequence","52.00","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|FR","Without Sequence","50.69","",""
