"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|HU","Without Sequence","59.90","",""
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|HU","Without Sequence","52.71","",""
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|HU","Without Sequence","36.49","",""
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|HU","Without Sequence","31.24","",""
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|HU","Without Sequence","25.98","",""
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|HU","Without Sequence","26.69","",""
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","BZN|HU","Without Sequence","27.99","",""
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","BZN|HU","Without Sequence","28.49","",""
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","BZN|HU","Without Sequence","33.98","",""
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","BZN|HU","Without Sequence","41.24","",""
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","BZN|HU","Without Sequence","41.00","",""
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","BZN|HU","Without Sequence","45.16","",""
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","BZN|HU","Without Sequence","44.07","",""
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","BZN|HU","Without Sequence","41.16","",""
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","BZN|HU","Without Sequence","42.83","",""
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","BZN|HU","Without Sequence","54.91","",""
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","BZN|HU","Without Sequence","72.02","",""
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","BZN|HU","Without Sequence","73.80","",""
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","BZN|HU","Without Sequence","72.02","",""
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","BZN|HU","Without Sequence","70.63","",""
"01/01/2019 20:00:00 - 01/01/2019 21:00:00","BZN|HU","Without Sequence","68.38","",""
"01/01/2019 21:00:00 - 01/01/2019 22:00:00","BZN|HU","Without Sequence","53.12","",""
"01/01/2019 22:00:00 - 01/01/2019 23:00:00","BZN|HU","Without Sequence","36.86","",""
"01/01/2019 23:00:00 - 02/01/2019 00:00:00","BZN|HU","Without Sequence","23.95","",""
"02/01/2019 00:00:00 - 02/01/2019 01:00:00","BZN|HU","Without Sequence","23.99","",""
"02/01/2019 01:00:00 - 02/01/2019 02:00:00","BZN|HU","Without Sequence","17.16","",""
"02/01/2019 02:00:00 - 02/01/2019 03:00:00","BZN|HU","Without Sequence","15.39","",""
"02/01/2019 03:00:00 - 02/01/2019 04:00:00","BZN|HU","Without Sequence","7.92","",""
"02/01/2019 04:00:00 - 02/01/2019 05:00:00","BZN|HU","Without Sequence","8.91","",""
"02/01/2019 05:00:00 - 02/01/2019 06:00:00","BZN|HU","Without Sequence","22.04","",""
"02/01/2019 06:00:00 - 02/01/2019 07:00:00","BZN|HU","Without Sequence","33.40","",""
"02/01/2019 07:00:00 - 02/01/2019 08:00:00","BZN|HU","Without Sequence","49.10","",""
"02/01/2019 08:00:00 - 02/01/2019 09:00:00","BZN|HU","Without Sequence","54.10","",""
"02/01/2019 09:00:00 - 02/01/2019 10:00:00","BZN|HU","Without Sequence","56.92","",""
"02/01/2019 10:00:00 - 02/01/2019 11:00:00","BZN|HU","Without Sequence","56.87","",""
"02/01/2019 11:00:00 - 02/01/2019 12:00:00","BZN|HU","Without Sequence","60.07","",""
"02/01/2019 12:00:00 - 02/01/2019 13:00:00","BZN|HU","Without Sequence","59.07","",""
"02/01/2019 13:00:00 - 02/01/2019 14:00:00","BZN|HU","Without Sequence","55.85","",""
"02/01/2019 14:00:00 - 02/01/2019 15:00:00","BZN|HU","Without Sequence","61.08","",""
"02/01/2019 15:00:00 - 02/01/2019 16:00:00","BZN|HU","Without Sequence","65.46","",""
"02/01/2019 16:00:00 - 02/01/2019 17:00:00","BZN|HU","Without Sequence","72.69","",""
"02/01/2019 17:00:00 - 02/01/2019 18:00:00","BZN|HU","Without Sequence","75.04","",""
"02/01/2019 18:00:00 - 02/01/2019 19:00:00","BZN|HU","Without Sequence","74.83","",""
"02/01/2019 19:00:00 - 02/01/2019 20:00:00","BZN|HU","Without Sequence","73.06","",""
"02/01/2019 20:00:00 - 02/01/2019 21:00:00","BZN|HU","Without Sequence","72.69","",""
"02/01/2019 21:00:00 - 02/01/2019 22:00:00","BZN|HU","Without Sequence","72.69","",""
"02/01/2019 22:00:00 - 02/01/2019 23:00:00","BZN|HU","Without Sequence","70.00","",""
"02/01/2019 23:00:00 - 03/01/2019 00:00:00","BZN|HU","Without Sequence","59.48","",""
"03/01/2019 00:00:00 - 03/01/2019 01:00:00","BZN|HU","Without Sequence","52.16","",""
"03/01/2019 01:00:00 - 03/01/2019 02:00:00","BZN|HU","Without Sequence","45.06","",""
"03/01/2019 02:00:00 - 03/01/2019 03:00:00","BZN|HU","Without Sequence","42.11","",""
"03/01/2019 03:00:00 - 03/01/2019 04:00:00","BZN|HU","Without Sequence","42.05","",""
"03/01/2019 04:00:00 - 03/01/2019 05:00:00","BZN|HU","Without Sequence","43.17","",""
"03/01/2019 05:00:00 - 03/01/2019 06:00:00","BZN|HU","Without Sequence","49.04","",""
"03/01/2019 06:00:00 - 03/01/2019 07:00:00","BZN|HU","Without Sequence","66.25","",""
"03/01/2019 07:00:00 - 03/01/2019 08:00:00","BZN|HU","Without Sequence","115.78","",""
"03/01/2019 08:00:00 - 03/01/2019 09:00:00","BZN|HU","Without Sequence","83.95","",""
"03/01/2019 09:00:00 - 03/01/2019 10:00:00","BZN|HU","Without Sequence","85.03","",""
"03/01/2019 10:00:00 - 03/01/2019 11:00:00","BZN|HU","Without Sequence","81.93","",""
"03/01/2019 11:00:00 - 03/01/2019 12:00:00","BZN|HU","Without Sequence","95.02","",""
"03/01/2019 12:00:00 - 03/01/2019 13:00:00","BZN|HU","Without Sequence","95.04","",""
"03/01/2019 13:00:00 - 03/01/2019 14:00:00","BZN|HU","Without Sequence","83.89","",""
"03/01/2019 14:00:00 - 03/01/2019 15:00:00","BZN|HU","Without Sequence","83.37","",""
"03/01/2019 15:00:00 - 03/01/2019 16:00:00","BZN|HU","Without Sequence","83.35","",""
"03/01/2019 16:00:00 - 03/01/2019 17:00:00","BZN|HU","Without Sequence","116.64","",""
"03/01/2019 17:00:00 - 03/01/2019 18:00:00","BZN|HU","Without Sequence","96.49","",""
"03/01/2019 18:00:00 - 03/01/2019 19:00:00","BZN|HU","Without Sequence","83.93","",""
"03/01/2019 19:00:00 - 03/01/2019 20:00:00","BZN|HU","Without Sequence","75.98","",""
"03/01/2019 20:00:00 - 03/01/2019 21:00:00","BZN|HU","Without Sequence","72.00","",""
"03/01/2019 21:00:00 - 03/01/2019 22:00:00","BZN|HU","Without Sequence","67.08","",""
"03/01/2019 22:00:00 - 03/01/2019 23:00:00","BZN|HU","Without Sequence","60.03","",""
"03/01/2019 23:00:00 - 04/01/2019 00:00:00","BZN|HU","Without Sequence","51.08","",""
"04/01/2019 00:00:00 - 04/01/2019 01:00:00","BZN|HU","Without Sequence","50.31","",""
"04/01/2019 01:00:00 - 04/01/2019 02:00:00","BZN|HU","Without Sequence","49.43","",""
"04/01/2019 02:00:00 - 04/01/2019 03:00:00","BZN|HU","Without Sequence","47.37","",""
"04/01/2019 03:00:00 - 04/01/2019 04:00:00","BZN|HU","Without Sequence","46.06","",""
"04/01/2019 04:00:00 - 04/01/2019 05:00:00","BZN|HU","Without Sequence","45.32","",""
"04/01/2019 05:00:00 - 04/01/2019 06:00:00","BZN|HU","Without Sequence","47.46","",""
"04/01/2019 06:00:00 - 04/01/2019 07:00:00","BZN|HU","Without Sequence","64.04","",""
"04/01/2019 07:00:00 - 04/01/2019 08:00:00","BZN|HU","Without Sequence","69.95","",""
"04/01/2019 08:00:00 - 04/01/2019 09:00:00","BZN|HU","Without Sequence","66.96","",""
"04/01/2019 09:00:00 - 04/01/2019 10:00:00","BZN|HU","Without Sequence","69.16","",""
"04/01/2019 10:00:00 - 04/01/2019 11:00:00","BZN|HU","Without Sequence","68.64","",""
"04/01/2019 11:00:00 - 04/01/2019 12:00:00","BZN|HU","Without Sequence","70.49","",""
"04/01/2019 12:00:00 - 04/01/2019 13:00:00","BZN|HU","Without Sequence","70.26","",""
"04/01/2019 13:00:00 - 04/01/2019 14:00:00","BZN|HU","Without Sequence","70.54","",""
"04/01/2019 14:00:00 - 04/01/2019 15:00:00","BZN|HU","Without Sequence","74.09","",""
"04/01/2019 15:00:00 - 04/01/2019 16:00:00","BZN|HU","Without Sequence","84.83","",""
"04/01/2019 16:00:00 - 04/01/2019 17:00:00","BZN|HU","Without Sequence","117.93","",""
"04/01/2019 17:00:00 - 04/01/2019 18:00:00","BZN|HU","Without Sequence","128.65","",""
"04/01/2019 18:00:00 - 04/01/2019 19:00:00","BZN|HU","Without Sequence","122.22","",""
"04/01/2019 19:00:00 - 04/01/2019 20:00:00","BZN|HU","Without Sequence","119.86","",""
"04/01/2019 20:00:00 - 04/01/2019 21:00:00","BZN|HU","Without Sequence","121.79","",""
"04/01/2019 21:00:00 - 04/01/2019 22:00:00","BZN|HU","Without Sequence","104.81","",""
"04/01/2019 22:00:00 - 04/01/2019 23:00:00","BZN|HU","Without Sequence","111.28","",""
"04/01/2019 23:00:00 - 05/01/2019 00:00:00","BZN|HU","Without Sequence","85.18","",""
"05/01/2019 00:00:00 - 05/01/2019 01:00:00","BZN|HU","Without Sequence","64.23","",""
"05/01/2019 01:00:00 - 05/01/2019 02:00:00","BZN|HU","Without Sequence","51.05","",""
"05/01/2019 02:00:00 - 05/01/2019 03:00:00","BZN|HU","Without Sequence","44.95","",""
"05/01/2019 03:00:00 - 05/01/2019 04:00:00","BZN|HU","Without Sequence","39.05","",""
"05/01/2019 04:00:00 - 05/01/2019 05:00:00","BZN|HU","Without Sequence","39.05","",""
"05/01/2019 05:00:00 - 05/01/2019 06:00:00","BZN|HU","Without Sequence","47.50","",""
"05/01/2019 06:00:00 - 05/01/2019 07:00:00","BZN|HU","Without Sequence","57.34","",""
"05/01/2019 07:00:00 - 05/01/2019 08:00:00","BZN|HU","Without Sequence","53.07","",""
"05/01/2019 08:00:00 - 05/01/2019 09:00:00","BZN|HU","Without Sequence","66.07","",""
"05/01/2019 09:00:00 - 05/01/2019 10:00:00","BZN|HU","Without Sequence","69.82","",""
"05/01/2019 10:00:00 - 05/01/2019 11:00:00","BZN|HU","Without Sequence","71.96","",""
"05/01/2019 11:00:00 - 05/01/2019 12:00:00","BZN|HU","Without Sequence","70.52","",""
"05/01/2019 12:00:00 - 05/01/2019 13:00:00","BZN|HU","Without Sequence","68.26","",""
"05/01/2019 13:00:00 - 05/01/2019 14:00:00","BZN|HU","Without Sequence","64.25","",""
"05/01/2019 14:00:00 - 05/01/2019 15:00:00","BZN|HU","Without Sequence","62.09","",""
"05/01/2019 15:00:00 - 05/01/2019 16:00:00","BZN|HU","Without Sequence","65.08","",""
"05/01/2019 16:00:00 - 05/01/2019 17:00:00","BZN|HU","Without Sequence","68.16","",""
"05/01/2019 17:00:00 - 05/01/2019 18:00:00","BZN|HU","Without Sequence","74.80","",""
"05/01/2019 18:00:00 - 05/01/2019 19:00:00","BZN|HU","Without Sequence","74.80","",""
"05/01/2019 19:00:00 - 05/01/2019 20:00:00","BZN|HU","Without Sequence","72.66","",""
"05/01/2019 20:00:00 - 05/01/2019 21:00:00","BZN|HU","Without Sequence","65.15","",""
"05/01/2019 21:00:00 - 05/01/2019 22:00:00","BZN|HU","Without Sequence","58.46","",""
"05/01/2019 22:00:00 - 05/01/2019 23:00:00","BZN|HU","Without Sequence","54.67","",""
"05/01/2019 23:00:00 - 06/01/2019 00:00:00","BZN|HU","Without Sequence","46.31","",""
"06/01/2019 00:00:00 - 06/01/2019 01:00:00","BZN|HU","Without Sequence","50.81","",""
"06/01/2019 01:00:00 - 06/01/2019 02:00:00","BZN|HU","Without Sequence","47.95","",""
"06/01/2019 02:00:00 - 06/01/2019 03:00:00","BZN|HU","Without Sequence","46.07","",""
"06/01/2019 03:00:00 - 06/01/2019 04:00:00","BZN|HU","Without Sequence","42.86","",""
"06/01/2019 04:00:00 - 06/01/2019 05:00:00","BZN|HU","Without Sequence","43.01","",""
"06/01/2019 05:00:00 - 06/01/2019 06:00:00","BZN|HU","Without Sequence","46.31","",""
"06/01/2019 06:00:00 - 06/01/2019 07:00:00","BZN|HU","Without Sequence","47.40","",""
"06/01/2019 07:00:00 - 06/01/2019 08:00:00","BZN|HU","Without Sequence","48.25","",""
"06/01/2019 08:00:00 - 06/01/2019 09:00:00","BZN|HU","Without Sequence","60.03","",""
"06/01/2019 09:00:00 - 06/01/2019 10:00:00","BZN|HU","Without Sequence","66.02","",""
"06/01/2019 10:00:00 - 06/01/2019 11:00:00","BZN|HU","Without Sequence","69.97","",""
"06/01/2019 11:00:00 - 06/01/2019 12:00:00","BZN|HU","Without Sequence","70.08","",""
"06/01/2019 12:00:00 - 06/01/2019 13:00:00","BZN|HU","Without Sequence","66.06","",""
"06/01/2019 13:00:00 - 06/01/2019 14:00:00","BZN|HU","Without Sequence","57.49","",""
"06/01/2019 14:00:00 - 06/01/2019 15:00:00","BZN|HU","Without Sequence","53.93","",""
"06/01/2019 15:00:00 - 06/01/2019 16:00:00","BZN|HU","Without Sequence","58.92","",""
"06/01/2019 16:00:00 - 06/01/2019 17:00:00","BZN|HU","Without Sequence","64.85","",""
"06/01/2019 17:00:00 - 06/01/2019 18:00:00","BZN|HU","Without Sequence","71.04","",""
"06/01/2019 18:00:00 - 06/01/2019 19:00:00","BZN|HU","Without Sequence","72.07","",""
"06/01/2019 19:00:00 - 06/01/2019 20:00:00","BZN|HU","Without Sequence","68.45","",""
"06/01/2019 20:00:00 - 06/01/2019 21:00:00","BZN|HU","Without Sequence","72.67","",""
"06/01/2019 21:00:00 - 06/01/2019 22:00:00","BZN|HU","Without Sequence","59.85","",""
"06/01/2019 22:00:00 - 06/01/2019 23:00:00","BZN|HU","Without Sequence","56.78","",""
"06/01/2019 23:00:00 - 07/01/2019 00:00:00","BZN|HU","Without Sequence","51.13","",""
"07/01/2019 00:00:00 - 07/01/2019 01:00:00","BZN|HU","Without Sequence","49.01","",""
