"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","Without Sequence","20.26","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","Without Sequence","0.33","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","Without Sequence","0.50","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","Without Sequence","0.50","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","Without Sequence","0.10","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","Without Sequence","0.72","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SK","Without Sequence","-2.45","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|SK","Without Sequence","0.04","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|SK","Without Sequence","0.48","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|SK","Without Sequence","1.19","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|SK","Without Sequence","1.91","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|SK","Without Sequence","2.74","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|SK","Without Sequence","2.79","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|SK","Without Sequence","2.76","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|SK","Without Sequence","9.96","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|SK","Without Sequence","23.87","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|SK","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|SK","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|SK","Without Sequence","53.68","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|SK","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|SK","Without Sequence","49.11","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|SK","Without Sequence","44.43","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|SK","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|SK","Without Sequence","35.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|SK","Without Sequence","65.21","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|SK","Without Sequence","57.98","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|SK","Without Sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|SK","Without Sequence","44.59","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|SK","Without Sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|SK","Without Sequence","72.11","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|SK","Without Sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|SK","Without Sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|SK","Without Sequence","146.51","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|SK","Without Sequence","148.09","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|SK","Without Sequence","145.61","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|SK","Without Sequence","143.35","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|SK","Without Sequence","144.38","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|SK","Without Sequence","143.76","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|SK","Without Sequence","148.20","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|SK","Without Sequence","155.34","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|SK","Without Sequence","163.13","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|SK","Without Sequence","170.55","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|SK","Without Sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|SK","Without Sequence","164.64","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|SK","Without Sequence","153.00","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|SK","Without Sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|SK","Without Sequence","134.91","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|SK","Without Sequence","124.22","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|SK","Without Sequence","130.01","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|SK","Without Sequence","120.00","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|SK","Without Sequence","118.76","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|SK","Without Sequence","115.00","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|SK","Without Sequence","113.63","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|SK","Without Sequence","116.27","",""
